"SourceProject","TargetProject","SourceIssueKey","TargetIssueKey","LinkDirection","SourceSummary","SourceStatus","SourceUpdated"
"ONE","DBEAN","ONE-418","DBEAN-2900","Outbound","Hybrid app - For OneApp eligible users, clicking on Docu Center link on Help section takes to Oneapp page","Backlog","09/26/2025 17:05:18"
"FORMS","INSO","FORMS-538","INSO-2399","Outbound","Illinois - Credit Involuntary Unemployment (IUI) Certificate Revisions","Backlog","09/26/2025 10:56:45"
"ENGOPS","E","ENGOPS-4753","E-2025","Outbound","E-2025.08 ICEQA01 Origination_Central_Renewal_PidDocsELF","Backlog","09/25/2025 15:55:58"
"INSO","FORMS","INSO-2399","FORMS-538","Inbound","Illinois - Credit Involuntary Unemployment (IUI) Certificate Revisions","Backlog","09/27/2025 21:31:51"
"ENGOPS","E","ENGOPS-4741","E-2025","Inbound","E-2025.08 ICEQA01 Origination_Branch_Renewal_FAS_PS_LQA_Kiosk_ACH","Backlog","09/25/2025 15:55:58"
"ENGOPS","E","ENGOPS-4741","E-2025","Inbound","E-2025.08 ICEQA01 Origination_Branch_Renewal_FAS_PS_LQA_Kiosk_ACH","Backlog","09/25/2025 15:55:58"
"ENGOPS","E","ENGOPS-4743","E-2025","Outbound","E-2025.08 ICEQA01 Origination_Branch_MultiRenewals","Backlog","09/25/2025 10:14:47"
"FORMS","INSO","FORMS-530","INSO-2382","Outbound","Arizona – Increase IUI Maximum Benefit Amount to $1250 and Maximum Term to 84 Months","Backlog","09/24/2025 13:09:45"
"PSM","LAS","PSM-445","LAS-3839","Inbound","Package GS99 1252 Installing 10-10-25","Blocked","09/24/2025 15:29:55"
"PSM","COL","PSM-446","COL-1704","Inbound","JCLP 1376 - Installing 11/9/25","Blocked","09/24/2025 16:27:27"
"PSM","LAS","PSM-446","LAS-752","Inbound","JCLP 1376 - Installing 11/9/25","Blocked","09/24/2025 16:27:27"
"PSM","LAS","PSM-452","LAS-2174","Inbound","Package JCLP 1386 Installing 10-05-25","In Progress","09/24/2025 16:43:11"
"DBA","ACQ","DBA-1870","ACQ-4069","Inbound","Insert test/dummy data into Staging ","Backlog","09/24/2025 14:54:00"
"PSM","LAS","PSM-413","LAS-4017","Inbound","GS99 1250 - Installing 11/7/25","Blocked","09/24/2025 17:52:45"
"ENGOPS","CTGR","ENGOPS-4718","CTGR-685","Outbound","CTGR-685 - DSA - Notes - Validate if the Copy/Paste of Note content works in the Add Notes modal","Backlog","09/23/2025 14:26:00"
"CNS","CVE","CNS-1826","CVE-2025","Outbound","Roll out GP client to Windows devices","In Progress","09/23/2025 15:01:58"
"CNS","CVE","CNS-1826","CVE-2025","Outbound","Roll out GP client to Windows devices","In Progress","09/23/2025 15:01:58"
"PSM","LAS","PSM-402","LAS-3839","Inbound","Package MKTG 1758 Installing 10-12-25","In Progress","09/24/2025 08:40:09"
"FORMS","INSO","FORMS-529","INSO-2392","Outbound","New Mexico – Guaranty Notice Revisions","Backlog","09/23/2025 11:09:54"
"CTGR","ENGOPS","CTGR-685","ENGOPS-4718","Inbound","DSA - Notes - Validate if the Copy/Paste of Note content works in the Add Notes modal","Testing","09/24/2025 08:57:08"
"INSO","FORMS","INSO-2392","FORMS-529","Inbound","New Mexico – Guaranty Notice Revisions","Backlog","09/24/2025 16:39:51"
"MCLD","CISRE","MCLD-1847","CISRE-1174","Outbound","Create Airflow Plugin to manage timeouts issue(Lambda timeouts)","Testing","09/24/2025 09:22:28"
"ENGOPS","FORMS","ENGOPS-4706","FORMS-513","Inbound","E-2025.08 ICEINT01 FORMS Florida","Backlog","09/25/2025 09:53:56"
"ENGOPS","LAW","ENGOPS-4706","LAW-1105","Inbound","E-2025.08 ICEINT01 FORMS Florida","Backlog","09/25/2025 09:53:56"
"ENGOPS","FORMS","ENGOPS-4707","FORMS-489","Inbound","E-2025.08 ICEINT01 FORMS Michigan","Backlog","09/22/2025 13:47:46"
"PSM","LAS","PSM-350","LAS-4017","Inbound","Package JCLP 1401 Installing 11-09-25","In Progress","09/23/2025 15:09:54"
"OSO","POP","OSO-781","POP-379","Outbound","Branch Network Monitoring 1.7 Release","Backlog","09/26/2025 16:19:37"
"OSO","POP","OSO-781","POP-382","Outbound","Branch Network Monitoring 1.7 Release","Backlog","09/26/2025 16:19:37"
"DCI","IAM","DCI-2188","IAM-3854","Outbound","Extend AD Schema with corpfinUserStatus Attribute","Ready for Work","09/25/2025 09:00:16"
"IAM","DCI","IAM-3854","DCI-2188","Inbound","Update Veza Integration to Process Workday Feed of User Status","Backlog","09/19/2025 17:11:38"
"PSM","LAS","PSM-327","LAS-4017","Inbound","JCLP 1398 - Installing 11/9/25","Blocked","09/26/2025 16:54:24"
"DBEAN","ONE","DBEAN-2900","ONE-418","Inbound","Hybrid app - On help page document center shows page not found error","Backlog","09/26/2025 16:38:30"
"DEP","DPR","DEP-1189","DPR-36","Outbound","I3 DevOps AI Powered Chatbot - Knowledge Base","Backlog","09/24/2025 10:25:10"
"DEP","DPR","DEP-1188","DPR-34","Outbound","I1 DevOps AI Powered Chatbot - LLM via Slack","In Progress","09/24/2025 10:24:23"
"DEP","DPR","DEP-1190","DPR-35","Outbound","I2 DevOps AI Powered Chatbot - LLM+MCP","Backlog","09/24/2025 10:25:28"
"CAPE","CRSK","CAPE-1290","CRSK-2822","Inbound","BAT 2.0 Offer upgrade - CLASS Changes","Backlog","09/25/2025 12:10:44"
"DOC","SIGN","DOC-133","SIGN-255","Inbound","SQS queue creation for sending esign notifications to dss","In Progress","09/26/2025 08:44:15"
"CACS","ACQ","CACS-3282","ACQ-4056","Outbound","Request to Remove Whitelisted IP addresses of terminated Affiliate","Ready for Work","09/22/2025 15:16:15"
"CACS","CTEM","CACS-3283","CTEM-49","Inbound","Enforce Webacl associated to techops.onemainfinancial in block mode","Ready for Work","09/19/2025 10:57:55"
"PSM","DR","PSM-288","DR-10","Inbound","Disaster Recovery Exercises - Fall 2025","Backlog","09/22/2025 10:42:52"
"CCP","ONE","CCP-736","ONE-9","Outbound","Non-Prod: Cards account (omfcardsdev) - New GET API endpoint in cards data-access service with auth","Backlog","09/22/2025 09:46:16"
"ENGOPS","PAY","ENGOPS-4626","PAY-2070","Outbound","PAY-2070_F06 – Check Printing Screen and Approval Workflow_Early UAT","Ready for Work","09/23/2025 09:44:15"
"CRSK","CAPE","CRSK-2822","CAPE-1290","Outbound","BAT 2.0 Offer upgrade - Strategy Edit","Backlog","09/19/2025 15:48:16"
"ENGOPS","FORMS","ENGOPS-4620","FORMS-488","Inbound","E-2025.08 ICEINT01 FORMS California","In Progress","09/24/2025 09:40:34"
"ENGOPS","FORMS","ENGOPS-4620","FORMS-517","Inbound","E-2025.08 ICEINT01 FORMS California","In Progress","09/24/2025 09:40:34"
"ENGOPS","LAW","ENGOPS-4620","LAW-1068","Inbound","E-2025.08 ICEINT01 FORMS California","In Progress","09/24/2025 09:40:34"
"CIA","UN","CIA-1827","UN-148","Outbound","(AC) Attribute update (post) to OKTA (CUID2 universal user ID)","In Progress","09/18/2025 09:01:38"
"ENGOPS","CTGR","ENGOPS-4609","CTGR-667","Outbound","CTGR-667 - DSA - Exhausted Exception - Show the Counteroffer option to enter remaining Settlement Amount_UAT Sprint 1","In Progress","09/23/2025 13:32:12"
"ACQ","CACS","ACQ-4056","CACS-3282","Inbound","Termination of Golden Entropy/EPCVIP supplier","Backlog","09/18/2025 14:01:11"
"CTGR","ENGOPS","CTGR-667","ENGOPS-4609","Inbound","DSA - Exhausted Exception - Show the Counteroffer option to enter remaining Settlement Amount","Testing","09/26/2025 09:42:45"
"AUT","CAD","AUT-2238","CAD-3337","Inbound","Merchant CRM - Create document access gateway - existing mule options will not work after mule migration","In Progress","09/17/2025 13:55:12"
"COL","MCCE","COL-3005","MCCE-1435","Outbound","C-Pro to CLASS Research","Backlog","09/24/2025 16:22:54"
"INSO","FORMS","INSO-2382","FORMS-530","Inbound","Arizona – Increase IUI Maximum Benefit Amount to $1250 and Maximum Term to 84 Months","Backlog","09/24/2025 12:56:30"
"MCCE","CIA","MCCE-2268","CIA-892","Inbound","Shortcodes: Request new shortcode and Shortcode campaign for Employee Facing MFA/OKTA integration","Backlog","09/15/2025 11:38:14"
"DCOM","CNSS","DCOM-957","CNSS-2218","Outbound","Work with Tameka to on-board the OMF QM Team on the NICE DOJO and register for courses","In Progress","09/15/2025 12:07:42"
"CISRE","MCLD","CISRE-1174","MCLD-1847","Inbound","AWS MWAA losing connection to AWS Lambda after 7 minutes of execution.","Backlog","09/24/2025 06:07:10"
"CRSK","CAPE","CRSK-2814","CAPE-1223","Inbound","SM to send state unsecured max to class in the appdata structure ","Backlog","09/22/2025 12:58:39"
"DPSS","SIGN","DPSS-2084","SIGN-256","Inbound","Map permissions to e-signature  role group for domain gateway authorization","Ready for Work","09/19/2025 14:40:29"
"OAE","DBEAN","OAE-2360","DBEAN-2709","Outbound","Enable loan dashboard on FDC01","In Progress","09/12/2025 10:08:35"
"SIGN","ACQ","SIGN-271","ACQ-3974","Inbound","Instaloan automatic signing","In Progress","09/22/2025 09:02:18"
"CACS","CISRE","CACS-3241","CISRE-1170","Outbound","Samesurf dev tenant no longer has access to staging.onemain.financial website","Ready for Work","09/15/2025 09:47:30"
"DBEAN","PAY","DBEAN-2871","PAY-2045","Inbound","BE - Enhance UX/UI for detailed Payment History page when customers click View All Payment History page","In Progress","09/22/2025 15:27:27"
"FORMS","PAY","FORMS-523","PAY-2046","Outbound","Optional Product Cancellation 10 Day Rule - AutoPay form changes","Backlog","09/11/2025 10:01:00"
"IMG","DPSS","IMG-2068","DPSS-1110","Outbound","KTA-request role group to be created for Kofax in all environments","In Progress","09/18/2025 09:15:06"
"CAD","UPT","CAD-3979","UPT-135","Inbound","Sentry - Upgrade UI applications to consume latest self-hosted version of Sentry","Backlog","09/09/2025 11:55:14"
"LAW","ENGOPS","LAW-1105","ENGOPS-4706","Outbound","FL- Life Rate Change","Backlog","09/22/2025 13:46:01"
"LAW","E","LAW-1105","E-2025","Outbound","FL- Life Rate Change","Backlog","09/22/2025 13:46:01"
"ENGOPS","PAY","ENGOPS-4444","PAY-2060","Inbound","PAY-2060_Migrating from DealerTrack to Vitu integration API trhough dealertrack-sapi_UAT","In Progress","09/26/2025 16:53:14"
"DE","DEP","DE-1782","DEP-1063","Outbound","Karpenter — Dynamic node provisioning for EKS","Backlog","09/23/2025 11:29:59"
"PAY","ENGOPS","PAY-2070","ENGOPS-4626","Inbound","F06 – Check Printing Screen and Approval Workflow","In Progress","09/29/2025 00:31:20"
"CISRE","CACS","CISRE-1170","CACS-3241","Inbound","Samesurf dev tenant no longer has access to staging.onemain.financial website","In Progress","09/24/2025 09:21:49"
"FORMS","SEN","FORMS-517","SEN-265","Outbound","2025 Annual Privacy Notice","In Progress","09/23/2025 11:02:30"
"FORMS","ENGOPS","FORMS-517","ENGOPS-4620","Outbound","2025 Annual Privacy Notice","In Progress","09/23/2025 11:02:30"
"FORMS","E","FORMS-517","E-2025","Outbound","2025 Annual Privacy Notice","In Progress","09/23/2025 11:02:30"
"LAS","POS","LAS-4121","POS-600","Inbound","POS Partner Onboarding – Modernize - CAL Related Changes","Backlog","09/17/2025 09:24:16"
"LAS","POS","LAS-4122","POS-599","Inbound","POS Partner Onboarding – Versatile Credit - CAL Related Changes","Backlog","09/10/2025 12:13:37"
"CAD","AUT","CAD-3962","AUT-2228","Inbound","Database - Decouple Merchant CRM from CAC database - Create ref data view in MerchantReferral_Mule","Backlog","09/16/2025 16:49:30"
"CNSS","CCOL","CNSS-2269","CCOL-467","Outbound","Baltimore Site Migration","In Progress","09/05/2025 12:40:54"
"CRSK","ACQ","CRSK-2790","ACQ-3974","Outbound","Direct Mail Insta-loan Pilot ","Backlog","09/26/2025 10:57:02"
"SRE","EMC","SRE-3187","EMC-466","Inbound","Update URLs for BigPanda Teams integrations","Refinement","09/23/2025 09:39:48"
"SRE","EMC","SRE-3187","EMC-781","Inbound","Update URLs for BigPanda Teams integrations","Refinement","09/23/2025 09:39:48"
"OAE","CVE","OAE-2345","CVE-2025","Inbound","Resolve CVE Issue After Rails Update","In Progress","09/17/2025 15:16:13"
"AUT","CAD","AUT-2228","CAD-3962","Outbound","Merchant CRM - Reference data implementation","Blocked","09/25/2025 10:07:41"
"PAY","ENGOPS","PAY-2060","ENGOPS-4444","Outbound","Migrating from DealerTrack to Vitu integration API  trhough dealertrack-sapi","Testing","09/26/2025 16:57:06"
"IMG","DPSS","IMG-2056","DPSS-2008","Inbound","[EDOCSVC] Accept TargetMode in edocsvc ","Testing","09/19/2025 11:25:04"
"IMG","DPSS","IMG-2057","DPSS-2008","Inbound","[IDDRSVC] Accept TargetMode in iddrsvc ","In Progress","09/19/2025 10:00:50"
"DBEAN","OAE","DBEAN-2821","OAE-2287","Inbound","Update FTR Interstitial UX Text for Post-Login/Account Summary Placement","Testing","09/02/2025 12:51:33"
"IAM","DCI","IAM-3785","DCI-2116","Outbound","Microsoft Entra Password Protection to prevent common base words.","Backlog","09/02/2025 11:26:23"
"PDS","SRE","PDS-3338","SRE-3011","Outbound","Update Elastic Ingestion to Ensure Capture of Updated Records","Backlog","09/23/2025 16:37:39"
"PAY","DBEAN","PAY-2045","DBEAN-2871","Outbound","Testing Only (UAT-OPS)- Enhance UX/UI for Payment History in Account Summary --> Payment History table - Display Direct Pay as ACH and last four digits [UX][UI][UAT] Research][ERC8.S2]","Ready for Work","09/18/2025 11:35:55"
"CAPE","CRSK","CAPE-1223","CRSK-2814","Outbound","updates to secured and unsecured offers within class for debt consolidation","In Progress","09/22/2025 12:58:39"
"SRE","EMC","SRE-3173","EMC-305","Inbound","Create web app for Monitoring Universe scorecard","In Progress","08/28/2025 16:57:27"
"SIGN","DPSS","SIGN-252","DPSS-1794","Inbound","Notification and document management for Catalyst transactions","In Progress","09/24/2025 09:35:58"
"INSO","FORMS","INSO-2369","FORMS-513","Inbound","Florida - Life and Disability Certificate Revisions to Remove Accidental Dismemberment Benefit and Life Rate Changes ","Backlog","09/22/2025 10:15:36"
"FORMS","INSO","FORMS-513","INSO-2369","Outbound","Florida - Life and Disability Certificate Revisions to Remove Accidental Dismemberment Benefit and Life Rate Changes","Ready for Work","09/24/2025 15:59:59"
"FORMS","ENGOPS","FORMS-513","ENGOPS-4706","Outbound","Florida - Life and Disability Certificate Revisions to Remove Accidental Dismemberment Benefit and Life Rate Changes","Ready for Work","09/24/2025 15:59:59"
"FORMS","E","FORMS-513","E-2025","Outbound","Florida - Life and Disability Certificate Revisions to Remove Accidental Dismemberment Benefit and Life Rate Changes","Ready for Work","09/24/2025 15:59:59"
"DBEAN","PAY","DBEAN-2815","PAY-2018","Outbound","Convert 'AUTOPAY' to 'AutoPay' in loanDetails BFF Call  [Q3] [ERC8.S1]","Backlog","08/27/2025 11:00:49"
"CTEM","CACS","CTEM-49","CACS-3283","Outbound","Techops.onemainfinancial PCI Scan (5)","Blocked","09/19/2025 10:57:31"
"POS","LAS","POS-599","LAS-4122","Outbound","POS Partner Onboarding – Versatile Credit","Backlog","09/04/2025 13:30:10"
"POS","LAS","POS-600","LAS-4121","Outbound","POS Partner Onboarding – Modernize","Backlog","09/04/2025 13:29:15"
"FORMS","INSO","FORMS-512","INSO-2357","Outbound","REVISED GAP WAIVER (BRANCH) FORMS","Ready for Work","09/26/2025 10:20:43"
"COMMS","CISRE","COMMS-3756","CISRE-1088","Inbound","Validate request headers to landable endpoint from public web URLs","Backlog","09/03/2025 15:02:22"
"DPSS","IMG","DPSS-2008","IMG-2056","Outbound","[Proxy] Introduce TargetMode in doc-upload-listener","In Progress","09/17/2025 10:42:46"
"DPSS","IMG","DPSS-2008","IMG-2057","Outbound","[Proxy] Introduce TargetMode in doc-upload-listener","In Progress","09/17/2025 10:42:46"
"PAY","DBEAN","PAY-2018","DBEAN-2815","Inbound","Production Changes - Account Summary's AutoPay enrollment CTA button's placement and the corresponding text replacement  [Q3] [ERC8.S1]","In Progress","09/15/2025 15:36:15"
"INSO","FORMS","INSO-2357","FORMS-512","Inbound","REVISED GAP WAIVER (BRANCH) FORMS","Backlog","08/28/2025 08:58:23"
"ETAC","COR","ETAC-766","COR-88","Inbound","FND-xxxxxx: IT_CM_01: Approval not requested for COR-88","In Progress","09/04/2025 16:10:44"
"CARD","CDL","CARD-4783","CDL-7001","Outbound","AppConfig: GCL 2k, 1k and 500 on CM","Blocked","09/26/2025 03:58:04"
"CARD","CCP","CARD-4783","CCP-704","Inbound","AppConfig: GCL 2k, 1k and 500 on CM","Blocked","09/26/2025 03:58:04"
"CARD","CCP","CARD-4783","CCP-705","Inbound","AppConfig: GCL 2k, 1k and 500 on CM","Blocked","09/26/2025 03:58:04"
"CARD","CDL","CARD-4783","CDL-7001","Inbound","AppConfig: GCL 2k, 1k and 500 on CM","Blocked","09/26/2025 03:58:04"
"DBEAN","OAE","DBEAN-2893","OAE-2323","Outbound","Move Push Notification Pre-Permission Prompt and Update Message (Android and iOS)","Ready for Work","09/23/2025 15:54:25"
"CCP","CARD","CCP-705","CARD-4783","Outbound","AppConfig: GCL 2k and 1k on CM (Prod)","Blocked","09/22/2025 10:36:52"
"OAE","DBEAN","OAE-2323","DBEAN-2893","Inbound","Move Push Notification Pre-Permission Prompt and Update Message (iOS) ","Backlog","09/23/2025 15:53:42"
"CARD","CCP","CARD-4773","CCP-700","Inbound","Card Tracking [BE]: Modify glue job scripts to include card tracking STATUS_CHANGE_DATE Field","Backlog","09/19/2025 11:28:36"
"DBEAN","PAY","DBEAN-2782","PAY-1941","Outbound","CLONE - Enhance UX/UI for Payment History in Account Summary [Placeholder - Chantal/John/Brett to add details][ERC7.S3]","Refinement","09/18/2025 10:45:57"
"SRE","EMC","SRE-3074","EMC-1100","Inbound","Cleanup Grafana alerting to Slack","Acceptance","09/18/2025 14:51:36"
"CACS","CNE","CACS-3097","CNE-3273","Inbound","Compare the geo blocking policies between Akamai and AWS WAF","Ready for Work","09/19/2025 11:54:26"
"CISRE","UPT","CISRE-1141","UPT-408","Outbound","We're getting a 403 now for a JS asset in github actions","In Progress","09/03/2025 10:51:49"
"LAS","PSM","LAS-4017","PSM-327","Outbound","ZORADR cleanup","Testing","09/23/2025 16:27:01"
"LAS","PSM","LAS-4017","PSM-350","Outbound","ZORADR cleanup","Testing","09/23/2025 16:27:01"
