"Project","IssuesWithLinks","TotalLinks","OutboundConnections","InboundConnections","TotalConnectedProjects","AvgLinksPerIssue"
"PAY","200","331","4","5","9","1.66"
"CIA","218","289","4","2","6","1.33"
"COR","88","280","7","4","11","3.18"
"CES","197","257","8","7","15","1.3"
"PDS","23","251","7","2","9","10.91"
"ACM","94","247","2","2","4","2.63"
"CAD","147","231","3","5","8","1.57"
"MCCP","129","228","6","4","10","1.77"
"OAE","66","193","5","5","10","2.92"
"ACQE","156","187","4","6","10","1.2"
"IMG","161","183","2","3","5","1.14"
"DPSS","123","181","5","4","9","1.47"
"CCP","90","171","5","3","8","1.9"
"CACS","70","159","6","5","11","2.27"
"PLAQ","75","150","3","3","6","2"
"MCCE","88","147","6","8","14","1.67"
"CARD","91","138","3","5","8","1.52"
"EMC","41","132","2","4","6","3.22"
"DBEAN","88","126","4","5","9","1.43"
"DEP","76","125","2","6","8","1.64"
"AUT","76","112","3","7","10","1.47"
"SRE","44","97","5","6","11","2.2"
"UPT","82","95","5","3","8","1.16"
"SE","48","89","1","1","2","1.85"
"PLOS","40","87","1","2","3","2.17"
"ESDL","51","86","2","2","4","1.69"
"CDL","50","65","3","2","5","1.3"
"IAM","48","63","3","5","8","1.31"
"CCOL","47","62","1","1","2","1.32"
"CNE","20","61","4","5","9","3.05"
"DCI","32","60","4","4","8","1.88"
"TRIM","40","60","1","1","2","1.5"
"COL","46","57","7","4","11","1.24"
"PLAT","36","52","2","2","4","1.44"
"CTGR","40","52","2","3","5","1.3"
"POP","11","47","4","2","6","4.27"
"ACQ","33","45","4","5","9","1.36"
"CRSK","33","43","6","3","9","1.3"
"CDAD","29","42","3","1","4","1.45"
"MCLD","37","41","4","2","6","1.11"
"COMMS","26","41","2","3","5","1.58"
"UN","22","36","1","2","3","1.64"
"DS","29","36","2","3","5","1.24"
"ONE","32","34","3","2","5","1.06"
"LAS","24","31","2","8","10","1.29"
"ENGOPS","25","31","6","5","11","1.24"
"OSO","12","30","2","3","5","2.5"
"CISRE","23","30","4","4","8","1.3"
"FORMS","19","28","6","3","9","1.47"
"CNS","21","26","5","1","6","1.24"
"CAPE","23","26","1","2","3","1.13"
"DPR","10","24","1","1","2","2.4"
"DBA","14","22","2","3","5","1.57"
"DE","13","21","3","4","7","1.62"
"CARC","15","20","1","1","2","1.33"
"MES","15","19","1","1","2","1.27"
"INSO","19","19","2","2","4","1"
"ERD","13","16","3","1","4","1.23"
"OPSAN","10","16","1","1","2","1.6"
"CONT","13","14","1","1","2","1.08"
"DARC","10","14","2","2","4","1.4"
"ETAC","9","14","1","2","3","1.56"
"PSM","13","14","1","5","6","1.08"
"MCLNE","4","11","4","3","7","2.75"
"AI","9","10","2","2","4","1.11"
"GENAI","5","10","3","3","6","2"
"DAWA","10","10","1","1","2","1"
"HRES","6","9","1","1","2","1.5"
"COMP","8","8","3","2","5","1"
"DCOM","6","7","2","1","3","1.17"
"UX","3","7","1","3","4","2.33"
"CNSS","4","7","3","2","5","1.75"
"ME","6","7","1","1","2","1.17"
"SIGN","6","7","1","3","4","1.17"
"ZCS","6","6","1","1","2","1"
"BINT","6","6","1","1","2","1"
"CBRE","4","5","2","1","3","1.25"
"BAS","4","4","1","1","2","1"
"LAW","4","4","2","1","3","1"
"INTG","3","3","1","1","2","1"
"CTEM","2","3","2","1","3","1.5"
"CENG","3","3","1","0","1","1"
"CE","3","3","1","0","1","1"
"EA","2","2","1","1","2","1"
"POS","2","2","1","0","1","1"
"MCENG","2","2","1","0","1","1"
"DOC","2","2","1","1","2","1"
"MCARD","1","1","1","0","1","1"
"ICS","1","1","1","0","1","1"
"DR","1","1","1","0","1","1"
"SEN","1","1","0","1","1","1"
"COPS","1","1","1","0","1","1"
"CJI","1","1","0","1","1","1"
"CCAL","1","1","0","1","1","1"
