"SourceProject","TargetProject","OutboundLinks","InboundLinks","TotalLinks"
"COR","COR","123","155","278"
"ACM","ACM","66","181","247"
"CAD","CAD","125","100","225"
"PDS","PDS","204","16","220"
"MCCP","MCCP","100","112","212"
"DPSS","DPSS","87","81","168"
"CCP","CCP","77","73","150"
"CACS","CACS","62","84","146"
"OAE","OAE","94","47","141"
"PAY","PAY","64","77","141"
"MCCE","MCCE","57","64","121"
"CES","CES","65","51","116"
"EMC","EMC","36","78","114"
"DEP","DEP","54","42","96"
"DBEAN","DBEAN","51","45","96"
"SE","SE","45","44","89"
"CARD","CARD","52","30","82"
"CIA","CIA","58","18","76"
"AUT","AUT","34","40","74"
"ESDL","ESDL","24","41","65"
"COL","COL","34","30","64"
"PLAQ","PLAQ","33","30","63"
"CCOL","CCOL","40","22","62"
"SRE","SRE","26","34","60"
"CDL","CDL","39","18","57"
"IAM","IAM","31","22","53"
"CNE","CNE","7","43","50"
"DCI","DCI","25","23","48"
"PLOS","PLOS","27","20","47"
"PLAT","PLAT","23","24","47"
"POP","OSO","32","11","43"
"DEP","DPR","21","21","42"
"CDAD","CDAD","21","19","40"
"MCLD","MCLD","16","19","35"
"COMMS","COMMS","18","12","30"
"OAE","DBEAN","17","13","30"
"TRIM","TRIM","16","13","29"
"ACQE","ACQE","11","15","26"
"ONE","ONE","18","7","25"
"IMG","IMG","15","9","24"
"OAE","PAY","19","5","24"
"FORMS","INSO","9","15","24"
"PDS","TOCA","24","0","24"
"CARD","CCP","20","3","23"
"ACQ","ACQ","12","11","23"
"UN","UN","13","9","22"
"CTGR","CTGR","15","7","22"
"CNS","CNS","11","11","22"
"CRSK","CRSK","12","9","21"
"DS","DS","11","10","21"
"SRE","EMC","10","11","21"
"EMC","SRE","4","16","20"
"CARC","CARC","11","9","20"
"CISRE","CISRE","13","7","20"
"DBA","DBA","12","7","19"
"MES","MES","15","4","19"
"CCP","CARD","14","3","17"
"LAS","PSM","10","7","17"
"UPT","UPT","8","8","16"
"OPSAN","OPSAN","11","5","16"
"CONT","CONT","9","5","14"
"ETAC","ETAC","8","6","14"
"OSO","OSO","1","13","14"
"LAS","LAS","7","7","14"
"CARD","CDL","8","5","13"
"DARC","DARC","4","8","12"
"DS","UPT","9","3","12"
"FORMS","FORMS","6","4","10"
"DAWA","DAWA","5","5","10"
"DE","DE","4","6","10"
"ERD","DE","4","6","10"
"COL","CTGR","1","8","9"
"OSO","POP","4","5","9"
"HRES","HRES","4","5","9"
"FORMS","ENGOPS","4","4","8"
"ERD","ERD","4","4","8"
