"ID","Key","Name","Is Custom","Is Orderable","Is Navigable","Is Searchable","Clause Names","Schema Type","Schema Items","Schema Custom Type","Schema Custom ID","Schema System"
"statusCategory","statusCategory","Status Category","False","False","True","True","statusCategory","statusCategory",,,,"statusCategory"
"parent","parent","Parent","False","True","True","True","parent",,,,,
"customfield_10750","customfield_10750","Risk Approver (migrated)","True","True","True","True","Risk Approver (migrated)[User Picker (single user)], Risk Approver (migrated), cf[10750]","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10750",
"resolution","resolution","Resolution","False","True","True","True","resolution","resolution",,,,"resolution"
"customfield_11841","customfield_11841","Impact","True","True","True","True","cf[11841], Impact, Impact[Rating]","number",,"jira.polaris:rating","11841",
"customfield_10752","customfield_10752","Risk Approver2 (migrated)","True","True","True","True","Risk Approver2 (migrated)[User Picker (single user)], cf[10752], Risk Approver2 (migrated)","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10752",
"customfield_10742","customfield_10742","ICON Approver (migrated)","True","True","True","True","ICON Approver (migrated), cf[10742], ICON Approver (migrated)[User Picker (single user)]","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10742",
"customfield_10743","customfield_10743","Modeling Accounting Approver (migrated)","True","True","True","True","Modeling Accounting Approver (migrated)[User Picker (single user)], cf[10743], Modeling Accounting Approver (migrated)","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10743",
"customfield_10744","customfield_10744","Account Manual Fields (migrated)","True","True","True","True","cf[10744], Account Manual Fields (migrated), Account Manual Fields (migrated)[Paragraph]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10744",
"customfield_10745","customfield_10745","Loan Accounting Analyst (migrated)","True","True","True","True","Loan Accounting Analyst (migrated)[User Picker (single user)], cf[10745], Loan Accounting Analyst (migrated)","user",,"com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10745",
"customfield_10746","customfield_10746","Treasury Notes (migrated)","True","True","True","True","Treasury Notes (migrated)[Paragraph], Treasury Notes (migrated), cf[10746]","string",,"com.atlassian.jira.plugin.system.customfieldtypes:textarea","10746",
