"ProjectId","ProjectKey","ProjectName","ProjectTypeKey","ProjectCategory","Description","Lead","LeadEmail","AssigneeType","AvatarUrls","ProjectKeys","Simplified","Style","IsPrivate","Properties","EntityId","UUID"
"10372","PAY"," Servicing - Payments","software","Servicing","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10411","","False","classic","False","{}",,
"10122","AADA","AADA (Atlassian, Agile, & Devops Assessment)","software","ARCHIVED","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10403","","False","classic","False","{}",,
"10114","ACQ","ACQ - Acquisitions Lane","software","Acquisitions","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409","","False","classic","False","{}",,
"10279","AAL","ACQ - Affiliate Lifecycle","software","Acquisitions","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10414","","False","classic","False","{}",,
"10278","AAF","ACQ - Optimize the Apply Funnel","software","Acquisitions","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10406","","False","classic","False","{}",,
"10842","ACQE","ACQ Enablement Team","software","Acquisitions","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10425","","False","classic","False","{}",,
"10252","AMP","Acquisitions - Merchant Partnerships","software","ARCHIVED","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10422","","False","classic","False","{}",,
"10409","ACM","Adobe Campaign Migration","software","Communications","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10638","","False","classic","False","{}",,
"10009","AC","Agile Coaching","software","ARCHIVED","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10402","","False","classic","False","{}",,
"10181","AR","Architecture","software","ARCHIVED","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409","","False","classic","False","{}",,
"10348","ASC","ASC - Archer Snowflake Change Control","software","ARCHIVED","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10412","","False","classic","False","{}",,
"10155","AJM","Atlassian Jira Maintenance","software","ARCHIVED","","","",,"https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10425","","False","classic","False","{}",,
