"Field Name","Field ID","Issue Count"
"Status Category","statusCategory","207313"
"Parent","parent","165815"
"Risk Approver (migrated)","customfield_10750","1890"
"Resolution","resolution","169378"
"Impact","customfield_11841","0"
"Risk Approver2 (migrated)","customfield_10752","149"
"ICON Approver (migrated)","customfield_10742","1381"
"Modeling Accounting Approver (migrated)","customfield_10743","1452"
"Account Manual Fields (migrated)","customfield_10744","0"
"Loan Accounting Analyst (migrated)","customfield_10745","1"
"Treasury Notes (migrated)","customfield_10746","0"
"Risk Manual Fields (migrated)","customfield_10747","283"
"Risk Preparer (migrated)","customfield_10748","605"
"EA4J Auto Approver Custom Field","customfield_11837","0"
"Treasury Preparer (migrated)","customfield_10749","3639"
"Last Viewed","lastViewed","9"
"Modeling Accounting Preparer (migrated)","customfield_10740","1"
"Count (migrated)","customfield_10741","2179"
"Charge Off Amount (migrated)","customfield_10731","2180"
"Insights","customfield_11942","0"
"Additional Pricing Required (migrated)","customfield_10732","4113"
"Atlassian project status","customfield_11941","0"
"Collateral Preparer (migrated)","customfield_10733","1505"
"Linked items","customfield_11944","0"
"Category (migrated)","customfield_10612","22285"
"Comments","customfield_11943","0"
"Treasury Approver 2 (migrated)","customfield_10734","3642"
"?? Original Estimate","aggregatetimeoriginalestimate",
"Recovery (migrated)","customfield_10735","2180"
"Delivery status","customfield_11946","0"
"Collateral Approver (migrated)","customfield_10736","1504"
"Delivery progress","customfield_11945","0"
"Risk Notes (migrated)","customfield_10737","428"
"Category (migrated) (migrated)","customfield_10979","122848"
"UPB (migrated)","customfield_10738","2180"
"ICON Preparer (migrated)","customfield_10739","1381"
"Linked Issues","issuelinks",
"Assignee","assignee","161956"
"Atlassian project","customfield_11940","0"
"Treasury Approver 1 (migrated)","customfield_10730","3643"
"Reviewers: Sprint/Role/Generic","customfield_10725","1"
"Approvers: Sprint/Role/Generic","customfield_10726","2"
"Workfront Automation Required (migrated)","customfield_10605","122848"
"Idea archived","customfield_11937","2"
"ACH/Wire Transaction # (migrated)","customfield_10727","0"
"Risk Approver Required (migrated)","customfield_10728","3425"
"Idea archived on","customfield_11939","2"
"Notes (migrated)","customfield_10729","927"
"Idea archived by","customfield_11938","0"
"Sub-tasks","subtasks",
"Confidence","customfield_11801","0"
"Idea short description","customfield_11800","0"
"Product Lane","customfield_11803","2"
"Documents","customfield_11802","0"
"End User Coordination Effort (migrated)","customfield_10716","36983"
"Sentiment","customfield_11807","0"
"Treasury Approver 2","customfield_10718","5"
"Log Work","worklog",
"Goals","customfield_11808","1"
"Issue Type","issuetype","207314"
"Service (migrated) (migrated)","customfield_10946","122848"
"Planned Start Date (migrated)","customfield_10704","46"
"Time tracking","timetracking",
"Environment","environment","11161"
"Due date","duedate","23135"
"Change Number","customfield_10350","14411"
"Freeze End Date","customfield_10230","4114"
"Category","customfield_10351","0"
"Service (migrated) (migrated) (migrated)","customfield_11561","122850"
"VP Freeze Approver","customfield_10231","27"
"Service","customfield_10352","1"
"Deployment Date","customfield_10232","633"
"Configuration Item","customfield_10353","0"
"Bitbucket Repo Task Branch","customfield_10233","2"
"Assignment Group","customfield_10354","0"
"Alert!!!","customfield_10234",
"Disco Requirements","customfield_10113","0"
"Regulatory/Compliance/Legal (migrated)","customfield_10476","159833"
"Justification","customfield_10355","1"
"Planned Start Date (migrated) (migrated) (migrated)","customfield_11686","46"
"Implementation Plan","customfield_10356","2"
"List of Available Discos","customfield_10114","0"
"Submitted forms","customfield_10346","0"
"Effort","customfield_11799","0"
"R&D Tax Credits","customfield_10225","274"
"Developer","customfield_10104","1588"
"Health Status","customfield_10226","169384"
"QA Engineer","customfield_10105","907"
"Locked forms","customfield_10347","0"
"Value","customfield_11798","0"
"Promotion Date","customfield_10227","16261"
"Total forms","customfield_10348","0"
"Jira_Issue_Key","customfield_10228","12"
"Begin Date","customfield_10108","53"
"Freeze Start Date","customfield_10229","4114"
"End Date","customfield_10109","763"
"Impact score","customfield_11791","0"
"Dependent Teams","customfield_11790","0"
"Rollback Version","customfield_10340","67"
"Spec ready","customfield_11793","0"
"Treasury Approver 1","customfield_10582","5"
"Modeling Accounting Preparer","customfield_10583","0"
"Regulatory/Compliance/Legal","customfield_10220","297"
"Health Status Comments","customfield_10341","344"
"Customer segments","customfield_11792","0"
"Lane","customfield_10100","3552"
"Information","customfield_10342",
"Project start","customfield_11795","0"
"IT Manager","customfield_10221","1074"
"System Manager","customfield_10222","3361"
"SARB Approved","customfield_11794","0"
"Scrum Team","customfield_10101","3989"
"Engineering Lead","customfield_10343","982"
"External Issue ID","customfield_10102","80"
"Late Add Date Difference","customfield_10344","39"
"Program Priority","customfield_10223","221"
"Category","customfield_11797","1"
"Project target","customfield_11796","0"
"PMD Categorization","customfield_10224","53"
"External Issue URL","customfield_10103","80"
"End Date (migrated)","customfield_10466","1"
"Open forms","customfield_10345","0"
"Benefits","customfield_10215","1732"
"Service (migrated)","customfield_10579","159833"
"Collateral Approver","customfield_10458","3"
