"ProjectKey","ProjectName","ResolvedCount","UnresolvedCount","TotalIssues"
"BDME","Business Data Management Execution","0","0","0"
"CAD","RC - Custom Application Development","0","0","0"
"CBRE","RC - Credit Bureau Reporting","0","0","0"
"CCT","Telephony - NICE MVP Pilot Implementation","0","0","0"
"CENG","PIE - Cybersecurity Engineering","0","0","0"
"CITM","Cyber Issue & Triage Management","0","0","0"
"COL","SVC - Collections","0","0","0"
"COM","Unknown","0","0","0"
"CONT","RC - Internal Content","0","0","0"
"CSF","CARDS SF Deployments","0","0","0"
"CTGR","SVC - Collections Tiger","0","0","0"
"CWG","CWGMonitoring","0","0","0"
"DBEAN","SVC - ACT","0","0","0"
"DCI","PIE - Enterprise Engineering Infrastructure","0","0","0"
"DLP","DLP","0","0","0"
"DOC","Next Generation Document Management System","0","0","0"
"DOT","Digital Organization Training","0","0","0"
"EDME","PIE- Enterprise Desktop and Mobility Engineering","0","0","0"
"FNTR","Finance Transformation","0","0","0"
"FS","Foursight Tech/Cyber","0","0","0"
"HRES","RC - Human Resources","0","0","0"
"INEN","INEN - Infrastructure and Engineering Lane","0","0","0"
"JAP","Jira Archive / Cleanup Project","0","0","0"
"JOP","Jira OKR Pilot Project","0","0","0"
"LAW","RC - Law Coding","0","0","0"
"LNL","Lunch and Learn","0","0","0"
"MES","Unknown","0","0","0"
"MOB","Unknown","0","0","0"
"MOD","Unknown","0","0","0"
"NOW","Unknown","0","0","0"
"OAE","Unknown","0","0","0"
"OBE","Unknown","0","0","0"
"OBSRV","Unknown","0","0","0"
"ONE","Unknown","0","0","0"
"OPSAN","Unknown","0","0","0"
"ORL","Unknown","0","0","0"
"OSO","Unknown","0","0","0"
"PAN","Unknown","0","0","0"
"PE","Unknown","0","0","0"
"PIE","Unknown","0","0","0"
"PLAQ","Unknown","0","0","0"
"PLAT","Unknown","0","0","0"
"PLOS","Unknown","0","0","0"
"POP","Unknown","0","0","0"
"POS","Unknown","0","0","0"
"RC","Unknown","0","0","0"
"REM","Unknown","0","0","0"
"SCOF","Unknown","0","0","0"
"SCON","Unknown","0","0","0"
"SE","Unknown","0","0","0"
"SEN","Unknown","0","0","0"
"SHP","Unknown","0","0","0"
"SIGN","Unknown","0","0","0"
"SRE","Unknown","0","0","0"
"STAN","Unknown","0","0","0"
"STNRD","Unknown","0","0","0"
"SVCCOL","Unknown","0","0","0"
"TAM","Unknown","0","0","0"
"TCA","Unknown","0","0","0"
"TCET","Unknown","0","0","0"
"TO","Unknown","0","0","0"
"TOCA","Unknown","0","0","0"
"TOEP","Unknown","0","0","0"
"TOKR","Unknown","0","0","0"
"WL","Unknown","0","0","0"
"ZCS","Unknown","0","0","0"
