"ProjectKey","ProjectName","ResolvedCount","UnresolvedCount","TotalIssues"
"CWG","CWGMonitoring","0","0","0"
"REM","RC- Remediation","0","0","0"
"CENG","PIE - Cybersecurity Engineering","0","0","0"
"CAPS","CTECH- Cybersecurity Appsec","0","0","0"
"EDME","PIE- Enterprise Desktop and Mobility Engineering","0","0","0"
"FSYS","Financial Systems","0","0","0"
"COL","SVC - Collections","0","0","0"
"ERD","Enterprise Release Distribution","0","0","0"
"CTGR","SVC - Collections Tiger","0","0","0"
"GENAI","GENAI","0","0","0"
"TOCA","PIE - Enterprise Engineering Orchestration","0","0","0"
"PAY"," Servicing - Payments","0","0","0"
"POS","Point of Sale","0","0","0"
"CITM","Cyber Issue & Triage Management","0","0","0"
"ICS","INEN - I Core Systems","0","0","0"
"DE","DevOps Engineering","0","0","0"
"IMG","Imaging","0","0","0"
"PLAT","Personal Loans Application Treatment","0","0","0"
"CE","Collections Execution","0","0","0"
"OBSRV","Observability","0","0","0"
"FORMS","Forms","0","0","0"
"DPSS","Document Platform Shared Service","0","0","0"
"BOKR","Business OKRs","0","0","0"
"SRE","PAN - Site Reliability Engineering & Network Reliability Engineering","0","0","0"
"MCORG","Comms - Loan Origination","0","0","0"
"SIGN","OMFSign","0","0","0"
"MCLD","Comms - Data Product","0","0","0"
"CMP","Change Management Practice","0","0","0"
"TAM","Technology Asset Management","0","0","0"
"COR","COR","0","0","0"
"DPB","Demo Prioritization Backlog","0","0","0"
"UPT","UI Platform","0","0","0"
"ME","Marketing Execution","0","0","0"
"AUT","Auto","0","0","0"
"SVCCOL","SVC - COL - Borrower Enablement","0","0","0"
"CTEM","CyberSecurity Threat and Exposure Management","0","0","0"
"EPMC","EPM - Enterprise Patch Management and Compliance","0","0","0"
"COMP","Compliance","0","0","0"
"INEN","INEN - Infrastructure and Engineering Lane","0","0","0"
"ERC","Enterprise Release Cadence","0","0","0"
"NOW","ServiceNow","0","0","0"
"CCT","Telephony - NICE MVP Pilot Implementation","0","0","0"
"AI","INEN - Enterprise Engineering","0","0","0"
"SCOF","SCORE Offline","0","0","0"
"SHP","Shared Platforms","0","0","0"
"CNE","CNSS - Network Engineering","0","0","0"
"BDME","Business Data Management Execution","0","0","0"
"SEN","SVC - Servicing Enhancements","0","0","0"
"CARD","Cards (new)","0","0","0"
"CTECH","CTECH - Cyber Technology","0","0","0"
"CES","C&A - Execution Services","0","0","0"
"TCET","TRIM - Completed Engineering Tasks","0","0","0"
"CACS","CTECH- Cybersecurity Cloudsec","0","0","0"
"BAS","INEN - Business Admin Services","0","0","0"
"SCON","SCORE Online","0","0","0"
"DBA","Data Platform - DBA","0","0","0"
"MCENG","Comms - Loan SVC Engagement","0","0","0"
"OBE","Observability Engineering","0","0","0"
"ACM","Adobe Campaign Migration","0","0","0"
"DOC","Next Generation Document Management System","0","0","0"
"PAS","INEN - Platform Applications Services","0","0","0"
"PE","Productivity Engineering","0","0","0"
"MCCOMP","COMMS Product","0","0","0"
"OAE","SVC – Onboarding & Engagement","0","0","0"
"QUAL","EO - Quality Assurance","0","0","0"
"PDS","INEN - Platform Development Services","0","0","0"
"DP","Data Protection","0","0","0"
"CCP","Credit Cards PCO","0","0","0"
"PLAQ","PLOS Asset Capture and Quoting","0","0","0"
"FNTR","Finance Transformation","0","0","0"
"DPR","DevOps Platform Roadmap","0","0","0"
"DR","Disaster Recovery","0","0","0"
"PLOS","Personal Loan Origination System","0","0","0"
"MCCP","Comms - Customer Preferences","0","0","0"
"EOKR","Enterprise OKRs","0","0","0"
"INSO","Insurance Operations","0","0","0"
"MCARD","Comms - Cards","0","0","0"
"POP","Platform Monitoring & Production Operations","0","0","0"
"MOB","SVC - Mobile","0","0","0"
"CNSS","CNSS - Network Services and Communication Lane","0","0","0"
