"Id","Key","Value","GeneratedAt"
"jira.issuenav.criteria.autoupdate","jira.issuenav.criteria.autoupdate","true","2025-10-07 19:30:51"
"jira.clone.prefix","jira.clone.prefix","CLONE -","2025-10-07 19:30:52"
"jira.date.picker.java.format","jira.date.picker.java.format","d/MMM/yy","2025-10-07 19:30:52"
"jira.date.picker.javascript.format","jira.date.picker.javascript.format","%e/%b/%y","2025-10-07 19:30:52"
"jira.date.time.picker.java.format","jira.date.time.picker.java.format","dd/MMM/yy h:mm a","2025-10-07 19:30:52"
"jira.date.time.picker.javascript.format","jira.date.time.picker.javascript.format","%e/%b/%y %I:%M %p","2025-10-07 19:30:52"
"jira.issue.actions.order","jira.issue.actions.order","asc","2025-10-07 19:30:52"
"jira.lf.date.time","jira.lf.date.time","h:mm a","2025-10-07 19:30:52"
"jira.lf.date.day","jira.lf.date.day","EEEE h:mm a","2025-10-07 19:30:52"
"jira.lf.date.complete","jira.lf.date.complete","dd/MMM/yy h:mm a","2025-10-07 19:30:52"
"jira.lf.date.dmy","jira.lf.date.dmy","dd/MMM/yy","2025-10-07 19:30:52"
"jira.date.time.picker.use.iso8061","jira.date.time.picker.use.iso8061","false","2025-10-07 19:30:52"
"jira.lf.gadget.color1","jira.lf.gadget.color1","#3b73af","2025-10-07 19:30:52"
"jira.lf.gadget.color2","jira.lf.gadget.color2","#d04437","2025-10-07 19:30:52"
"jira.lf.gadget.color3","jira.lf.gadget.color3","#ea632b","2025-10-07 19:30:52"
"jira.lf.gadget.color4","jira.lf.gadget.color4","#14892c","2025-10-07 19:30:52"
"jira.lf.gadget.color5","jira.lf.gadget.color5","#205081","2025-10-07 19:30:52"
"jira.lf.gadget.color6","jira.lf.gadget.color6","#654982","2025-10-07 19:30:52"
"jira.lf.gadget.color7","jira.lf.gadget.color7","#707070","2025-10-07 19:30:52"
"jira.lf.logo.url","jira.lf.logo.url","/jira-logo-scaled.png","2025-10-07 19:30:52"
"jira.lf.logo.show.application.title","jira.lf.logo.show.application.title","false","2025-10-07 19:30:52"
"jira.lf.favicon.url","jira.lf.favicon.url","/favicon.ico","2025-10-07 19:30:52"
"jira.lf.favicon.hires.url","jira.lf.favicon.hires.url","/images/64jira.png","2025-10-07 19:30:52"
"jira.lf.top.bgcolour","jira.lf.top.bgcolour","#205081","2025-10-07 19:30:52"
"jira.lf.navigation.bgcolour","jira.lf.navigation.bgcolour","#1c3761","2025-10-07 19:30:52"
"jira.lf.navigation.highlightcolour","jira.lf.navigation.highlightcolour","#ccddf5","2025-10-07 19:30:52"
"jira.lf.top.hilightcolour","jira.lf.top.hilightcolour","#296CA3","2025-10-07 19:30:52"
"jira.lf.top.separator.bgcolor","jira.lf.top.separator.bgcolor","#2E3D54","2025-10-07 19:30:52"
"jira.lf.top.textcolour","jira.lf.top.textcolour","#ffffff","2025-10-07 19:30:52"
"jira.lf.top.texthilightcolour","jira.lf.top.texthilightcolour","#f0f0f0","2025-10-07 19:30:52"
"jira.lf.menu.bgcolour","jira.lf.menu.bgcolour","#3b73af","2025-10-07 19:30:52"
"jira.lf.menu.separator","jira.lf.menu.separator","#f0f0f0","2025-10-07 19:30:52"
"jira.lf.menu.textcolour","jira.lf.menu.textcolour","#ffffff","2025-10-07 19:30:52"
"jira.lf.hero.button.base.bg.colour","jira.lf.hero.button.base.bg.colour","#3b7fc4","2025-10-07 19:30:52"
"jira.lf.hero.button.text.colour","jira.lf.hero.button.text.colour","#ffffff","2025-10-07 19:30:52"
"jira.lf.text.activelinkcolour","jira.lf.text.activelinkcolour","#3b73af","2025-10-07 19:30:52"
"jira.lf.text.headingcolour","jira.lf.text.headingcolour","#292929","2025-10-07 19:30:52"
"jira.lf.text.linkcolour","jira.lf.text.linkcolour","#3b73af","2025-10-07 19:30:52"
"jira.favicon.use.projecticon","jira.favicon.use.projecticon","false","2025-10-07 19:30:52"
"jira.view.issue.links.sort.order","jira.view.issue.links.sort.order","type, status, priority, resolution","2025-10-07 19:30:52"
"jira.comment.collapsing.minimum.hidden","jira.comment.collapsing.minimum.hidden","10","2025-10-07 19:30:52"
"jira.newsletter.tip.delay.days","jira.newsletter.tip.delay.days","-1","2025-10-07 19:30:52"
"jira.option.globalsharing","jira.option.globalsharing","false","2025-10-07 19:30:52"
"instance.try.intent","instance.try.intent","none","2025-10-07 19:30:52"
"xflow.product.suggestions.enabled","xflow.product.suggestions.enabled","false","2025-10-07 19:30:52"
"jira.service-management.legacy-automation.state","jira.service-management.legacy-automation.state","","2025-10-07 19:30:52"
"jira.admin.announcement.banner.message","jira.admin.announcement.banner.message","","2025-10-07 19:30:52"
"jira.admin.announcement.banner.is-dismissable","jira.admin.announcement.banner.is-dismissable","true","2025-10-07 19:30:52"
"jira.admin.announcement.banner.is-enabled","jira.admin.announcement.banner.is-enabled","false","2025-10-07 19:30:52"
"jira.admin.announcement.banner.visibility","jira.admin.announcement.banner.visibility","public","2025-10-07 19:30:52"
"jira.admin.announcement.banner.hash-id","jira.admin.announcement.banner.hash-id","LS6A2HBIRS77YP8MQXA21PDWDVJWFM28","2025-10-07 19:30:52"
"jira.admin.announcement.banner.v2.content","jira.admin.announcement.banner.v2.content","{""version"":1,""type"":""doc"",""content"":[]}","2025-10-07 19:30:52"
"jira.admin.announcement.banner.v2.bg-color","jira.admin.announcement.banner.v2.bg-color","green","2025-10-07 19:30:52"
"jira.admin.announcement.banner.v2.is-dismissable","jira.admin.announcement.banner.v2.is-dismissable","false","2025-10-07 19:30:52"
