"FieldId","FieldName","FieldType","UsageCount","MigrationPriority","IsSearchable","ClauseNames"
"customfield_12102","Focus Areas","Error","-1","UNKNOWN","False","Error"
"customfield_10288","Score","Error","-1","UNKNOWN","False","Error"
"customfield_11015","Additional Pricing Required (migrated 2)","Error","-1","UNKNOWN","False","Error"
"customfield_10287","Process Date","Error","-1","UNKNOWN","False","Error"
"customfield_11013","Implementation Plan (migrated) (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_10167","Deployed to INT","Error","-1","UNKNOWN","False","Error"
"customfield_10159","Testers: Int","Error","-1","UNKNOWN","False","Error"
"customfield_10270","Project Analyst","Error","-1","UNKNOWN","False","Error"
"customfield_10150","Package No","Error","-1","UNKNOWN","False","Error"
"customfield_10289","Business Case","Error","-1","UNKNOWN","False","Error"
"customfield_10168","Deployed to INT Status","Error","-1","UNKNOWN","False","Error"
"customfield_10169","Deployed to Regression","Error","-1","UNKNOWN","False","Error"
"customfield_10165","Deployed to DEV Status","Error","-1","UNKNOWN","False","Error"
"customfield_10179","Received Post Release/Training Callback","Error","-1","UNKNOWN","False","Error"
"customfield_11139","Risk Approver Required (migrated) (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_10160","Testers: QA","Error","-1","UNKNOWN","False","Error"
"customfield_11267","Health Status (migrated 2)","Error","-1","UNKNOWN","False","Error"
"customfield_10178","Deployed to Post Release Status","Error","-1","UNKNOWN","False","Error"
"customfield_10299","Production Deployment Approvals","Error","-1","UNKNOWN","False","Error"
"customfield_10284","Phase Activity","Error","-1","UNKNOWN","False","Error"
"customfield_10163","Platform","Error","-1","UNKNOWN","False","Error"
"customfield_10164","Deployed to DEV","Error","-1","UNKNOWN","False","Error"
"customfield_10161","Testers: UAT","Error","-1","UNKNOWN","False","Error"
"customfield_10283","External issue ID","Error","-1","UNKNOWN","False","Error"
"customfield_10162","Artifact","Error","-1","UNKNOWN","False","Error"
"customfield_10392","Consists of Core Integrations","Error","-1","UNKNOWN","False","Error"
"customfield_10156","Planned End Date","Error","-1","UNKNOWN","False","Error"
"customfield_10278","Request Approver","Error","-1","UNKNOWN","False","Error"
"customfield_10157","Reviewers: Code Review","Error","-1","UNKNOWN","False","Error"
"customfield_10154","Global Rank","Error","-1","UNKNOWN","False","Error"
"customfield_10396","Expected Behavior","Error","-1","UNKNOWN","False","Error"
"customfield_10155","Planned Start Date","Error","-1","UNKNOWN","False","Error"
"customfield_10269","IT Sponsor","Error","-1","UNKNOWN","False","Error"
"customfield_10028","Actual Result","Error","-1","UNKNOWN","False","Error"
"customfield_10029","Expected Result","Error","-1","UNKNOWN","False","Error"
"customfield_10158","Testers: Unit","Error","-1","UNKNOWN","False","Error"
"customfield_10148","How and Who","Error","-1","UNKNOWN","False","Error"
"customfield_10027","Steps to Reproduce","Error","-1","UNKNOWN","False","Error"
"customfield_10395","Test Results","Error","-1","UNKNOWN","False","Error"
"customfield_10151","Emergency Request","Error","-1","UNKNOWN","False","Error"
"customfield_10030","Acceptance Criteria","Error","-1","UNKNOWN","False","Error"
"customfield_10152","CICD Version","Error","-1","UNKNOWN","False","Error"
"customfield_10271","Project Manager","Error","-1","UNKNOWN","False","Error"
"customfield_10272","Time Frame","Error","-1","UNKNOWN","False","Error"
"customfield_10393","Run vs Build","Error","-1","UNKNOWN","False","Error"
"customfield_10274","Initiative Approver","Error","-1","UNKNOWN","False","Error"
"customfield_10032","Target end","Error","-1","UNKNOWN","False","Error"
"customfield_10153","Bitbucket Repo Slug","Error","-1","UNKNOWN","False","Error"
"customfield_10394","Test Plan","Error","-1","UNKNOWN","False","Error"
"customfield_10031","Target start","Error","-1","UNKNOWN","False","Error"
"customfield_10273","Initiative Approval Date","Error","-1","UNKNOWN","False","Error"
"customfield_10195","Reviewers: Design Review","Error","-1","UNKNOWN","False","Error"
"customfield_10196","Code Review Date","Error","-1","UNKNOWN","False","Error"
"customfield_10197","Security Code Review","Error","-1","UNKNOWN","False","Error"
"customfield_10193","CI/CD","Error","-1","UNKNOWN","False","Error"
"customfield_10194","Design Review Date","Error","-1","UNKNOWN","False","Error"
"customfield_11162","Change type (migrated 3)","Error","-1","UNKNOWN","False","Error"
"customfield_11049","Risk and Impact Analysis (migrated) (migrated)","Error","-1","UNKNOWN","False","Error"
"customfield_10180","Deployed to Training","Error","-1","UNKNOWN","False","Error"
"customfield_10181","Deployed to Training Status","Error","-1","UNKNOWN","False","Error"
"customfield_10198","Approvers: Unit","Error","-1","UNKNOWN","False","Error"
"customfield_10199","Approvers: Int","Error","-1","UNKNOWN","False","Error"
"customfield_12135","Approvals","Error","-1","UNKNOWN","False","Error"
"customfield_10192","Testing Priority","Error","-1","UNKNOWN","False","Error"
"customfield_10753","Deployment State","Error","-1","UNKNOWN","False","Error"
"customfield_10754","Resolution","Error","-1","UNKNOWN","False","Error"
"customfield_11847","Goal","Error","-1","UNKNOWN","False","Error"
"customfield_11970","External issue ID","Error","-1","UNKNOWN","False","Error"
"customfield_10761","Environment Name","Error","-1","UNKNOWN","False","Error"
"customfield_11852","Teams","Error","-1","UNKNOWN","False","Error"
"customfield_11848","Roadmap","Error","-1","UNKNOWN","False","Error"
"customfield_10190","Integration Target Date","Error","-1","UNKNOWN","False","Error"
"customfield_10191","QA Target Date","Error","-1","UNKNOWN","False","Error"
"customfield_10757","Workfront ID","Error","-1","UNKNOWN","False","Error"
"customfield_10758","Reporting Source System","Error","-1","UNKNOWN","False","Error"
"customfield_10759","Source System ID","Error","-1","UNKNOWN","False","Error"
"customfield_10182","Planned Deployment","Error","-1","UNKNOWN","False","Error"
"customfield_10294","Satisfaction date","Error","-1","UNKNOWN","False","Error"
"customfield_10295","Request language","Error","-1","UNKNOWN","False","Error"
"customfield_10174","Deployed to PROD","Error","-1","UNKNOWN","False","Error"
"customfield_10293","Satisfaction","Error","-1","UNKNOWN","False","Error"
"customfield_10172","Deployed to UAT","Error","-1","UNKNOWN","False","Error"
"customfield_10173","Deployed to UAT Status","Error","-1","UNKNOWN","False","Error"
"customfield_10176","Received Production Callback","Error","-1","UNKNOWN","False","Error"
