"Uri","Title","GeneratedAt"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:road-map-gadget/gadgets/roadmap-gadget.xml","Jira Road Map","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:favourite-filters-gadget/gadgets/favourite-filters-gadget.xml","Starred filters","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:assigned-to-me-gadget/gadgets/assigned-to-me-gadget.xml","Assigned to Me","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:in-progress-gadget/gadgets/in-progress-gadget.xml","Issues in progress","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:voted-gadget/gadgets/voted-gadget.xml","Voted Issues","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:watched-gadget/gadgets/watched-gadget.xml","Watched Issues","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:quicklinks-gadget/gadgets/quicklinks-gadget.xml","Quick links","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:filter-results-gadget/gadgets/filter-results-gadget.xml","Filter Results","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:stats-gadget/gadgets/stats-gadget.xml","Issue Statistics","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:two-dimensional-stats-gadget/gadgets/two-dimensional-stats-gadget.xml","Two Dimensional Filter Statistics","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:project-gadget/gadgets/project-gadget.xml","Projects","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:pie-chart-gadget/gadgets/piechart-gadget.xml","Pie Chart","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:heat-map-gadget/gadgets/heatmap-gadget.xml","Heat Map","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:resolution-time-gadget/gadgets/resolution-time-gadget.xml","Resolution Time","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:created-vs-resolved-issues-chart-gadget/gadgets/createdvsresolved-gadget.xml","Created vs. Resolved Chart","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:average-age-chart-gadget/gadgets/average-age-gadget.xml","Average Age Chart","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:time-since-chart-gadget/gadgets/timesince-gadget.xml","Time Since Chart","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:recently-created-chart-gadget/gadgets/recently-created-gadget.xml","Recently Created Chart","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.gadgets:labels-gadget/gadgets/labels-gadget.xml","Labels Gadget","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.ext.charting:timeinstatus-gadget/com/atlassian/jira/ext/charting/gadget/timeinstatus-gadget.xml","Average Time in Status","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.ext.charting:numberoftimesinstatus-gadget/com/atlassian/jira/ext/charting/gadget/numberoftimesinstatus-gadget.xml","Average Number of Times in Status","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.ext.charting:workloadpie-gadget/com/atlassian/jira/ext/charting/gadget/workloadpie-gadget.xml","Workload Pie Chart","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.ext.charting:firstresponse-gadget/com/atlassian/jira/ext/charting/gadget/firstresponse-gadget.xml","Time to First Response","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.pyxis.greenhopper.jira:greenhopper-gadget-sprint-burndown/gadgets/greenhopper-sprint-burndown.xml","Sprint Burndown Gadget","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.pyxis.greenhopper.jira:greenhopper-gadget-sprint-days-remaining/gadgets/greenhopper-sprint-days-remaining.xml","Days Remaining in Sprint Gadget","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.pyxis.greenhopper.jira:greenhopper-gadget-sprint-health/gadgets/greenhopper-sprint-health.xml","Sprint Health Gadget","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.atlassian-wallboard-plugin:spacer-gadget/gadgets/spacerGadget.xml","Wallboard Spacer Gadget","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.jira.ext.calendar:issuescalendar-gadget/templates/plugins/jira/portlets/calendar/gadget/calendar-gadget.xml","Jira Issues Calendar","2025-10-08 04:55:17"
"rest/gadgets/1.0/g/com.atlassian.streams.streams-jira-plugin:activitystream-gadget/gadgets/activitystream-gadget.xml","Activity Stream","2025-10-08 04:55:17"
"","Custom Charts Simple Search","2025-10-08 04:55:17"
"","Structure","2025-10-08 04:55:17"
"","Custom Charts Shared Dashboard","2025-10-08 04:55:17"
"","Custom Charts","2025-10-08 04:55:17"
"","Custom Charts Issue List","2025-10-08 04:55:17"
"","Introduction","2025-10-08 04:55:17"
"","Bubble Chart","2025-10-08 04:55:17"
