"id","name","description","isDefault"
"10000","Default Field Configuration","The default field configuration","True"
"10104","DBE Field Config","Requiring 'Story Points' and 'Lane'",
"10110","Simple Field Configuration","No required fields (other than Reporter and Summary)",
"10115","New DBE Field Config","Requires 'Story Points' ",
"10124","Cards Field Configuration","No required fields (other than Reporter and Summary)",
"10133","AI Field Configuration","The default field configuration",
"10140","AM Field Configuration","",
"10142","AJM: New Project Field Configuration","",
"10149","Vertical Teams Field Config","Requires 'Story Points' ",
"10152","WL Field Configuration","",
"10153","SEC Field Configuration","",
"10154","WL Field Configuration (migrated)","(Migrated on 26 Mar 2023 13:19 UTC)",
"10155","SEC Field Configuration (migrated)","(Migrated on 26 Mar 2023 16:01 UTC)",
"10156","GS: Field Configuration","(Migrated on 26 Mar 2023 22:23 UTC)",
"10167","Standard Field Configuration","For projects created and stripped back to baseline default configurations ",
"10168","Standard Field Configuration - Bug","For projects created and stripped back to baseline default configurations",
"10177","SVC-ACT Field Config","",
"10215","EK-2","Sub-task Field Layout, generated during External To Cloud migration. (Migrated on 26 Feb 2025 20:06 UTC)",
"10216","EK-1","Task Field Layout, generated during External To Cloud migration. (Migrated on 26 Feb 2025 20:06 UTC)",
"10248","EG-1","Task Field Layout, generated during External To Cloud migration. (Migrated on 11 Mar 2025 18:35 UTC)",
"10249","EG-3","Milestone Field Layout, generated during External To Cloud migration. (Migrated on 11 Mar 2025 18:35 UTC)",
"10250","EG-2","Sub-task Field Layout, generated during External To Cloud migration. (Migrated on 11 Mar 2025 18:35 UTC)",
"10251","EK2-1","Task Field Layout, generated during External To Cloud migration. (Migrated on 11 Mar 2025 19:39 UTC)",
"10252","EK2-2","Sub-task Field Layout, generated during External To Cloud migration. (Migrated on 11 Mar 2025 19:39 UTC)",
"10281","EGF-1","Task Field Layout, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:18 UTC)",
"10282","EGF-3","Milestone Field Layout, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:18 UTC)",
"10283","EGF-2","Sub-task Field Layout, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:18 UTC)",
"10284","EKF-1","Task Field Layout, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:43 UTC)",
"10285","EKF-2","Sub-task Field Layout, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:43 UTC)",
"10286","EGN-3","Story Field Layout, generated during External To Cloud migration. (Migrated on 25 Mar 2025 08:47 UTC)",
"10287","EGN-2","Epic Field Layout, generated during External To Cloud migration. (Migrated on 25 Mar 2025 08:47 UTC)",
"10288","EGN-4","Bug Field Layout, generated during External To Cloud migration. (Migrated on 25 Mar 2025 08:47 UTC)",
"10289","EGN-6","Milestone Field Layout, generated during External To Cloud migration. (Migrated on 25 Mar 2025 08:47 UTC)",
"10290","EGN-5","Sub-task Field Layout, generated during External To Cloud migration. (Migrated on 25 Mar 2025 08:47 UTC)",
"10291","EGN-1","Task Field Layout, generated during External To Cloud migration. (Migrated on 25 Mar 2025 08:47 UTC)",
"10314","ENGG-2","Epic Field Layout, generated during External To Cloud migration. (Migrated on 31 Mar 2025 17:12 UTC)",
"10315","ENGG-4","Bug Field Layout, generated during External To Cloud migration. (Migrated on 31 Mar 2025 17:12 UTC)",
"10316","ENGG-3","Story Field Layout, generated during External To Cloud migration. (Migrated on 31 Mar 2025 17:12 UTC)",
"10317","ENGG-1","Task Field Layout, generated during External To Cloud migration. (Migrated on 31 Mar 2025 17:12 UTC)",
"10318","ENGG-5","Sub-task Field Layout, generated during External To Cloud migration. (Migrated on 31 Mar 2025 17:12 UTC)",
"10347","EK-4","Bug Field Layout, generated during External To Cloud migration. (Migrated on 6 Apr 2025 20:32 UTC)",
"10348","EK-1 (migrated)","Task Field Layout, generated during External To Cloud migration. (Migrated on 6 Apr 2025 20:32 UTC)",
"10349","EK-2 (migrated)","Epic Field Layout, generated during External To Cloud migration. (Migrated on 6 Apr 2025 20:32 UTC)",
"10350","EK-3","Story Field Layout, generated during External To Cloud migration. (Migrated on 6 Apr 2025 20:32 UTC)",
"10351","EK-5","Sub-task Field Layout, generated during External To Cloud migration. (Migrated on 6 Apr 2025 20:32 UTC)",
"10380","Standard Field Configuration - Task","For projects created and stripped back to baseline default configurations ",
"10381","Standard Field Configuration - Story","For projects created and stripped back to baseline default configurations ",
"10413","TCET-6","Milestone Field Layout, generated during External To Cloud migration. (Migrated on 14 Jul 2025 19:58 UTC)",
"10414","TCET-5","Bug Field Layout, generated during External To Cloud migration. (Migrated on 14 Jul 2025 19:58 UTC)",
"10415","TCET-3","Sub-task Field Layout, generated during External To Cloud migration. (Migrated on 14 Jul 2025 19:58 UTC)",
