"fieldConfigurationSchemeId","issueTypeId","fieldConfigurationId"
"10101","default","10104"
"10103","default","10110"
"10105","default","10115"
"10108","default","10124"
"10111","default","10133"
"10114","default","10000"
"10114","10146","10142"
"10116","default","10149"
"10117","default","10152"
"10118","default","10153"
"10119","default","10154"
"10120","default","10155"
"10121","default","10156"
"10121","10172","10156"
"10121","10171","10156"
"10124","default","10167"
"10124","10009","10168"
"10124","10007","10380"
"10124","10006","10381"
"10127","default","10177"
"10163","default","10216"
"10163","10008","10215"
"10163","10007","10216"
"10196","default","10248"
"10196","10008","10250"
"10196","10007","10248"
"10197","default","10251"
"10197","10008","10252"
"10197","10007","10251"
"10229","default","10281"
"10229","10008","10283"
"10229","10007","10281"
"10230","default","10284"
"10230","10008","10285"
"10230","10007","10284"
"10262","default","10291"
"10262","10009","10288"
"10262","10000","10287"
"10262","10006","10286"
"10262","10008","10290"
"10262","10007","10291"
"10295","default","10317"
"10295","10009","10315"
"10295","10000","10314"
"10295","10006","10316"
"10295","10008","10318"
"10295","10007","10317"
"10328","default","10348"
"10328","10009","10347"
"10328","10000","10349"
