"id","name","description"
"10101","DBE Field Configuration Scheme",""
"10103","Simple Field Configuration Scheme",""
"10105","New DBE Field Configuration Scheme",""
"10108","Cards Field Configuration Scheme",""
"10111","AI Field Configuration Scheme",""
"10114","AJM Field Configurations",""
"10116","Vertical Teams Field Configuration Scheme",""
"10117","WL Field Configuration","(Migrated on 29 Nov 2022 21:16 UTC) (Migrated on 1 Mar 2023 00:26 UTC)"
"10118","SEC Field Configuration","(Migrated on 29 Nov 2022 21:37 UTC) (Migrated on 1 Mar 2023 04:07 UTC)"
"10119","WL Field Configuration (migrated)","(Migrated on 26 Mar 2023 13:19 UTC)"
"10120","SEC Field Configuration (migrated)","(Migrated on 26 Mar 2023 16:01 UTC)"
"10121","GS Field Configuration","(Migrated on 26 Mar 2023 22:23 UTC)"
"10124","Standard Project Field Configuration Scheme","For projects created and stripped back to baseline default configurations (Migrated on 22 Sep 2023 17:54 UTC)"
"10127","SVC-ACT (DBEAN) Field Configuration Scheme",""
"10163","EK: Default Field Layout Scheme","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 26 Feb 2025 20:06 UTC)"
"10196","EG: Default Field Layout Scheme","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 11 Mar 2025 18:35 UTC)"
"10197","EK2: Default Field Layout Scheme","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 11 Mar 2025 19:39 UTC)"
"10229","EGF: Default Field Layout Scheme","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:18 UTC)"
"10230","EKF: Default Field Layout Scheme","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:43 UTC)"
"10262","EGN: Default Field Layout Scheme","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 25 Mar 2025 08:47 UTC)"
"10295","ENGG: Default Field Layout Scheme","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 31 Mar 2025 17:13 UTC)"
"10328","EK: Default Field Layout Scheme (migrated)","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 6 Apr 2025 20:32 UTC)"
"10361","TCET: Default Field Layout Scheme","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 14 Jul 2025 19:58 UTC)"
"10394","CET: Default Field Layout Scheme","Default Field Layout Scheme, generated during External To Cloud migration. (Migrated on 23 Jul 2025 12:46 UTC)"
