"Id","Key","Name","Custom","Orderable","Navigable","Searchable","ClauseNames","SchemaType","SchemaItems","SchemaSystem","SchemaCustom","SchemaCustomId","SchemaConfiguration","ScopeType","ScopeProjectId","ScopeProjectKey","GeneratedAt"
"statusCategory","statusCategory","Status Category","false","false","true","true","statusCategory","statusCategory","","statusCategory","","","","","","","2025-09-23T15:35:57.239Z"
"parent","parent","Parent","false","true","true","true","parent","","","","","","","","","","2025-09-23T15:35:57.263Z"
"customfield_10750","customfield_10750","Risk Approver (migrated)","true","true","true","true","Risk Approver (migrated)[User Picker (single user)]; Risk Approver (migrated); cf[10750]","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10750","","","","","2025-09-23T15:35:57.274Z"
"resolution","resolution","Resolution","false","true","true","true","resolution","resolution","","resolution","","","","","","","2025-09-23T15:35:57.275Z"
"customfield_11841","customfield_11841","Impact","true","true","true","true","cf[11841]; Impact; Impact[Rating]","number","","","jira.polaris:rating","11841","","PROJECT","10446","","2025-09-23T15:35:57.287Z"
"customfield_10752","customfield_10752","Risk Approver2 (migrated)","true","true","true","true","Risk Approver2 (migrated)[User Picker (single user)]; cf[10752]; Risk Approver2 (migrated)","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10752","","","","","2025-09-23T15:35:57.288Z"
"customfield_10742","customfield_10742","ICON Approver (migrated)","true","true","true","true","ICON Approver (migrated); cf[10742]; ICON Approver (migrated)[User Picker (single user)]","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10742","","","","","2025-09-23T15:35:57.289Z"
"customfield_10743","customfield_10743","Modeling Accounting Approver (migrated)","true","true","true","true","Modeling Accounting Approver (migrated)[User Picker (single user)]; cf[10743]; Modeling Accounting Approver (migrated)","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10743","","","","","2025-09-23T15:35:57.290Z"
"customfield_10744","customfield_10744","Account Manual Fields (migrated)","true","true","true","true","cf[10744]; Account Manual Fields (migrated); Account Manual Fields (migrated)[Paragraph]","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10744","","","","","2025-09-23T15:35:57.290Z"
"customfield_10745","customfield_10745","Loan Accounting Analyst (migrated)","true","true","true","true","Loan Accounting Analyst (migrated)[User Picker (single user)]; cf[10745]; Loan Accounting Analyst (migrated)","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10745","","","","","2025-09-23T15:35:57.291Z"
"customfield_10746","customfield_10746","Treasury Notes (migrated)","true","true","true","true","Treasury Notes (migrated)[Paragraph]; Treasury Notes (migrated); cf[10746]","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10746","","","","","2025-09-23T15:35:57.291Z"
"customfield_10747","customfield_10747","Risk Manual Fields (migrated)","true","true","true","true","Risk Manual Fields (migrated)[Paragraph]; Risk Manual Fields (migrated); cf[10747]","string","","","com.atlassian.jira.plugin.system.customfieldtypes:textarea","10747","","","","","2025-09-23T15:35:57.292Z"
"customfield_10748","customfield_10748","Risk Preparer (migrated)","true","true","true","true","cf[10748]; Risk Preparer (migrated)[User Picker (single user)]; Risk Preparer (migrated)","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10748","","","","","2025-09-23T15:35:57.292Z"
"customfield_10749","customfield_10749","Treasury Preparer (migrated)","true","true","true","true","cf[10749]; Treasury Preparer (migrated)[User Picker (single user)]; Treasury Preparer (migrated)","user","","","com.atlassian.jira.plugin.system.customfieldtypes:userpicker","10749","","","","","2025-09-23T15:35:57.293Z"
"lastViewed","lastViewed","Last Viewed","false","false","true","false","lastViewed","datetime","","lastViewed","","","","","","","2025-09-23T15:35:57.293Z"
