"Id","Name","Inward","Outward","Self","GeneratedAt"
"10000","Blocks","is blocked by","blocks","https://onemain.atlassian.net/rest/api/3/issueLinkType/10000","2025-09-24 15:31:17"
"10006","Causes","is caused by","causes","https://onemain.atlassian.net/rest/api/3/issueLinkType/10006","2025-09-24 15:31:17"
"10001","Cloners","is cloned by","clones","https://onemain.atlassian.net/rest/api/3/issueLinkType/10001","2025-09-24 15:31:17"
"10101","Defect","created by","created","https://onemain.atlassian.net/rest/api/3/issueLinkType/10101","2025-09-24 15:31:17"
"10102","Dependency","dependency of","dependent upon","https://onemain.atlassian.net/rest/api/3/issueLinkType/10102","2025-09-24 15:31:17"
"10104","Deployment","is part of","deploys","https://onemain.atlassian.net/rest/api/3/issueLinkType/10104","2025-09-24 15:31:17"
"10147","Discovery - Connected","is connected to","connects to","https://onemain.atlassian.net/rest/api/3/issueLinkType/10147","2025-09-24 15:31:17"
"10002","Duplicate","is duplicated by","duplicates","https://onemain.atlassian.net/rest/api/3/issueLinkType/10002","2025-09-24 15:31:17"
"10109","Feature","is a feature for","Features","https://onemain.atlassian.net/rest/api/3/issueLinkType/10109","2025-09-24 15:31:17"
"10107","Integrated Deployment","is in integrated deployment","is an integrated deployment for","https://onemain.atlassian.net/rest/api/3/issueLinkType/10107","2025-09-24 15:31:17"
"10113","KR","is related to KR","KR relates to","https://onemain.atlassian.net/rest/api/3/issueLinkType/10113","2025-09-24 15:31:17"
"10114","migration_parent","is a parent of","is a child of","https://onemain.atlassian.net/rest/api/3/issueLinkType/10114","2025-09-24 15:31:17"
"10112","Polaris datapoint work item link","added to idea","is idea for","https://onemain.atlassian.net/rest/api/3/issueLinkType/10112","2025-09-24 15:31:17"
"10111","Polaris merge work item link","merged into","merged from","https://onemain.atlassian.net/rest/api/3/issueLinkType/10111","2025-09-24 15:31:17"
"10110","Polaris work item link","is implemented by","implements","https://onemain.atlassian.net/rest/api/3/issueLinkType/10110","2025-09-24 15:31:17"
"10007","Regressions","discovered while testing","testing discovered","https://onemain.atlassian.net/rest/api/3/issueLinkType/10007","2025-09-24 15:31:17"
"10003","Relates","relates to","relates to","https://onemain.atlassian.net/rest/api/3/issueLinkType/10003","2025-09-24 15:31:17"
"10105","Sub Task","is subtask of","parent of","https://onemain.atlassian.net/rest/api/3/issueLinkType/10105","2025-09-24 15:31:17"
"10100","Test","is tested by","tests","https://onemain.atlassian.net/rest/api/3/issueLinkType/10100","2025-09-24 15:31:17"
"10108","Treatment","is treated by","treats","https://onemain.atlassian.net/rest/api/3/issueLinkType/10108","2025-09-24 15:31:17"
"10106","Trigger","is triggered by","triggers","https://onemain.atlassian.net/rest/api/3/issueLinkType/10106","2025-09-24 15:31:17"
"10103","Work item split","split from","split to","https://onemain.atlassian.net/rest/api/3/issueLinkType/10103","2025-09-24 15:31:17"
