"ID","Name","InwardDescription","OutwardDescription","GeneratedAt"
"10000","Blocks","is blocked by","blocks","2025-09-23 15:35:51"
"10006","Causes","is caused by","causes","2025-09-23 15:35:51"
"10001","Cloners","is cloned by","clones","2025-09-23 15:35:51"
"10101","Defect","created by","created","2025-09-23 15:35:51"
"10102","Dependency","dependency of","dependent upon","2025-09-23 15:35:51"
"10104","Deployment","is part of","deploys","2025-09-23 15:35:51"
"10147","Discovery - Connected","is connected to","connects to","2025-09-23 15:35:51"
"10002","Duplicate","is duplicated by","duplicates","2025-09-23 15:35:51"
"10109","Feature","is a feature for","Features","2025-09-23 15:35:51"
"10107","Integrated Deployment","is in integrated deployment","is an integrated deployment for","2025-09-23 15:35:51"
"10113","KR","is related to KR","KR relates to","2025-09-23 15:35:51"
"10114","migration_parent","is a parent of","is a child of","2025-09-23 15:35:51"
"10112","Polaris datapoint work item link","added to idea","is idea for","2025-09-23 15:35:51"
"10111","Polaris merge work item link","merged into","merged from","2025-09-23 15:35:51"
"10110","Polaris work item link","is implemented by","implements","2025-09-23 15:35:51"
"10007","Regressions","discovered while testing","testing discovered","2025-09-23 15:35:51"
"10003","Relates","relates to","relates to","2025-09-23 15:35:51"
"10105","Sub Task","is subtask of","parent of","2025-09-23 15:35:51"
"10100","Test","is tested by","tests","2025-09-23 15:35:51"
"10108","Treatment","is treated by","treats","2025-09-23 15:35:51"
"10106","Trigger","is triggered by","triggers","2025-09-23 15:35:51"
"10103","Work item split","split from","split to","2025-09-23 15:35:51"
