Same,Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IssueStatus,Unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LinkedIssueStatus,Unresolved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count of IssueKey,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,ACM,ACQ,ACQE,AI,AUT,AUTO,BINT,BOKR,CACS,CAD,CAPE,CAPP,CAR,CARD,CBRE,CCAL,CCOL,CCT,CDA,CDL,CES,CFOPS,CI,CIA,CISRE,CJI,CLSS,CMP,CNE,CNS,COL,COMMS,COMP,COR,CRSK,CSYS,CTEM,CTGR,CUSTIAM,DARC,DBA,DBEAN,DCI,DCOM,DE,DEP,DIS,DPB,DPR,DPSS,DR,DS,EDME,EMC,ENGOPS,EOKR,EPMC,ER,ERD,ESDL,ESYS,FLDR,FORMS,GENAI,IAM,ICS,IMG,INI,INSO,INTG,KO,LAS,LAW,MCCE,MCCP,MCLD,MCLNE,ME,MES,MO,MOB,OAE,OBSRV,OE,ONE,ORC,ORIG,ORL,OSO,PA,PAY,PDS,PIE,PLAQ,PLAT,PLOS,POP,POS,PSM,QUAL,SEN,SIGN,SRE,TCA,TOKR,TP,TRIM,UN,UPT,UX,Grand Total,,,,,,,,,,,,,,,,,,,
OBSRV,,,110 ,,18 ,,,,,,11 ,,,22 ,,,,,,,22 ,,,5 ,,,,,,,,,,,,,,25 ,,,,7 ,,,,,,,,2 ,,,,,,,,,,1 ,,,,,,,155 ,,,,,,,11 ,,,,,,,,,,,,,,270 ,,,43 ,,,,,,,,,,,,,,,,,11 ,,,713 ,,,,,,,,,,,,,,,,,,,
INI,,,,,,,36 ,,,2 ,1 ,,,,4 ,,,,,,,,,,,,232 ,,,,,,,,5 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,117 ,4 ,,,,,,,16 ,,2 ,6 ,,,,,,,,10 ,,,,3 ,,,,,,,,,,,,,,,,13 ,,,,,,,,,,,461 ,,,,,,,,,,,,,,,,,,,
ORL,,,8 ,,1 ,,,,,1 ,,,,,,1 ,,,,,2 ,,,8 ,2 ,,5 ,,,,1 ,8 ,1 ,2 ,3 ,,,,,,,,,,,,,,,,,,,,10 ,,,,,,7 ,,2 ,,,,,,,,,,,,,,,,,,,8 ,270 ,,,,,,,,8 ,,,,,,,,,,,,3 ,,2 ,,,,,,353 ,,,,,,,,,,,,,,,,,,,
EOKR,,13 ,38 ,,,,,,,,,,,,,,,,,,,,,202 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 ,,,,,,,,,3 ,,,,,,,,,,,,,27 ,2 ,56 ,1 ,349 ,,,,,,,,,,,,,,,,,,,
TOKR,,,,,,,,,,,,,,,,,,,,,123 ,,,,,,7 ,,,,,,,2 ,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,2 ,,,143 ,,,39 ,,21 ,,,,1 ,,,,,,,,,,,342 ,,,,,,,,,,,,,,,,,,,
CIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202 ,,,,,,,,,,,,,,,,,,3 ,,,,,,,,,5 ,,,,,8 ,,,,,,,,,,,,,,,,,,,,3 ,,1 ,222 ,,,,,,,,,,,,,,,,,,,
PAY,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,2 ,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,43 ,,,,,8 ,,,,,,,,,,,,,,,,,143 ,,,,,,205 ,,,,,,,,,,,,,,,,,,,
CES,,,,,,2 ,,1 ,,,3 ,,,,,,,,,,,,1 ,,,,,,,,,,,,3 ,,,,,2 ,,,,,2 ,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,22 ,,,,,2 ,,,,2 ,,,,,,,,,,,1 ,,123 ,,,,,,165 ,,,,,,,,,,,,,,,,,,,
IMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,157 ,,,,,,,,,,,,,,,,,,,
ACQE,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,110 ,,,,,8 ,,,,,,,,,,,,,,,,,,,,,,,157 ,,,,,,,,,,,,,,,,,,,
EPMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,119 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 ,,,,,,,,,,,,,,,,,,,
EDME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119 ,,,,,,,,,,,,,,,,,,,
CFOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113 ,3 ,,,1 ,,,,,,,,,,,,,,,,,,,,,118 ,,,,,,,,,,,,,,,,,,,
PLAQ,,1 ,,,,,,39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 ,,,,,,,,,,39 ,,,,,,86 ,,,,,,,,,,,,,,,,,,,
AUT,,,,,,57 ,,,,3 ,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,1 ,,,,,,,,,,,,,,,,2 ,,,,,,18 ,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,84 ,,,,,,,,,,,,,,,,,,,
QUAL,,,,,,,,,,,,,,,,,,,,,,,,,,,59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,,,,,,,12 ,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,,,76 ,,,,,,,,,,,,,,,,,,,
BOKR,,,,,,,,,,,1 ,,,,,,,,,,1 ,,,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,,,39 ,,21 ,,,,,,,,,,,,,,,65 ,,,,,,,,,,,,,,,,,,,
UPT,,,,,,,,,,1 ,,,,,,,,,,,,,,,2 ,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,3 ,,,,56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63 ,,,,,,,,,,,,,,,,,,,
DEP,,,,,,,,,,,,,,,,,,,,,,,2 ,,,,,,,,,,,,,,,,,,,,,,1 ,,,,49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 ,,,,,,,,,,,,,,,,,,,
DPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49 ,,,,,,,,,,,,,,,,,,,
PLOS,,,,,,,,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 ,,,,,,42 ,,,,,,,,,,,,,,,,,,,
LAS,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,1 ,,,,1 ,,,,,,,,,8 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,14 ,1 ,,,,,1 ,,,,,,38 ,,,,,,,,,,,,,,,,,,,
BINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38 ,,,,,,,,,,,,,,,,,,,
MCCE,,,,,,,,,,,,,,,,,,,,,,,,3 ,,,,,,,1 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 ,,,,,1 ,,2 ,,,,,1 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,34 ,,,,,,,,,,,,,,,,,,,
INSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,,8 ,,,,,20 ,,,,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 ,,,,,,,,,,,,,,,,,,,
