"ProjectKey","ProjectStatus","LinkedProjectKeys","LinkCount","GeneratedAt"
"CAD","Active","AR; AUT; AUTO; CAPP; CBRE; CONT; DAWA; DBA; DE; DPSS; EA; ESYS; FLDR; IMG; INI; INTG; LAS; MCCE; MCLNE; ORL; QUAL; TOCA; UPT","23","2025-09-26 06:57:17"
"CBRE","Active","CAD; CAPP; CLSS; COMP; CRSK; CSYS; DARC; DBA; ETAC; HRES; INI; LAS","12","2025-09-26 06:57:17"
"CCT","Active","","0","2025-09-26 06:57:17"
"CENG","Active","AI; CAPS; CI; DCI; EPMC; IAM; OSO; PDS; WI","9","2025-09-26 06:57:17"
"COL","Active","CAPP; CFOPS; CI; CISRE; CLSS; CNE; COMP; COR; CTGR; DBEAN; DCOM; DTEST; EMC; ENGOPS; FORMS; LAS; LAW; MCCE; MCCP; MOB; OAE; ORL; PAY; PSM; QUAL; REM; SEN; SRE; SVCCOL; TOKR; UX","31","2025-09-26 06:57:17"
"CONT","Active","CAD; CSYS; DCI; DE; GENAI","5","2025-09-26 06:57:17"
"CTGR","Active","CES; CI; COL; DBEAN; ENGOPS; IAM; IMG; OBSRV","8","2025-09-26 06:57:17"
"DBEAN","Active","ACQ; AJM; CAR; CFOPS; CI; CISRE; COL; COMMS; CTGR; DE; DEP; DIS; DTEST; EMC; GENAI; IAM; MOB; OAE; OBSRV; ONE; PA; PAY; TOKR; TRIM; UPT","25","2025-09-26 06:57:17"
"DCI","Active","AI; CACS; CARC; CCOL; CDAD; CENG; CI; CNE; CNS; CONT; DBA; DEP; DP; EA; EMC; EPMC; FLDR; IAM; MCCE; MES; OSD; OSL; OSO; PDS; SRE; TOCA; TOEP","27","2025-09-26 06:57:17"
"DOC","Active","CI; DEP; SIGN","3","2025-09-26 06:57:17"
"EDME","Active","AI; CAPS; CARC; CEUX; CLSS; CNS; CNSS; CTEM; DEP; EPMC; IAM; ORL; PAY; TAM","14","2025-09-26 06:57:17"
"HRES","Active","CBRE; CLSS; CSYS; DBA; ESYS; FLDR; INI","7","2025-09-26 06:57:17"
"LAW","Active","CAPE; CLFM; CLSS; COL; COMP; CPE; CRSK; DAWA; ENGOPS; ER; ETAC; FORMS; INI; LAS; OR; ORL; QUAL; ROUT","18","2025-09-26 06:57:17"
"MES","Active","AI; CISRE; DCI; EPMC; GENAI; PDS","6","2025-09-26 06:57:17"
"MOB","Active","","0","2025-09-26 06:57:17"
"MOD","Active","ENGOPS; IAM","2","2025-09-26 06:57:17"
"NOW","Active","POP","1","2025-09-26 06:57:17"
"OAE","Active","","0","2025-09-26 06:57:17"
"OBE","Active","","0","2025-09-26 06:57:17"
"OBSRV","Active","ACQE; AUT; CAPE; CARD; CES; CIA; CRSK; CTGR; DBEAN; DPSS; ESDL; IMG; MCCE; OAE; ORL; PAY; UN","17","2025-09-26 06:57:17"
"ONE","Active","CARD; CCP; DBEAN; DS; EOKR; OAE; UPT","7","2025-09-26 06:57:17"
"OPSAN","Active","","0","2025-09-26 06:57:17"
"ORL","Active","AAF; ACQ; ACQE; AUT; AUTO; CAD; CAPE; CAPP; CAR; CCAL; CES; CFOPS; CI; CIA; CISRE; CLFM; CLSS; COL; COMMS; COMP; COR; CPE; CRSK; CUSTIAM; DARC; DAWA; DBA; DPSS; EDME; EMC; ENGOPS; EOKR; ESIG; ESYS; FORMS; ICS; IMG; INI; INSO; INTG; LAS; LAW; MCCE; MCLNE; MCORG; MOB; NBA; OAE; OBSRV; ORC; OREN; ORIG; ORS; PAY; PLAQ; PLOS; PORT; QUAL; REM; ROUT; SIGN; SRE; SVC; TDC; TOKR; UPT; UX","67","2025-09-26 06:57:17"
"OSO","Active","","0","2025-09-26 06:57:17"
"PAN","Active","","0","2025-09-26 06:57:17"
"PE","Active","","0","2025-09-26 06:57:17"
"PIE","Active","CISRE; CNE; CNS; OSO; SRE","5","2025-09-26 06:57:17"
