"ProjectKey","ProjectStatus","LinkedProjectKeys","LinkCount","GeneratedAt"
"ACM","Active","CARD; MCLD","2","2025-09-26 06:47:55"
"ACQ","Active","AAF; AAL; ACQE; AUT; CACS; CAPE; CAPP; CFOPS; CI; CISRE; CLSS; COMMS; COR; CRSK; DBA; DBEAN; DOPS; DTEST; EOKR; ESYS; MCACQ; MCCP; MOB; OAE; ORC; ORL; ORS; PLAQ; QUAL; SIGN; TDC; UX","32","2025-09-26 06:47:55"
"ACQE","Active","ACQ; CFOPS; CI; DBA; EMC; EOKR; OBSRV; ORL; SRE; UPT","10","2025-09-26 06:47:55"
"AI","Active","CAR; CENG; CI; CISRE; CLSS; CNE; CNO; CNS; CRSK; CSYS; DAWA; DBA; DCI; EA; EDME; EPMC; ESYS; IAM; IMG; INI; ISE; LAS; MES; OSO; POS; QUAL; TOCA","27","2025-09-26 06:47:55"
"AUT","Active","ACQ; AUTO; CACS; CAD; CES; CFOPS; CI; CISRE; COR; ENGOPS; EOKR; ESYS; FORMS; IMG; MCLNE; MCORG; OBSRV; ORL; QUAL; SRE","20","2025-09-26 06:47:55"
"BAS","Active","DBA; IAM; IMG","3","2025-09-26 06:47:55"
"BDME","Active","","0","2025-09-26 06:47:55"
"BINT","Active","CAPP; CLSS; DAWA; ESDL; ESYS; FLDR; INI; INSO; LAS; OR; QUAL; TOKR","12","2025-09-26 06:47:55"
"BOKR","Active","CAPE; CES; CLSS; CRSK; DARC; PAY; PLAQ; PLOS; QUAL","9","2025-09-26 06:47:55"
"CACS","Active","AAL; ACQ; AUT; CAPS; CAR; CARC; CARD; CDAD; CES; CI; CISRE; CNE; CNS; COMMS; CSE; CTECH; CTEM; DCI; DE; DEP; DPSS; ESDL; ETAC; MCCE; OAE; PLOS; SIGN; SRE; TOCA; UPT","30","2025-09-26 06:47:55"
"CAD","Active","AR; AUT; AUTO; CAPP; CBRE; CONT; DAWA; DBA; DE; DPSS; EA; ESYS; FLDR; IMG; INI; INTG; LAS; MCCE; MCLNE; ORL; QUAL; TOCA; UPT","23","2025-09-26 06:57:17"
"CAD","Active","","0","2025-09-26 06:47:55"
