"ProjectKey","ProjectStatus","LinkedProjectKeys","LinkCount","GeneratedAt"
"ACM","Active","","0","2025-09-29 16:57:30"
"ACQ","Active","AAF; AAL; ACQE; CACS; CI; CISRE; COR; CRSK; DBEAN; EOKR; PLAQ; SIGN; TDC; UX","14","2025-09-29 16:57:30"
"AI","Active","CI; DBA; DCI; EA; INI; MES","6","2025-09-29 16:57:30"
"CARC","Active","","0","2025-09-29 16:57:30"
"CBRE","Active","","0","2025-09-29 16:57:30"
"CCAL","Active","CAPE; CPE; CRSK; QUAL","4","2025-09-29 16:57:30"
"CCP","Active","CARD; CES; CI; DEP; ONE","5","2025-09-29 16:57:30"
"CISRE","Active","CACS; CI; DEP; MCLD; SRE; UPT","6","2025-09-29 16:57:30"
"COR","Active","ACQ; AUT; CAPE; COL; COMP; DE; PAY; TOKR","8","2025-09-29 16:57:30"
"DARC","Active","CES; CLSS","2","2025-09-29 16:57:30"
"DBA","Active","ACQ; ACQE; AI; EMC; IMG; OSO; POP; SIGN","8","2025-09-29 16:57:30"
"DCI","Active","","0","2025-09-29 16:57:30"
"DEP","Active","CACS; CI; DBEAN; DCI; DE; DPR","6","2025-09-29 16:57:30"
"DOC","Active","","0","2025-09-29 16:57:30"
"DP","Active","DCI","1","2025-09-29 16:57:30"
"DPR","Active","DEP","1","2025-09-29 16:57:30"
"DR","Active","PSM","1","2025-09-29 16:57:30"
"DS","Active","ONE; UPT","2","2025-09-29 16:57:30"
"EMC","Active","DCI; DCOM; SRE","3","2025-09-29 16:57:30"
"ENGOPS","Active","AUT; CAPP; CARC; CTGR; FORMS; LAS; LAW; PAY","8","2025-09-29 16:57:30"
"ERD","Active","COR; DE","2","2025-09-29 16:57:30"
"ETAC","Active","","0","2025-09-29 16:57:30"
"FORMS","Active","COMP; DPSS; ENGOPS; INSO; PAY; SEN","6","2025-09-29 16:57:30"
"ICS","Active","PSM","1","2025-09-29 16:57:30"
"LAS","Active","CES; CLSS; COL; CUSTIAM; ENGOPS; ESYS; INI; INSO; LAW; POS; PSM; QUAL; TOKR","13","2025-09-29 16:57:30"
"LAW","Active","","0","2025-09-29 16:57:30"
"MCARD","Active","MCCE","1","2025-09-29 16:57:30"
"MCCOL","Active","","0","2025-09-29 16:57:30"
"MCLD","Active","ACM; CDA; CISRE; MCCP","4","2025-09-29 16:57:30"
"MCLNE","Active","AUT; CDA; COR; MCARD; MCCE; MCCP; MCLD; MCORG","8","2025-09-29 16:57:30"
"MES","Active","","0","2025-09-29 16:57:30"
"PLAQ","Active","","0","2025-09-29 16:57:30"
"PLAT","Active","","0","2025-09-29 16:57:30"
"PLOS","Active","","0","2025-09-29 16:57:30"
"QUAL","Active","CAPE; CAPP; CIA; CLSS; COL; CPE; CRSK; DAWA; ESIG; ESYS; IMG; INI; LAS; LAW; OREN; ORIG; TOKR","17","2025-09-29 16:57:30"
"REM","Active","","0","2025-09-29 16:57:30"
"SE","Active","","0","2025-09-29 16:57:30"
"TAM","Active","","0","2025-09-29 16:57:30"
"TCA","Active","","0","2025-09-29 16:57:30"
"TDC","Active","AAF; AAL; ACQ; CI; COMMS; MOB; OAE; ORC; ORIG","9","2025-09-29 16:57:30"
"TOEP","Active","","0","2025-09-29 16:57:30"
"UN","Active","CIA; EOKR; OBSRV","3","2025-09-29 16:57:30"
