"ProjectKey","ProjectStatus","LinkedProjectKeys","LinkCount","GeneratedAt"
"ACM","Active","","0","2025-09-29 16:57:30"
"ACQ","Active","AAF; AAL; ACQE; CACS; CI; CISRE; COR; CRSK; DBEAN; EOKR; PLAQ; SIGN; TDC; UX","14","2025-09-29 16:57:30"
"ACQE","Active","ACQ; CI; DBA; EOKR; OBSRV; SRE; UPT","7","2025-09-29 16:57:30"
"AI","Active","CI; DBA; DCI; EA; INI; MES","6","2025-09-29 16:57:30"
"AUT","Active","AUTO; CAD; CES; CI; COR; ENGOPS; ESYS; FORMS; IMG; MCLNE; MCORG; OBSRV; QUAL","13","2025-09-29 16:57:30"
"BAS","Active","","0","2025-09-29 16:57:30"
"BDME","Active","","0","2025-09-29 16:57:30"
"BINT","Active","CLSS; DAWA; INI; OR; QUAL","5","2025-09-29 16:57:30"
"BOKR","Active","CAPE; CES; CLSS; CRSK; DARC; PAY; PLAQ; PLOS; QUAL","9","2025-09-29 16:57:30"
"CACS","Active","ACQ; CAPS; CARD; CISRE; CNE; CTEM; DCI; MCCE","8","2025-09-29 16:57:30"
"CAD","Active","","0","2025-09-29 16:57:30"
"CAPE","Active","BOKR; CAPP; CCAL; CES; CLSS; COR; CPE; CRSK; INI; LAS; OBSRV; QUAL; ROUT","13","2025-09-29 16:57:30"
"CAPS","Active","","0","2025-09-29 16:57:30"
"CARC","Active","","0","2025-09-29 16:57:30"
"CARD","Active","ACM; CACS; CAR; CCP; CDL; MCCP; OBSRV","7","2025-09-29 16:57:30"
"CBRE","Active","","0","2025-09-29 16:57:30"
"CCAL","Active","CAPE; CPE; CRSK; QUAL","4","2025-09-29 16:57:30"
"CCOL","Active","EA","1","2025-09-29 16:57:30"
"CCP","Active","CARD; CES; CI; DEP; ONE","5","2025-09-29 16:57:30"
"CCT","Active","","0","2025-09-29 16:57:30"
"CDAD","Active","CACS; DCI","2","2025-09-29 16:57:30"
"CDL","Active","CAR; CARD; CI; DAWA; DBA; ME; QUAL; SCR","8","2025-09-29 16:57:30"
"CE","Active","","0","2025-09-29 16:57:30"
"CENG","Active","","0","2025-09-29 16:57:30"
"CES","Active","AUT; AUTO; BOKR; CAPE; CARD; CI; CNS; CRSK; DARC; DE; ESDL; GENAI; OBSRV; PDS; PLOS; SRE; TOKR","17","2025-09-29 16:57:30"
"CFOPS","Active","AAL; ACQ; ACQE; AUT; CIA; COMMS; CUSTIAM; DBEAN; DOPS; MOB; OAE; OKT; ORC; ORIG; ORS; PA; PAY; UPT; UX","19","2025-09-29 16:57:30"
"CIA","Active","EOKR; MCCE; OBSRV; UN; UPT; UX","6","2025-09-29 16:57:30"
