"Project","IssuesWithLinks","TotalLinks","AvgLinksPerIssue"
"QUAL","4937","7413","1.5"
"SE","3854","6930","1.8"
"ORL","3373","6149","1.82"
"LAS","2515","5042","2"
"DAWA","2138","4462","2.09"
"MOB","1668","3518","2.11"
"ESDL","1540","2997","1.95"
"CES","1935","2867","1.48"
"PAY","1576","2844","1.8"
"TOKR","5","2823","564.6"
"CACS","1419","2767","1.95"
"DBEAN","1408","2717","1.93"
"INSO","1535","2691","1.75"
"COMMS","1623","2678","1.65"
"FLDR","1586","2378","1.5"
"CAD","1371","2237","1.63"
"CRSK","1149","2195","1.91"
"CDL","1499","2173","1.45"
"OAE","1019","2132","2.09"
"CFOPS","301","2030","6.74"
"AUT","980","2021","2.06"
"BINT","1013","1840","1.82"
"CIA","1192","1536","1.29"
"EOKR","6","1531","255.17"
"INI","50","1486","29.72"
"IMG","903","1466","1.62"
"MCCE","776","1365","1.76"
"CARD","869","1328","1.53"
"MCENG","709","1252","1.77"
"PDS","513","1232","2.4"
"DPSS","603","1134","1.88"
"FSYS","939","1132","1.21"
"COL","631","1130","1.79"
"IAM","744","1069","1.44"
"SRE","624","1063","1.7"
"OBSRV","72","1028","14.28"
"ACQ","647","997","1.54"
"DCI","523","949","1.81"
"LAW","589","909","1.54"
"PLAQ","430","870","2.02"
"EMC","408","850","2.08"
"ENGOPS","570","772","1.35"
"CCP","389","763","1.96"
"MCCOL","466","739","1.59"
"CBRE","400","704","1.76"
"DBA","482","688","1.43"
"ACM","411","661","1.61"
"MCLNE","353","647","1.83"
"DEP","382","643","1.68"
"MES","395","634","1.61"
"CISRE","393","588","1.5"
"COR","261","586","2.25"
"MCLD","344","569","1.65"
"FORMS","226","566","2.5"
"AI","363","560","1.54"
"DARC","315","539","1.71"
"PLOS","291","523","1.8"
"MCORG","311","496","1.59"
"EDME","400","492","1.23"
"MCCP","263","461","1.75"
"CAPE","332","457","1.38"
"BOKR","5","406","81.2"
"OSO","231","405","1.75"
"CNS","268","396","1.48"
"WL","257","392","1.53"
"MCACQ","227","378","1.67"
"UPT","293","376","1.28"
"CONT","330","374","1.13"
"CENG","265","368","1.39"
"ACQE","243","339","1.4"
"CNE","207","325","1.57"
"CAPS","183","298","1.63"
"CTGR","170","292","1.72"
"DE","208","276","1.33"
"EPMC","9","275","30.56"
"UX","180","249","1.38"
"HRES","154","244","1.58"
"TRIM","146","235","1.61"
"PAS","127","234","1.84"
"BAS","127","197","1.55"
"DCOM","130","185","1.42"
"POS","85","177","2.08"
"CCOL","142","175","1.23"
"POP","51","158","3.1"
"INTG","94","157","1.67"
"SIGN","77","143","1.86"
"TOCA","78","140","1.79"
"COMP","64","128","2"
"ONE","99","127","1.28"
"CDAD","75","105","1.4"
"CCAL","73","98","1.34"
"ICS","69","87","1.26"
"ERD","61","81","1.33"
"TOEP","62","78","1.26"
"REM","68","74","1.09"
"DOC","45","74","1.64"
"MCARD","55","66","1.2"
"TDC","40","65","1.62"
"DS","54","64","1.19"
"ETAC","46","63","1.37"
"CARC","47","58","1.23"
"UN","41","57","1.39"
"PLAT","38","56","1.47"
"TAM","31","54","1.74"
"DPR","19","52","2.74"
"TCA","28","51","1.82"
"EA","34","47","1.38"
"ME","33","43","1.3"
"PSM","33","36","1.09"
"ZCS","35","36","1.03"
"GENAI","17","34","2"
"CJI","22","31","1.41"
"OPSAN","22","30","1.36"
"SEN","21","29","1.38"
"CNSS","15","27","1.8"
"MOD","23","26","1.13"
"ERC","23","24","1.04"
"CE","14","23","1.64"
"CMP","20","20","1"
"CTEM","12","18","1.5"
"PIE","1","16","16"
"DP","7","7","1"
"DR","3","6","2"
"CITM","4","4","1"
"JOP","4","4","1"
"CSF","3","4","1.33"
"INEN","4","4","1"
"TP","3","3","1"
"SVCCOL","2","2","1"
"COPS","2","2","1"
"CUSD","1","1","1"
"DPB","1","1","1"
"DEPI","1","1","1"
"NOW","1","1","1"
"NELT","1","1","1"
"CTECH","1","1","1"
