"ProjectKey","ProjectName","TotalIssues","TotalLinks","AvgLinksPerIssue","IncludeInAnalysis","Reason"
"QUAL","QUAL","4937","7413","1.5","True","Meets criteria"
"SE","SE","3854","6930","1.8","True","Meets criteria"
"ORL","ORL","3373","6149","1.82","False","Below thresholds"
"LAS","LAS","2515","5042","2","True","Meets criteria"
"DAWA","DAWA","2138","4462","2.09","False","Below thresholds"
"MOB","MOB","1668","3518","2.11","False","Below thresholds"
"ESDL","ESDL","1540","2997","1.95","False","Below thresholds"
"CES","CES","1935","2867","1.48","False","Below thresholds"
"PAY","PAY","1576","2844","1.8","False","Below thresholds"
"TOKR","TOKR","5","2823","564.6","False","Below thresholds"
"CACS","CACS","1419","2767","1.95","False","Below thresholds"
"DBEAN","DBEAN","1408","2717","1.93","False","Below thresholds"
"INSO","INSO","1535","2691","1.75","False","Below thresholds"
"COMMS","COMMS","1623","2678","1.65","False","Below thresholds"
"FLDR","FLDR","1586","2378","1.5","False","Below thresholds"
"CAD","CAD","1371","2237","1.63","False","Below thresholds"
"CRSK","CRSK","1149","2195","1.91","False","Below thresholds"
"CDL","CDL","1499","2173","1.45","False","Below thresholds"
"OAE","OAE","1019","2132","2.09","False","Below thresholds"
"CFOPS","CFOPS","301","2030","6.74","False","Below thresholds"
"AUT","AUT","980","2021","2.06","False","Below thresholds"
"BINT","BINT","1013","1840","1.82","False","Below thresholds"
"CIA","CIA","1192","1536","1.29","False","Below thresholds"
"EOKR","EOKR","6","1531","255.17","False","Below thresholds"
"INI","INI","50","1486","29.72","False","Below thresholds"
"IMG","IMG","903","1466","1.62","False","Below thresholds"
"MCCE","MCCE","776","1365","1.76","False","Below thresholds"
"CARD","CARD","869","1328","1.53","False","Below thresholds"
"MCENG","MCENG","709","1252","1.77","False","Below thresholds"
"PDS","PDS","513","1232","2.4","False","Below thresholds"
"DPSS","DPSS","603","1134","1.88","False","Below thresholds"
"FSYS","FSYS","939","1132","1.21","False","Below thresholds"
"COL","COL","631","1130","1.79","False","Below thresholds"
"IAM","IAM","744","1069","1.44","False","Below thresholds"
"SRE","SRE","624","1063","1.7","False","Below thresholds"
"OBSRV","OBSRV","72","1028","14.28","False","Below thresholds"
"ACQ","ACQ","647","997","1.54","True","Meets criteria"
"DCI","DCI","523","949","1.81","True","Meets criteria"
"LAW","LAW","589","909","1.54","True","Meets criteria"
"PLAQ","PLAQ","430","870","2.02","True","Meets criteria"
"EMC","EMC","408","850","2.08","True","Meets criteria"
"ENGOPS","ENGOPS","570","772","1.35","True","Meets criteria"
"CCP","CCP","389","763","1.96","True","Meets criteria"
"MCCOL","MCCOL","466","739","1.59","True","Meets criteria"
"CBRE","CBRE","400","704","1.76","True","Meets criteria"
"DBA","DBA","482","688","1.43","True","Meets criteria"
"ACM","ACM","411","661","1.61","True","Meets criteria"
"MCLNE","MCLNE","353","647","1.83","True","Meets criteria"
"DEP","DEP","382","643","1.68","True","Meets criteria"
"MES","MES","395","634","1.61","True","Meets criteria"
"CISRE","CISRE","393","588","1.5","True","Meets criteria"
"COR","COR","261","586","2.25","True","Meets criteria"
"MCLD","MCLD","344","569","1.65","True","Meets criteria"
"FORMS","FORMS","226","566","2.5","True","Meets criteria"
"AI","AI","363","560","1.54","True","Meets criteria"
"DARC","DARC","315","539","1.71","True","Meets criteria"
"PLOS","PLOS","291","523","1.8","True","Meets criteria"
"MCORG","MCORG","311","496","1.59","False","Below thresholds"
"EDME","EDME","400","492","1.23","False","Below thresholds"
"MCCP","MCCP","263","461","1.75","False","Below thresholds"
"CAPE","CAPE","332","457","1.38","False","Below thresholds"
"BOKR","BOKR","5","406","81.2","False","Below thresholds"
"OSO","OSO","231","405","1.75","False","Below thresholds"
"CNS","CNS","268","396","1.48","False","Below thresholds"
"WL","WL","257","392","1.53","False","Below thresholds"
"MCACQ","MCACQ","227","378","1.67","False","Below thresholds"
"UPT","UPT","293","376","1.28","False","Below thresholds"
"CONT","CONT","330","374","1.13","False","Below thresholds"
"CENG","CENG","265","368","1.39","False","Below thresholds"
"ACQE","ACQE","243","339","1.4","False","Below thresholds"
"CNE","CNE","207","325","1.57","False","Below thresholds"
"CAPS","CAPS","183","298","1.63","False","Below thresholds"
"CTGR","CTGR","170","292","1.72","False","Below thresholds"
"DE","DE","208","276","1.33","False","Below thresholds"
"EPMC","EPMC","9","275","30.56","False","Below thresholds"
"UX","UX","180","249","1.38","False","Below thresholds"
"HRES","HRES","154","244","1.58","False","Below thresholds"
"TRIM","TRIM","146","235","1.61","False","Below thresholds"
"PAS","PAS","127","234","1.84","False","Below thresholds"
"BAS","BAS","127","197","1.55","False","Below thresholds"
"DCOM","DCOM","130","185","1.42","False","Below thresholds"
"POS","POS","85","177","2.08","False","Below thresholds"
"CCOL","CCOL","142","175","1.23","False","Below thresholds"
"POP","POP","51","158","3.1","False","Below thresholds"
"INTG","INTG","94","157","1.67","False","Below thresholds"
"SIGN","SIGN","77","143","1.86","False","Below thresholds"
"TOCA","TOCA","78","140","1.79","False","Below thresholds"
"COMP","COMP","64","128","2","False","Below thresholds"
"ONE","ONE","99","127","1.28","False","Below thresholds"
"CDAD","CDAD","75","105","1.4","False","Below thresholds"
"CCAL","CCAL","73","98","1.34","True","Meets criteria"
"ICS","ICS","69","87","1.26","True","Meets criteria"
"ERD","ERD","61","81","1.33","True","Meets criteria"
"TOEP","TOEP","62","78","1.26","True","Meets criteria"
"REM","REM","68","74","1.09","True","Meets criteria"
"DOC","DOC","45","74","1.64","True","Meets criteria"
"MCARD","MCARD","55","66","1.2","True","Meets criteria"
"TDC","TDC","40","65","1.62","True","Meets criteria"
"DS","DS","54","64","1.19","True","Meets criteria"
"ETAC","ETAC","46","63","1.37","True","Meets criteria"
"CARC","CARC","47","58","1.23","True","Meets criteria"
"UN","UN","41","57","1.39","True","Meets criteria"
"PLAT","PLAT","38","56","1.47","True","Meets criteria"
"TAM","TAM","31","54","1.74","True","Meets criteria"
"DPR","DPR","19","52","2.74","True","Meets criteria"
"TCA","TCA","28","51","1.82","True","Meets criteria"
"EA","EA","34","47","1.38","False","Below thresholds"
"ME","ME","33","43","1.3","False","Below thresholds"
"PSM","PSM","33","36","1.09","False","Below thresholds"
"ZCS","ZCS","35","36","1.03","False","Below thresholds"
"GENAI","GENAI","17","34","2","False","Below thresholds"
"CJI","CJI","22","31","1.41","False","Below thresholds"
"OPSAN","OPSAN","22","30","1.36","False","Below thresholds"
"SEN","SEN","21","29","1.38","False","Below thresholds"
"CNSS","CNSS","15","27","1.8","False","Below thresholds"
"MOD","MOD","23","26","1.13","False","Below thresholds"
"ERC","ERC","23","24","1.04","False","Below thresholds"
"CE","CE","14","23","1.64","False","Below thresholds"
"CMP","CMP","20","20","1","False","Below thresholds"
"CTEM","CTEM","12","18","1.5","False","Below thresholds"
"PIE","PIE","1","16","16","False","Below thresholds"
"DP","DP","7","7","1","True","Meets criteria"
"DR","DR","3","6","2","True","Meets criteria"
"CITM","CITM","4","4","1","False","Below thresholds"
"JOP","JOP","4","4","1","False","Below thresholds"
"CSF","CSF","3","4","1.33","False","Below thresholds"
"INEN","INEN","4","4","1","False","Below thresholds"
"TP","TP","3","3","1","False","Below thresholds"
"SVCCOL","SVCCOL","2","2","1","False","Below thresholds"
"COPS","COPS","2","2","1","False","Below thresholds"
"CUSD","CUSD","1","1","1","False","Below thresholds"
"DPB","DPB","1","1","1","False","Below thresholds"
"DEPI","DEPI","1","1","1","False","Below thresholds"
"NOW","NOW","1","1","1","False","Below thresholds"
"NELT","NELT","1","1","1","False","Below thresholds"
"CTECH","CTECH","1","1","1","False","Below thresholds"
