"ProjectKey","LinkCount","ConnectedProjects"
"PAY","1669","1"
"CIA","1296","9"
"CES","718","12"
"EDME","387","3"
"EOKR","374","7"
"ACQE","325","5"
"IMG","325","5"
"LAS","151","6"
"OBSRV","142","2"
"ACQ","129","12"
"CARD","114","7"
"AUT","111","10"
"QUAL","91","1"
"OSO","88","2"
"DBEAN","87","7"
"CAPE","82","7"
"ENGOPS","79","5"
"CTGR","56","4"
"MCCE","52","6"
"ESDL","49","1"
"OAE","44","6"
"MOB","36","3"
"COL","35","13"
"CRSK","35","8"
"FORMS","30","5"
"EMC","29","4"
"COR","26","5"
"CACS","26","10"
"AI","24","5"
"DS","23","2"
"DCI","22","8"
"DPSS","22","5"
"CNE","17","6"
"CMP","17","1"
"MCCP","16","2"
"DAWA","14","5"
"CCAL","12","2"
"DE","12","2"
"BINT","11","3"
"CAD","10","6"
"CISRE","10","6"
"DARC","10","1"
"COMP","9","3"
"DBA","9","8"
"CNS","8","4"
"CDL","7","4"
"CNSS","6","2"
"CENG","6","2"
"EA","5","2"
"GENAI","5","2"
"DOC","4","1"
"MCARD","4","2"
"PDS","4","2"
"CBRE","4","2"
"CARC","4","4"
"INSO","4","2"
"CCP","4","3"
"COMMS","4","3"
"PIE","3","1"
"ONE","3","1"
"IAM","3","2"
"CCOL","2","2"
"CCT","2","1"
"ICS","2","1"
"EPMC","2","1"
"FLDR","2","1"
"DR","2","1"
"SRE","2","1"
"MCLD","1","1"
"ACM","1","1"
"POP","1","1"
"SIGN","1","1"
"NOW","1","1"
"LAW","1","1"
"CTEM","1","1"
"COPS","1","1"
"DEP","1","1"
"ETAC","1","1"
"CAPS","1","1"
