"ProjectKey","LinkCount","ConnectedProjects"
"CIA","1292","8"
"EDME","387","3"
"EOKR","374","7"
"ACQE","325","5"
"IMG","323","4"
"OBSRV","142","2"
"ACQ","129","12"
"CARD","114","7"
"AUT","111","10"
"OSO","88","2"
"CAPE","82","7"
"CES","78","11"
"DBEAN","75","6"
"CTGR","56","4"
"MCCE","52","6"
"ESDL","49","1"
"OAE","39","5"
"CRSK","35","8"
"EMC","29","4"
"FORMS","27","4"
"CACS","26","10"
"COL","26","12"
"LAS","24","5"
"AI","24","5"
"DS","23","2"
"DPSS","22","5"
"DCI","22","8"
"ENGOPS","21","4"
"CNE","17","6"
"CMP","17","1"
"MCCP","16","2"
"MOB","15","2"
"CCAL","12","2"
"DE","12","2"
"DAWA","11","4"
"COR","11","4"
"BINT","10","2"
"CISRE","10","6"
"CAD","10","6"
"COMP","9","3"
"DBA","9","8"
"CNS","8","4"
"CDL","7","4"
"CENG","6","2"
"CNSS","6","2"
"GENAI","5","2"
"EA","5","2"
"CARC","4","4"
"INSO","4","2"
"CBRE","4","2"
"MCARD","4","2"
"CCP","4","3"
"COMMS","4","3"
"DOC","4","1"
"PIE","3","1"
"IAM","3","2"
"ONE","3","1"
"CCOL","2","2"
"CCT","2","1"
"ICS","2","1"
"EPMC","2","1"
"FLDR","2","1"
"PDS","2","1"
"DR","2","1"
"SRE","2","1"
"ACM","1","1"
"MCLD","1","1"
"POP","1","1"
"NOW","1","1"
"LAW","1","1"
"CTEM","1","1"
"COPS","1","1"
"DEP","1","1"
"ETAC","1","1"
"CAPS","1","1"
