"ProjectKey","LinkCount","ConnectedProjects"
"EDME","387","3"
"OSO","88","2"
"CARD","58","5"
"DBEAN","57","5"
"CAPE","39","6"
"AUT","37","8"
"ACQ","37","11"
"CES","34","10"
"EMC","29","4"
"OAE","28","4"
"FORMS","27","4"
"CACS","26","10"
"COL","26","12"
"LAS","24","5"
"AI","24","5"
"DS","23","2"
"DCI","22","8"
"ENGOPS","21","4"
"MCCE","19","5"
"DPSS","18","4"
"CNE","17","6"
"CMP","17","1"
"MCCP","16","2"
"MOB","15","2"
"CRSK","13","7"
"DE","12","2"
"CCAL","12","2"
"CIA","11","6"
"DAWA","11","4"
"COR","11","4"
"BINT","10","2"
"CISRE","10","6"
"CAD","10","6"
"COMP","9","3"
"DBA","9","8"
"CNS","8","4"
"CDL","7","4"
"CNSS","6","2"
"CTGR","6","3"
"CENG","6","2"
"GENAI","5","2"
"EA","5","2"
"ACQE","4","3"
"MCARD","4","2"
"INSO","4","2"
"CBRE","4","2"
"CARC","4","4"
"DOC","4","1"
"CCP","4","3"
"COMMS","4","3"
"PIE","3","1"
"IAM","3","2"
"IMG","3","3"
"ONE","3","1"
"CCOL","2","2"
"CCT","2","1"
"ICS","2","1"
"EPMC","2","1"
"FLDR","2","1"
"PDS","2","1"
"DR","2","1"
"SRE","2","1"
"ACM","1","1"
"MCLD","1","1"
"POP","1","1"
"NOW","1","1"
"LAW","1","1"
"CTEM","1","1"
"COPS","1","1"
"DEP","1","1"
"ETAC","1","1"
"CAPS","1","1"
