"id","name","description","isDefault"
"10000","Default Issue Type Scheme","Default issue type scheme is the list of global issue types. All newly created issue types will automatically be added to this scheme.","True"
"10129","DBE Scrum Issue Type Scheme",,
"10141","Basic Kanban","Epic, Task, Bug, Subtask",
"10224","Software Development","Standard Software Dev Issue Types",
"10225","Cards Issue Type Scheme","Issue Types used by the Cards Project",
"10227","Basic Issue Type Scheme",,
"10228","DevOps Issue Type Scheme",,
"10232","MJG: Kanban Issue Type Scheme",,
"10234","QUAL: Kanban Issue Type Scheme",,
"10235","PCR: Scrum Issue Type Scheme",,
"10245","DBEUX: Kanban Issue Type Scheme",,
"10252","EKP: Kanban Issue Type Scheme",,
"10253","TDC: Kanban Issue Type Scheme",,
"10255","OKT: Scrum Issue Type Scheme",,
"10258","AI: Kanban Issue Type Scheme",,
"10259","SP1: Kanban Issue Type Scheme",,
"10260","SP2: Kanban Issue Type Scheme",,
"10261","CDA Issue Type Scheme","Issue Types used by the Cards Project",
"10262","DDA: Kanban Issue Type Scheme",,
"10264","DTEST: Kanban Issue Type Scheme",,
"10268","ESDL: Kanban Issue Type Scheme",,
"10269","MES: Kanban Issue Type Scheme",,
"10270","OPEN: Kanban Issue Type Scheme",,
"10271","OR: Kanban Issue Type Scheme",,
"10272","PS: Kanban Issue Type Scheme",,
"10273","TS: Kanban Issue Type Scheme",,
"10274","AM: Task Management Issue Type Scheme",,
"10275","PRICE: Kanban Issue Type Scheme",,
"10276","AJM: Kanban Issue Type Scheme",,
"10277","WI: Kanban Issue Type Scheme",,
"10278","ERD: Kanban Issue Type Scheme",,
"10279","SA: Kanban Issue Type Scheme",,
"10280","WA: Kanban Issue Type Scheme",,
"10292","Issue Type Scheme for project Operational Excellence","Issue Type Scheme for project Operational Excellence",
"10293","Issue Type Scheme for project Information Security","Issue Type Scheme for project Information Security",
"10299","DXRT: Kanban Issue Type Scheme",,
"10301","SRE: Kanban Issue Type Scheme",,
"10302","EI: Kanban Issue Type Scheme",,
"10303","Modified Kanban ","Includes Initiative",
"10306","LTO: Kanban Issue Type Scheme",,
"10307","LTO: Scrum Issue Type Scheme",,
"10308","POS: Kanban Issue Type Scheme",,
"10309","POS: Scrum Issue Type Scheme",,
"10310","EMT: Scrum Issue Type Scheme",,
"10380","CSYS: Kanban Issue Type Scheme",,
"10402","NON: Kanban Issue Type Scheme",,
"10403","ORC: Kanban Issue Type Scheme",,
"10412","SSR: Kanban Issue Type Scheme",,
"10428","ROUT: Kanban Issue Type Scheme",,
"10445","INI: Kanban Issue Type Scheme",,
