"issueTypeScreenSchemeId","issueTypeId","screenSchemeId"
"1","default","10101"
"1","10000","10101"
"10002","default","10003"
"10002","10009","10004"
"10002","10000","10119"
"10007","default","1"
"10100","default","10100"
"10100","10007","10100"
"10100","10009","10100"
"10100","10000","10119"
"10100","10151","10267"
"10101","default","10101"
"10101","10000","10105"
"10105","default","10107"
"10105","10009","10108"
"10105","10151","10262"
"10106","default","10109"
"10106","10009","10110"
"10107","default","10111"
"10107","10000","10119"
"10108","default","10112"
"10108","10009","10113"
"10110","default","10115"
"10110","10009","10116"
"10110","10151","10216"
"10111","default","10117"
"10111","10009","10118"
"10113","default","10121"
"10113","10000","10122"
"10115","default","10124"
"10115","10009","10125"
"10116","default","10126"
"10117","default","10127"
"10118","default","10128"
"10119","default","10129"
"10120","default","10130"
"10120","10009","10131"
"10121","default","10132"
"10121","10009","10133"
"10122","default","10134"
"10122","10009","10135"
"10124","default","10137"
"10124","10009","10138"
"10125","default","10139"
"10125","10009","10140"
"10126","default","10141"
"10126","10009","10142"
"10128","default","10144"
"10128","10009","10145"
"10129","default","10146"
