"id","name","description"
"1","Default Issue Type Screen Scheme","The default issue type screen scheme"
"10002","MOB: Scrum Issue Type Screen Scheme",""
"10007","MP: Kanban Issue Type Screen Scheme",""
"10100","DBE Screen Scheme",""
"10101","Kanban Issue Type Screen Scheme",""
"10105","Basic Kanban Issue Type Screen Scheme",""
"10106","DevOps Issue Type Screen Scheme",""
"10107","New DBE Issue Type Screen Scheme",""
"10108","MJG: Kanban Issue Type Screen Scheme",""
"10110","QUAL: Kanban Issue Type Screen Scheme",""
"10111","PCR: Scrum Issue Type Screen Scheme",""
"10113","Cards Issue Type Screen Scheme",""
"10115","DBEUX: Kanban Issue Type Screen Scheme",""
"10116","TT: Task Management Issue Type Screen Scheme",""
"10117","EPM: Project Management Issue Type Screen Scheme",""
"10118","EPC: Process Management Issue Type Screen Scheme",""
"10119","EP: Process Management Issue Type Screen Scheme",""
"10120","EKP: Kanban Issue Type Screen Scheme",""
"10121","TDC: Kanban Issue Type Screen Scheme",""
"10122","OKT: Scrum Issue Type Screen Scheme",""
"10124","AI: Kanban Issue Type Screen Scheme",""
"10125","SP2: Kanban Issue Type Screen Scheme",""
"10126","DDA: Kanban Issue Type Screen Scheme",""
"10128","DTEST: Kanban Issue Type Screen Scheme",""
"10129","ESDL: Kanban Issue Type Screen Scheme",""
"10130","MES: Kanban Issue Type Screen Scheme",""
"10131","OPEN: Kanban Issue Type Screen Scheme",""
"10132","OR: Kanban Issue Type Screen Scheme",""
"10133","PS: Kanban Issue Type Screen Scheme",""
"10134","TS: Kanban Issue Type Screen Scheme",""
"10135","AM: Task Management Issue Type Screen Scheme",""
"10136","PRICE: Kanban Issue Type Screen Scheme",""
"10137","AJM: Kanban Issue Type Screen Scheme",""
"10138","WI: Kanban Issue Type Screen Scheme",""
"10139","ERD: Kanban Issue Type Screen Scheme",""
"10140","SA: Kanban Issue Type Screen Scheme",""
"10141","WA: Kanban Issue Type Screen Scheme",""
"10142","Issue Type Screen Scheme for project Operational Excellence","Issue Type Screen Scheme for project Operational Excellence"
"10143","Issue Type Screen Scheme for project Information Security","Issue Type Screen Scheme for project Information Security"
"10144","DXRT: Kanban Issue Type Screen Scheme",""
"10146","SRE: Kanban Issue Type Screen Scheme",""
"10147","EI: Kanban Issue Type Screen Scheme",""
"10148","LTO: Kanban Issue Type Screen Scheme",""
"10149","LTO: Scrum Issue Type Screen Scheme",""
"10150","POS: Kanban Issue Type Screen Scheme",""
"10151","POS: Scrum Issue Type Screen Scheme",""
"10152","EMT: Scrum Issue Type Screen Scheme",""
"10153","CICD Issue Type Screen Scheme",""
"10154","CSYS: Kanban Issue Type Screen Scheme",""
"10155","NON: Kanban Issue Type Screen Scheme",""
