"Id","Name","Description","IsSubtask","IconUrl","Self","GeneratedAt"
"10115","Sub Test Execution","This is the Xray Sub Test Execution Issue Type. Used to execute test cases already defined. A Sub Test Execution can be created for a parent issue like a requirement in order to execute the test cases associated with it.","true","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10605?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10115","2025-09-23 18:09:08"
"10142","Subtask","Subtasks track small pieces of work that are part of a larger task.","true","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10316?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10142","2025-09-23 18:09:08"
"10017","Subtask","Subtasks track small pieces of work that are part of a larger task.","true","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10316?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10017","2025-09-23 18:09:08"
"10132","Subtask","Subtasks track small pieces of work that are part of a larger task.","true","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10316?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10132","2025-09-23 18:09:08"
"10117","Dev Defect","Issue identified during testing","true","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10308?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10117","2025-09-23 18:09:08"
"10008","Sub-task","A small piece of work that's part of a larger task.","true","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10316?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10008","2025-09-23 18:09:08"
"10125","Subtask","Subtasks track small pieces of work that are part of a larger task.","true","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10316?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10125","2025-09-23 18:09:08"
"10146","New Project","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10311?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10146","2025-09-23 18:09:08"
"10158","Service Request","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10300?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10158","2025-09-23 18:09:08"
"10143","Database Access","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10316?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10143","2025-09-23 18:09:08"
"10162","Impediment","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10308?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10162","2025-09-23 18:09:08"
"10015","Task","Tasks track small, distinct pieces of work.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10318?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10015","2025-09-23 18:09:08"
"10140","Task","Tasks track small, distinct pieces of work.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10318?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10140","2025-09-23 18:09:08"
"10009","Bug","A problem or error.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10303?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10009","2025-09-23 18:09:08"
"10157","Integrated Deployment","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10310?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10157","2025-09-23 18:09:08"
"10006","Story","Functionality or a feature expressed as a user goal.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10315?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10006","2025-09-23 18:09:08"
"10010","Spike","A story that cannot be estimated until a development team runs a time-boxed investigation. The output of a spike is an estimate for the original story.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10320?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10010","2025-09-23 18:09:08"
"10151","Deployment","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10312?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10151","2025-09-23 18:09:08"
"10014","Test","This JIRA Issue Type is used to create Zephyr Tests.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10514?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10014","2025-09-23 18:09:08"
"10139","Problem","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10304?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10139","2025-09-23 18:09:08"
"10134","Sub-bug","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10300?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10134","2025-09-23 18:09:08"
