"Id","Name","Description","IsSubtask","IconUrl","Self","GeneratedAt"
"10116","Initiative","High level Issue type for planning","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10304?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10116","2025-09-23 22:11:04"
"10122","Theme","Grouping above initiatives","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10300?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10122","2025-09-23 22:11:04"
"10000","Epic","A big user story that needs to be broken down. Created by Jira Software - do not edit or delete.","","https://onemain.atlassian.net/images/icons/issuetypes/epic.svg","https://onemain.atlassian.net/rest/api/3/issuetype/10000","2025-09-23 22:11:04"
"10006","Story","Functionality or a feature expressed as a user goal.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10315?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10006","2025-09-23 22:11:04"
"10007","Task","A small, distinct piece of work.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10318?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10007","2025-09-23 22:11:04"
"10008","Sub-task","A small piece of work that's part of a larger task.","true","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10316?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10008","2025-09-23 22:11:04"
"10009","Bug","A problem or error.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10303?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10009","2025-09-23 22:11:04"
"10010","Spike","A story that cannot be estimated until a development team runs a time-boxed investigation. The output of a spike is an estimate for the original story.","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10320?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10010","2025-09-23 22:11:04"
"10188","Objective","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10636?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10188","2025-09-23 22:11:04"
"10189","Key Result","","","https://onemain.atlassian.net/rest/api/2/universal_avatar/view/type/issuetype/avatar/10635?size=medium","https://onemain.atlassian.net/rest/api/3/issuetype/10189","2025-09-23 22:11:04"
