"Id","Author","Created","Items","HistoryMetadata","GeneratedAt"
"4025803","Doug Ball","2024-05-03T09:36:03.493-0500","description: '' -> 'We are looking to transition auto-payment enrollment to PayNearMe in October.  As part of this change, we will need to update any reference to Direct Pay to ?AutoPay?

This story is to identify all the screens with reference to ?Direct Pay?.'","","2025-09-24 15:43:10"
"4025808","Doug Ball","2024-05-03T09:36:55.467-0500","Sprint: '' -> '2024.ORL.CLOSING.10'","","2025-09-24 15:43:10"
"4025809","Doug Ball","2024-05-03T09:36:55.702-0500","Rank: '' -> 'Ranked higher'","","2025-09-24 15:43:10"
"4038683","Doug Ball","2024-05-07T15:28:16.961-0500","Sprint: '2024.ORL.CLOSING.10' -> ''","","2025-09-24 15:43:10"
"4038684","Doug Ball","2024-05-07T15:28:17.177-0500","Rank: '' -> 'Ranked higher'","","2025-09-24 15:43:10"
"4061938","Doug Ball","2024-05-14T13:01:49.357-0500","Sprint: '' -> '2024.ORL.CLOSING.11'","","2025-09-24 15:43:10"
"4061939","Doug Ball","2024-05-14T13:01:49.557-0500","Rank: '' -> 'Ranked lower'","","2025-09-24 15:43:10"
"4074791","Doug Ball","2024-05-16T09:50:42.775-0500","Rank: '' -> 'Ranked lower'","","2025-09-24 15:43:10"
"4092590","Doug Ball","2024-05-21T09:23:07.432-0500","Rank: '' -> 'Ranked lower'","","2025-09-24 15:43:10"
"4094158","Doug Ball","2024-05-21T11:58:12.062-0500","Sprint: '2024.ORL.CLOSING.11' -> '2024.ORL.CLOSING.12'","","2025-09-24 15:43:10"
"4094159","Doug Ball","2024-05-21T11:58:12.286-0500","Rank: '' -> 'Ranked higher'","","2025-09-24 15:43:10"
"4098420","Doug Ball","2024-05-22T09:12:06.479-0500","Rank: '' -> 'Ranked lower'","","2025-09-24 15:43:10"
"4129116","Doug Ball","2024-05-30T10:28:17.403-0500","issuetype: 'Task' -> 'Spike'","","2025-09-24 15:43:10"
"4153375","Soumodeep Das","2024-06-05T07:41:46.717-0500","Sprint: '2024.ORL.CLOSING.12' -> '2024.ORL.CLOSING.13'","","2025-09-24 15:43:10"
"4153376","Soumodeep Das","2024-06-05T07:41:46.964-0500","Rank: '' -> 'Ranked higher'","","2025-09-24 15:43:10"
"4183512","Doug Ball","2024-06-12T08:51:19.006-0500","Sprint: '2024.ORL.CLOSING.13' -> '2024.ORL.CLOSING.14'","","2025-09-24 15:43:10"
"4183513","Doug Ball","2024-06-12T08:51:19.248-0500","Rank: '' -> 'Ranked lower'","","2025-09-24 15:43:10"
"4250919","Doug Ball","2024-07-02T11:24:08.977-0500","issuetype: 'Spike' -> 'Task'","","2025-09-24 15:43:10"
"4260724","Soumodeep Das","2024-07-03T11:05:54.807-0500","Sprint: '2024.ORL.CLOSING.14' -> '2024.ORL.CLOSING.15'","","2025-09-24 15:43:10"
"4260725","Soumodeep Das","2024-07-03T11:05:55.056-0500","Rank: '' -> 'Ranked higher'","","2025-09-24 15:43:10"
"4261570","Soumodeep Das","2024-07-03T13:39:48.467-0500","Sprint: '2024.ORL.CLOSING.15' -> '2024.ORL.CLOSING.14'","","2025-09-24 15:43:10"
"4261571","Soumodeep Das","2024-07-03T13:39:48.707-0500","Rank: '' -> 'Ranked lower'","","2025-09-24 15:43:10"
