"Id","Key","Name","Description","Type","DefaultValue","Value","AllowedValues","GeneratedAt"
"jira.issuenav.criteria.autoupdate","jira.issuenav.criteria.autoupdate","Auto Update Criteria","Turn on to update search results automatically","boolean","","true","","2025-09-23 16:02:24"
"jira.clone.prefix","jira.clone.prefix","The prefix added to the Summary field of cloned issues","","string","","CLONE -","","2025-09-23 16:02:24"
"jira.date.picker.java.format","jira.date.picker.java.format","Date Picker Format (Java)","This part is only for the Java (server side) generated dates. Note that this should correspond to the javascript date picker format (jira.date.picker.javascript.format) setting.","string","","d/MMM/yy","","2025-09-23 16:02:24"
"jira.date.picker.javascript.format","jira.date.picker.javascript.format","Date Picker Format (JavaScript)","This part is only for the JavaScript (client side) generated dates. Note that this should correspond to the java date picker format (jira.date.picker.java.format) setting.","string","","%e/%b/%y","","2025-09-23 16:02:24"
"jira.date.time.picker.java.format","jira.date.time.picker.java.format","DateTime Picker Format (Java)","This part is only for the Java (server side) generated datetimes. Note that this should correspond to the javascript datetime picker format (jira.date.time.picker.javascript.format) setting.","string","","dd/MMM/yy h:mm a","","2025-09-23 16:02:24"
"jira.date.time.picker.javascript.format","jira.date.time.picker.javascript.format","DateTime Picker Format (JavaScript)","This part is only for the JavaScript (client side) generated date times. Note that this should correspond to the java datetime picker format (jira.date.time.picker.java.format) setting.","string","","%e/%b/%y %I:%M %p","","2025-09-23 16:02:24"
"jira.issue.actions.order","jira.issue.actions.order","JIRA issue actions order","The default order of actions (tab items like 'Comments', 'Change History' etc) on the 'View Issue' screen, by date, from top to bottom.","enum","","asc","; ","2025-09-23 16:02:24"
"jira.lf.date.time","jira.lf.date.time","Time Format","","string","","h:mm a","","2025-09-23 16:02:24"
"jira.lf.date.day","jira.lf.date.day","Day Format","","string","","EEEE h:mm a","","2025-09-23 16:02:24"
"jira.lf.date.complete","jira.lf.date.complete","Complete Date/Time Format","","string","","dd/MMM/yy h:mm a","","2025-09-23 16:02:24"
"jira.lf.date.dmy","jira.lf.date.dmy","Day/Month/Year Format","","string","","dd/MMM/yy","","2025-09-23 16:02:24"
"jira.date.time.picker.use.iso8061","jira.date.time.picker.use.iso8061","Use ISO8601 standard in Date Picker","Turning it on will cause Monday to be the first day of week in the Date Picker, as specified by the ISO8601 standard","boolean","","false","","2025-09-23 16:02:24"
"jira.lf.gadget.color1","jira.lf.gadget.color1","Color 1 (Default)","","colour","","#3b73af","","2025-09-23 16:02:24"
"jira.lf.gadget.color2","jira.lf.gadget.color2","Color 2","","colour","","#d04437","","2025-09-23 16:02:24"
"jira.lf.gadget.color3","jira.lf.gadget.color3","Color 3","","colour","","#ea632b","","2025-09-23 16:02:24"
"jira.lf.gadget.color4","jira.lf.gadget.color4","Color 4","","colour","","#14892c","","2025-09-23 16:02:24"
"jira.lf.gadget.color5","jira.lf.gadget.color5","Color 5","","colour","","#205081","","2025-09-23 16:02:24"
"jira.lf.gadget.color6","jira.lf.gadget.color6","Color 6","","colour","","#654982","","2025-09-23 16:02:24"
"jira.lf.gadget.color7","jira.lf.gadget.color7","Color 7","","colour","","#707070","","2025-09-23 16:02:24"
"jira.lf.logo.url","jira.lf.logo.url","jira.lf.logo.url","","string (url)","/images/icon-jira-logo.png","/jira-logo-scaled.png","","2025-09-23 16:02:24"
"jira.lf.logo.show.application.title","jira.lf.logo.show.application.title","jira.lf.logo.show.application.title","","boolean","","false","","2025-09-23 16:02:24"
"jira.lf.favicon.url","jira.lf.favicon.url","jira.lf.favicon.url","","string (url)","","/favicon.ico","","2025-09-23 16:02:24"
"jira.lf.favicon.hires.url","jira.lf.favicon.hires.url","jira.lf.favicon.hires.url","","string (url)","","/images/64jira.png","","2025-09-23 16:02:24"
"jira.lf.top.bgcolour","jira.lf.top.bgcolour","Header Background Color","","colour","","#205081","","2025-09-23 16:02:24"
"jira.lf.navigation.bgcolour","jira.lf.navigation.bgcolour","Background","The background color of the main navigation bar","colour","#FFFFFF","#1c3761","","2025-09-23 16:02:24"
"jira.lf.navigation.highlightcolour","jira.lf.navigation.highlightcolour","Highlight","The color of the create button and highlight color for the selected navigation item","colour","#0052CC","#ccddf5","","2025-09-23 16:02:24"
"jira.lf.top.hilightcolour","jira.lf.top.hilightcolour","Header Highlight Background Color","","colour","","#296CA3","","2025-09-23 16:02:24"
"jira.lf.top.separator.bgcolor","jira.lf.top.separator.bgcolor","Header Separator Color","","colour","","#2E3D54","","2025-09-23 16:02:24"
"jira.lf.top.textcolour","jira.lf.top.textcolour","Header Text Color","","colour","","#ffffff","","2025-09-23 16:02:24"
"jira.lf.top.texthilightcolour","jira.lf.top.texthilightcolour","Header Text Highlight Color","","colour","","#f0f0f0","","2025-09-23 16:02:24"
"jira.lf.menu.bgcolour","jira.lf.menu.bgcolour","Menu Item Highlight Background Color","","colour","","#3b73af","","2025-09-23 16:02:24"
"jira.lf.menu.separator","jira.lf.menu.separator","Navigation Bar Separator Color","","colour","","#f0f0f0","","2025-09-23 16:02:24"
"jira.lf.menu.textcolour","jira.lf.menu.textcolour","Menu Item Highlight Text Color","","colour","","#ffffff","","2025-09-23 16:02:24"
"jira.lf.hero.button.base.bg.colour","jira.lf.hero.button.base.bg.colour","Button Background Color","","colour","","#3b7fc4","","2025-09-23 16:02:24"
"jira.lf.hero.button.text.colour","jira.lf.hero.button.text.colour","Button Text Color,","","colour","","#ffffff","","2025-09-23 16:02:24"
"jira.lf.text.activelinkcolour","jira.lf.text.activelinkcolour","Link Active Color","","colour","","#3b73af","","2025-09-23 16:02:24"
"jira.lf.text.headingcolour","jira.lf.text.headingcolour","Heading Color","","colour","","#292929","","2025-09-23 16:02:24"
"jira.lf.text.linkcolour","jira.lf.text.linkcolour","Link Color","","colour","","#3b73af","","2025-09-23 16:02:24"
"jira.favicon.use.projecticon","jira.favicon.use.projecticon","jira.favicon.use.projecticon","","boolean","","false","","2025-09-23 16:02:24"
"jira.view.issue.links.sort.order","jira.view.issue.links.sort.order","Sort order for view issue links","Specifies the sort order of the issue links on the 'View Issue' screen.","list<string>","type, status, priority","type, status, priority, resolution","","2025-09-23 16:02:24"
"jira.comment.collapsing.minimum.hidden","jira.comment.collapsing.minimum.hidden","jira.comment.collapsing.minimum.hidden","The minimum number of comments needing to be hidden for comment collapsing to occur. 0 means there will be no comment collapsing.","uint","4","10","","2025-09-23 16:02:24"
"jira.newsletter.tip.delay.days","jira.newsletter.tip.delay.days","Delay in days before newsletter signup tip is shown","The number of days before a prompt to sign up to the Jira Insiders newsletter is shown. A value of -1 disables this functionality.","int","7","-1","","2025-09-23 16:02:24"
"jira.option.globalsharing","jira.option.globalsharing","jira.option.globalsharing","","boolean","","false","","2025-09-23 16:02:24"
"instance.try.intent","instance.try.intent","instance.try.intent","","string","","none","","2025-09-23 16:02:24"
"xflow.product.suggestions.enabled","xflow.product.suggestions.enabled","Indicate whether or not to expose product suggestions for other Atlassian Products within JIRA","","boolean","true","false","","2025-09-23 16:02:24"
"jira.service-management.legacy-automation.state","jira.service-management.legacy-automation.state","jira.service-management.legacy-automation.state","","string","","","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.message","jira.admin.announcement.banner.message","jira.admin.announcement.banner.message","","string","","","","2025-09-23 16:02:24"
