"Label","IssueCount","IssueKeys","GeneratedAt"
"apps","1","DEVEX-94","2025-09-23 06:12:32"
"automation","4","DEVEX-5; DEVEX-8; DEVEX-9; DEVEX-10","2025-09-23 06:12:33"
"backlog-only","5","DEVEX-35; DEVEX-55; DEVEX-56; DEVEX-104; DEVEX-118","2025-09-23 06:12:33"
"BE","1","CAT-920","2025-09-23 06:12:34"
"C&A","1","MDS-349","2025-09-23 06:12:34"
"camunda","9","CAT-156; CAT-160; CAT-165; CAT-168; CAT-170; CAT-171; CAT-173; CAT-175; CAT-2527","2025-09-23 06:12:35"
"catalyst-steel-thread","Error","Error: The remote server returned an error: (400) Bad Request.","2025-09-23 06:12:36"
"Catalyst_Steel_Thread","7","CAT-614; CAT-616; CAT-617; CAT-629; CAT-634; CAT-3448; CAT-3449","2025-09-23 06:12:36"
"CI","16","CAT-635; CAT-636; CAT-637; CAT-638; CAT-639; CAT-643; CAT-646; CAT-657; CAT-661; CAT-669; CAT-774; CAT-775; CAT-782; CAT-791; CAT-817; CAT-1062","2025-09-23 06:12:37"
"cutover","1","DEVEX-92","2025-09-23 06:12:37"
"de-self-owned","9","DEVEX-7; DEVEX-16; DEVEX-21; DEVEX-22; DEVEX-23; DEVEX-24; DEVEX-25; DEVEX-26; DEVEX-29","2025-09-23 06:12:38"
"domain-gateway-support","25","DGP-42; DGP-52; DGP-55; DGP-56; DGP-59; DGP-60; DGP-61; DGP-62; DGP-65; DGP-68; DGP-73; DGP-77; DGP-79; DGP-81; DGP-83; DGP-87; DGP-90; DGP-97; DGP-101; DGP-102; DGP-103; DGP-104; DGP-142; DGP-146; DGP-158","2025-09-23 06:12:39"
"DX","3","CAT-604; CAT-670; CAT-815","2025-09-23 06:12:39"
"E2E","22","CAT-630; CAT-632; CAT-635; CAT-636; CAT-637; CAT-638; CAT-639; CAT-640; CAT-643; CAT-646; CAT-662; CAT-669; CAT-783; CAT-784; CAT-786; CAT-817; CAT-854; CAT-866; CAT-868; CAT-975; CAT-993; CAT-1011","2025-09-23 06:12:40"
"ESSCCR","1","MDS-349","2025-09-23 06:12:41"
"foundational","2","DEVEX-3; DEVEX-6","2025-09-23 06:12:41"
"foundational-phase","8","DEVEX-7; DEVEX-16; DEVEX-21; DEVEX-22; DEVEX-23; DEVEX-24; DEVEX-25; DEVEX-26","2025-09-23 06:12:42"
"Foursight","1","MDS-351","2025-09-23 06:12:42"
"frontend","26","CAT-67; CAT-68; CAT-121; CAT-123; CAT-129; CAT-133; CAT-136; CAT-146; CAT-148; CAT-149; CAT-157; CAT-158; CAT-159; CAT-160; CAT-162; CAT-166; CAT-169; CAT-173; CAT-174; CAT-489; CAT-591; CAT-655; CAT-872; CAT-1402; CAT-1488; CAT-2799","2025-09-23 06:12:43"
"gov-docs","1","DEVEX-7","2025-09-23 06:12:44"
"governance","3","DEVEX-90; DEVEX-92; DEVEX-93","2025-09-23 06:12:44"
"graphql","27","CAT-112; CAT-115; CAT-117; CAT-118; CAT-126; CAT-128; CAT-135; CAT-137; CAT-147; CAT-160; CAT-161; CAT-165; CAT-168; CAT-172; CAT-176; CAT-561; CAT-605; CAT-606; CAT-607; CAT-608; CAT-663; CAT-1233; CAT-1612; CAT-2093; CAT-2100; CAT-2449; CAT-2799","2025-09-23 06:12:45"
"kpi","1","DEVEX-56","2025-09-23 06:12:46"
"lse","17","CAT-150; CAT-521; CAT-522; CAT-523; CAT-524; CAT-533; CAT-555; CAT-556; CAT-558; CAT-559; CAT-560; CAT-562; CAT-581; CAT-2399; CAT-3160; CAT-3853; CAT-3854","2025-09-23 06:12:46"
"migration","12","DEVEX-35; DEVEX-38; DEVEX-55; DEVEX-56; DEVEX-90; DEVEX-92; DEVEX-93; DEVEX-94; DEVEX-102; DEVEX-104; DEVEX-112; DEVEX-118","2025-09-23 06:12:47"
