"id","key","value","name","desc","type"
"jira.issuenav.criteria.autoupdate","jira.issuenav.criteria.autoupdate","true","Auto Update Criteria","Turn on to update search results automatically","boolean"
"jira.clone.prefix","jira.clone.prefix","CLONE -","The prefix added to the Summary field of cloned issues",,"string"
"jira.date.picker.java.format","jira.date.picker.java.format","d/MMM/yy","Date Picker Format (Java)","This part is only for the Java (server side) generated dates. Note that this should correspond to the javascript date picker format (jira.date.picker.javascript.format) setting.","string"
"jira.date.picker.javascript.format","jira.date.picker.javascript.format","%e/%b/%y","Date Picker Format (JavaScript)","This part is only for the JavaScript (client side) generated dates. Note that this should correspond to the java date picker format (jira.date.picker.java.format) setting.","string"
"jira.date.time.picker.java.format","jira.date.time.picker.java.format","dd/MMM/yy h:mm a","DateTime Picker Format (Java)","This part is only for the Java (server side) generated datetimes. Note that this should correspond to the javascript datetime picker format (jira.date.time.picker.javascript.format) setting.","string"
"jira.date.time.picker.javascript.format","jira.date.time.picker.javascript.format","%e/%b/%y %I:%M %p","DateTime Picker Format (JavaScript)","This part is only for the JavaScript (client side) generated date times. Note that this should correspond to the java datetime picker format (jira.date.time.picker.java.format) setting.","string"
"jira.issue.actions.order","jira.issue.actions.order","asc","JIRA issue actions order","The default order of actions (tab items like 'Comments', 'Change History' etc) on the 'View Issue' screen, by date, from top to bottom.","enum"
"jira.lf.date.time","jira.lf.date.time","h:mm a","Time Format",,"string"
"jira.lf.date.day","jira.lf.date.day","EEEE h:mm a","Day Format",,"string"
"jira.lf.date.complete","jira.lf.date.complete","dd/MMM/yy h:mm a","Complete Date/Time Format",,"string"
"jira.lf.date.dmy","jira.lf.date.dmy","dd/MMM/yy","Day/Month/Year Format",,"string"
"jira.date.time.picker.use.iso8061","jira.date.time.picker.use.iso8061","false","Use ISO8601 standard in Date Picker","Turning it on will cause Monday to be the first day of week in the Date Picker, as specified by the ISO8601 standard","boolean"
"jira.lf.gadget.color1","jira.lf.gadget.color1","#3b73af","Color 1 (Default)",,"colour"
"jira.lf.gadget.color2","jira.lf.gadget.color2","#d04437","Color 2",,"colour"
"jira.lf.gadget.color3","jira.lf.gadget.color3","#ea632b","Color 3",,"colour"
"jira.lf.gadget.color4","jira.lf.gadget.color4","#14892c","Color 4",,"colour"
"jira.lf.gadget.color5","jira.lf.gadget.color5","#205081","Color 5",,"colour"
"jira.lf.gadget.color6","jira.lf.gadget.color6","#654982","Color 6",,"colour"
"jira.lf.gadget.color7","jira.lf.gadget.color7","#707070","Color 7",,"colour"
"jira.lf.logo.url","jira.lf.logo.url","/jira-logo-scaled.png","jira.lf.logo.url",,"string (url)"
"jira.lf.logo.show.application.title","jira.lf.logo.show.application.title","false","jira.lf.logo.show.application.title",,"boolean"
"jira.lf.favicon.url","jira.lf.favicon.url","/favicon.ico","jira.lf.favicon.url",,"string (url)"
"jira.lf.favicon.hires.url","jira.lf.favicon.hires.url","/images/64jira.png","jira.lf.favicon.hires.url",,"string (url)"
"jira.lf.top.bgcolour","jira.lf.top.bgcolour","#205081","Header Background Color",,"colour"
"jira.lf.navigation.bgcolour","jira.lf.navigation.bgcolour","#1c3761","Background","The background color of the main navigation bar","colour"
"jira.lf.navigation.highlightcolour","jira.lf.navigation.highlightcolour","#ccddf5","Highlight","The color of the create button and highlight color for the selected navigation item","colour"
"jira.lf.top.hilightcolour","jira.lf.top.hilightcolour","#296CA3","Header Highlight Background Color",,"colour"
"jira.lf.top.separator.bgcolor","jira.lf.top.separator.bgcolor","#2E3D54","Header Separator Color",,"colour"
"jira.lf.top.textcolour","jira.lf.top.textcolour","#ffffff","Header Text Color",,"colour"
"jira.lf.top.texthilightcolour","jira.lf.top.texthilightcolour","#f0f0f0","Header Text Highlight Color",,"colour"
"jira.lf.menu.bgcolour","jira.lf.menu.bgcolour","#3b73af","Menu Item Highlight Background Color",,"colour"
"jira.lf.menu.separator","jira.lf.menu.separator","#f0f0f0","Navigation Bar Separator Color",,"colour"
"jira.lf.menu.textcolour","jira.lf.menu.textcolour","#ffffff","Menu Item Highlight Text Color",,"colour"
"jira.lf.hero.button.base.bg.colour","jira.lf.hero.button.base.bg.colour","#3b7fc4","Button Background Color",,"colour"
"jira.lf.hero.button.text.colour","jira.lf.hero.button.text.colour","#ffffff","Button Text Color,",,"colour"
"jira.lf.text.activelinkcolour","jira.lf.text.activelinkcolour","#3b73af","Link Active Color",,"colour"
"jira.lf.text.headingcolour","jira.lf.text.headingcolour","#292929","Heading Color",,"colour"
"jira.lf.text.linkcolour","jira.lf.text.linkcolour","#3b73af","Link Color",,"colour"
"jira.favicon.use.projecticon","jira.favicon.use.projecticon","false","jira.favicon.use.projecticon",,"boolean"
"jira.view.issue.links.sort.order","jira.view.issue.links.sort.order","type, status, priority, resolution","Sort order for view issue links","Specifies the sort order of the issue links on the 'View Issue' screen.","list<string>"
"jira.comment.collapsing.minimum.hidden","jira.comment.collapsing.minimum.hidden","10","jira.comment.collapsing.minimum.hidden","The minimum number of comments needing to be hidden for comment collapsing to occur. 0 means there will be no comment collapsing.","uint"
"jira.newsletter.tip.delay.days","jira.newsletter.tip.delay.days","-1","Delay in days before newsletter signup tip is shown","The number of days before a prompt to sign up to the Jira Insiders newsletter is shown. A value of -1 disables this functionality.","int"
"jira.option.globalsharing","jira.option.globalsharing","false","jira.option.globalsharing",,"boolean"
"instance.try.intent","instance.try.intent","none","instance.try.intent",,"string"
"xflow.product.suggestions.enabled","xflow.product.suggestions.enabled","false","Indicate whether or not to expose product suggestions for other Atlassian Products within JIRA",,"boolean"
"jira.service-management.legacy-automation.state","jira.service-management.legacy-automation.state","","jira.service-management.legacy-automation.state",,"string"
"jira.admin.announcement.banner.message","jira.admin.announcement.banner.message","","jira.admin.announcement.banner.message",,"string"
"jira.admin.announcement.banner.is-dismissable","jira.admin.announcement.banner.is-dismissable","true","jira.admin.announcement.banner.is-dismissable",,"boolean"
"jira.admin.announcement.banner.is-enabled","jira.admin.announcement.banner.is-enabled","false","jira.admin.announcement.banner.is-enabled",,"boolean"
"jira.admin.announcement.banner.visibility","jira.admin.announcement.banner.visibility","public","jira.admin.announcement.banner.visibility",,"enum"
"jira.admin.announcement.banner.hash-id","jira.admin.announcement.banner.hash-id","LS6A2HBIRS77YP8MQXA21PDWDVJWFM28","jira.admin.announcement.banner.hash-id",,"string"
"jira.admin.announcement.banner.v2.content","jira.admin.announcement.banner.v2.content","{""version"":1,""type"":""doc"",""content"":[]}","jira.admin.announcement.banner.v2.content",,"string"
"jira.admin.announcement.banner.v2.bg-color","jira.admin.announcement.banner.v2.bg-color","green","jira.admin.announcement.banner.v2.bg-color",,"string"
"jira.admin.announcement.banner.v2.is-dismissable","jira.admin.announcement.banner.v2.is-dismissable","false","jira.admin.announcement.banner.v2.is-dismissable",,"boolean"
"jira.admin.announcement.banner.v2.is-enabled","jira.admin.announcement.banner.v2.is-enabled","false","jira.admin.announcement.banner.v2.is-enabled",,"boolean"
