"Id","Name","Description","Self","Expand","PermissionsCount","HasScope","GeneratedAt"
"10112","AM Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10112","permissions,user,group,projectRole,field,all","107","No","2025-09-24 15:34:32"
"10107","Cards Permission Scheme","Default scheme for Software projects.","https://onemain.atlassian.net/rest/api/3/permissionscheme/10107","permissions,user,group,projectRole,field,all","110","No","2025-09-24 15:34:32"
"10166","CE & ME Projects Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10166","permissions,user,group,projectRole,field,all","149","No","2025-09-24 15:34:32"
"10430","CET: Default Permission Scheme","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 23 Jul 2025 12:47 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10430","permissions,user,group,projectRole,field,all","87","No","2025-09-24 15:34:32"
"10104","CYB: Simplified Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10104","permissions,user,group,projectRole,field,all","137","Yes","2025-09-24 15:34:32"
"10118","CyberRisk Permission Scheme","Default scheme for Software projects.","https://onemain.atlassian.net/rest/api/3/permissionscheme/10118","permissions,user,group,projectRole,field,all","111","No","2025-09-24 15:34:32"
"10102","DBE Permissions","Default scheme edited to allow all users to edit reporter (to match edit issue permission)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10102","permissions,user,group,projectRole,field,all","102","No","2025-09-24 15:34:32"
"","Default Permission Scheme","This is the default Permission Scheme. Any new projects that are created will be assigned this scheme.","https://onemain.atlassian.net/rest/api/3/permissionscheme/0","permissions,user,group,projectRole,field,all","118","No","2025-09-24 15:34:32"
"10001","Default software scheme","Default scheme for Software projects.","https://onemain.atlassian.net/rest/api/3/permissionscheme/10001","permissions,user,group,projectRole,field,all","113","No","2025-09-24 15:34:32"
"10003","DES: Simplified Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10003","permissions,user,group,projectRole,field,all","161","Yes","2025-09-24 15:34:32"
"10111","DIS: Simplified Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10111","permissions,user,group,projectRole,field,all","161","Yes","2025-09-24 15:34:32"
"10133","DPR: Simplified Permission Scheme","","https://onemain.atlassian.net/rest/api/3/permissionscheme/10133","permissions,user,group,projectRole,field,all","190","Yes","2025-09-24 15:34:32"
"10232","EG: Default Permission Scheme","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 11 Mar 2025 18:35 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10232","permissions,user,group,projectRole,field,all","87","No","2025-09-24 15:34:32"
"10265","EGF: Default Permission Scheme","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 24 Mar 2025 10:18 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10265","permissions,user,group,projectRole,field,all","87","No","2025-09-24 15:34:32"
"10298","EGN: Default Permission Scheme","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 25 Mar 2025 08:47 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10298","permissions,user,group,projectRole,field,all","87","No","2025-09-24 15:34:32"
"10233","EK2: Default Permission Scheme","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 11 Mar 2025 19:39 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10233","permissions,user,group,projectRole,field,all","87","No","2025-09-24 15:34:32"
"10199","EK: Default Permission Scheme","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 26 Feb 2025 20:06 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10199","permissions,user,group,projectRole,field,all","88","No","2025-09-24 15:34:32"
"10364","EK: Default Permission Scheme (migrated)","Default Permission Scheme, generated during External To Cloud migration. (Migrated on 6 Apr 2025 20:32 UTC)","https://onemain.atlassian.net/rest/api/3/permissionscheme/10364","permissions,user,group,projectRole,field,all","87","No","2025-09-24 15:34:32"
