"Key","Name","Type","Description","GeneratedAt"
"ADD_COMMENTS","Add Comments","PROJECT","Ability to comment on issues.","2025-09-23 16:02:45"
"ADMINISTER","Administer Jira","GLOBAL","Create and administer projects, issue types, fields, workflows, and schemes for all projects. Users with this permission can perform most administration tasks, except: managing users, importing data, and editing system email settings.","2025-09-23 16:02:45"
"ADMINISTER_PROJECTS","Administer Projects","PROJECT","Ability to administer a project in Jira.","2025-09-23 16:02:45"
"ARCHIVE_ISSUES","Archive Issues","PROJECT","Ability to archive issues.","2025-09-23 16:02:45"
"ASSIGNABLE_USER","Assignable User","PROJECT","Users with this permission may be assigned to issues.","2025-09-23 16:02:45"
"ASSIGN_ISSUES","Assign Issues","PROJECT","Ability to assign issues to other people.","2025-09-23 16:02:45"
"BROWSE_PROJECTS","Browse Projects","PROJECT","Ability to browse projects and the issues within them.","2025-09-23 16:02:45"
"BULK_CHANGE","Make bulk changes","GLOBAL","Modify collections of issues at once. For example, resolve multiple issues in one step.","2025-09-23 16:02:45"
"CLOSE_ISSUES","Close Issues","PROJECT","Ability to close issues. Often useful where your developers resolve issues, and a QA department closes them.","2025-09-23 16:02:45"
"CREATE_ATTACHMENTS","Create Attachments","PROJECT","Users with this permission may create attachments.","2025-09-23 16:02:45"
"CREATE_ISSUES","Create Issues","PROJECT","Ability to create issues.","2025-09-23 16:02:45"
"CREATE_PROJECT","Create team-managed projects","GLOBAL","Create projects separate from shared configurations and schemes. Team-managed projects don't affect existing projects or shared configurations like workflows, fields or permissions. Only licensed users can create team-managed projects.","2025-09-23 16:02:45"
"CREATE_SHARED_OBJECTS","Share dashboards and filters","GLOBAL","Share dashboards and filters with other users.","2025-09-23 16:02:45"
"DELETE_ALL_ATTACHMENTS","Delete All Attachments","PROJECT","Users with this permission may delete all attachments.","2025-09-23 16:02:45"
"DELETE_ALL_COMMENTS","Delete All Comments","PROJECT","Ability to delete all comments made on issues.","2025-09-23 16:02:45"
"DELETE_ALL_WORKLOGS","Delete All Worklogs","PROJECT","Ability to delete all worklogs made on issues.","2025-09-23 16:02:45"
"DELETE_ISSUES","Delete Issues","PROJECT","Ability to delete issues.","2025-09-23 16:02:45"
"DELETE_OWN_ATTACHMENTS","Delete Own Attachments","PROJECT","Users with this permission may delete own attachments.","2025-09-23 16:02:45"
"DELETE_OWN_COMMENTS","Delete Own Comments","PROJECT","Ability to delete own comments made on issues.","2025-09-23 16:02:45"
"DELETE_OWN_WORKLOGS","Delete Own Worklogs","PROJECT","Ability to delete own worklogs made on issues.","2025-09-23 16:02:45"
"EDIT_ALL_COMMENTS","Edit All Comments","PROJECT","Ability to edit all comments made on issues.","2025-09-23 16:02:45"
"EDIT_ALL_WORKLOGS","Edit All Worklogs","PROJECT","Ability to edit all worklogs made on issues.","2025-09-23 16:02:45"
"EDIT_ISSUES","Edit Issues","PROJECT","Ability to edit issues.","2025-09-23 16:02:45"
"EDIT_ISSUE_LAYOUT","Manage Issue Layouts","PROJECT","Ability to modify issue layouts and discover and utilize new fields within an issue layout.","2025-09-23 16:02:45"
"EDIT_OWN_COMMENTS","Edit Own Comments","PROJECT","Ability to edit own comments made on issues.","2025-09-23 16:02:45"
"EDIT_OWN_WORKLOGS","Edit Own Worklogs","PROJECT","Ability to edit own worklogs made on issues.","2025-09-23 16:02:45"
"EDIT_WORKFLOW","Edit Workflows","PROJECT","Ability to edit workflows.","2025-09-23 16:02:45"
"LINK_ISSUES","Link Issues","PROJECT","Ability to link issues together and create linked issues. Only useful if issue linking is turned on.","2025-09-23 16:02:45"
"MANAGE_GROUP_FILTER_SUBSCRIPTIONS","Manage group filter subscriptions","GLOBAL","Create and delete group filter subscriptions.","2025-09-23 16:02:45"
"MANAGE_SPRINTS_PERMISSION","Manage sprints","PROJECT","Ability to manage sprints.","2025-09-23 16:02:45"
"MANAGE_VERSIONS","Manage Versions (Releases)","PROJECT","Allows users to create, release, archive, merge, edit, and delete versions in a project.","2025-09-23 16:02:46"
"MANAGE_WATCHERS","Manage Watchers","PROJECT","Ability to manage the watchers of an issue.","2025-09-23 16:02:46"
"MODIFY_REPORTER","Modify Reporter","PROJECT","Ability to modify the reporter when creating or editing an issue.","2025-09-23 16:02:46"
"MOVE_ISSUES","Move Issues","PROJECT","Ability to move issues between projects or between workflows of the same project (if applicable). Note the user can only move issues to a project they have the create permission for.","2025-09-23 16:02:46"
"RESOLVE_ISSUES","Resolve Issues","PROJECT","Ability to resolve and reopen issues. This includes the ability to set a fix version.","2025-09-23 16:02:46"
"SCHEDULE_ISSUES","Schedule Issues","PROJECT","Ability to view or edit an issue's due date.","2025-09-23 16:02:46"
"SET_ISSUE_SECURITY","Set Issue Security","PROJECT","Ability to set the level of security on an issue so that only people in that security level can see the issue.","2025-09-23 16:02:46"
"SYSTEM_ADMIN","Jira System Administrators","GLOBAL","Ability to perform all administration functions. There must be at least one group with this permission.","2025-09-23 16:02:46"
"TRANSITION_ISSUES","Transition Issues","PROJECT","Ability to transition issues.","2025-09-23 16:02:46"
"UNARCHIVE_ISSUES","Restore Archived Issues","PROJECT","Ability to restore archived issues.","2025-09-23 16:02:46"
"USER_PICKER","Browse users and groups","GLOBAL","View and select users or groups from the user picker, and share issues. Users with this permission can see the names of all users and groups on your site.","2025-09-23 16:02:46"
"VIEW_AGGREGATED_DATA","View aggregated data","PROJECT","Users with this permission will have access to view combined and summarized project data, regardless of their individual permissions.","2025-09-23 16:02:46"
"VIEW_DEV_TOOLS","View Development Tools","PROJECT","Allows users in a software project to view development-related information on the issue, such as commits, reviews and build information.","2025-09-23 16:02:46"
"VIEW_READONLY_WORKFLOW","View Read-Only Workflow","PROJECT","Users with this permission may view a read-only version of a workflow.","2025-09-23 16:02:46"
