"Id","Name","Description","Self","GeneratedAt"
"10009","Acquisitions","Engineering - Acquisitions Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10009","2025-09-23T16:36:51.553Z"
"10038","ARCHIVED","Project category to identify ARCHIVED projects eliminating dependencies on unused categories and supporting data segmentation of archived projects in API responses","https://onemain.atlassian.net/rest/api/3/projectCategory/10038","2025-09-23T16:36:51.563Z"
"10010","Auto Purchase Program","Engineering - Auto Purchase Program Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10010","2025-09-23T16:36:51.563Z"
"10003","Cards Program","Engineering - Cards Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10003","2025-09-23T16:36:51.563Z"
"10013","Communications","Engineering - Communications Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10013","2025-09-23T16:36:51.563Z"
"10074","Core Systems","Core Systems Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10074","2025-09-23T16:36:51.596Z"
"10012","Credit and Analytics","Engineering - Credit and Analytics","https://onemain.atlassian.net/rest/api/3/projectCategory/10012","2025-09-23T16:36:51.599Z"
"10014","Cyber Technology","TO&E - Cyber Technology","https://onemain.atlassian.net/rest/api/3/projectCategory/10014","2025-09-23T16:36:51.600Z"
"10015","Data Factory","Engineering - Data Factory Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10015","2025-09-23T16:36:51.601Z"
"10107","Enterprise Architecture","Enterprise Architecture","https://onemain.atlassian.net/rest/api/3/projectCategory/10107","2025-09-23T16:36:51.601Z"
"10018","Identity and Access Management","TO&E - Identity and Access Management","https://onemain.atlassian.net/rest/api/3/projectCategory/10018","2025-09-23T16:36:51.601Z"
"10019","Infrastructure Engineering","TO&E - Infrastructure Engineering","https://onemain.atlassian.net/rest/api/3/projectCategory/10019","2025-09-23T16:36:51.602Z"
"10021","Network and Communications","TO&E - Network and Communications","https://onemain.atlassian.net/rest/api/3/projectCategory/10021","2025-09-23T16:36:51.602Z"
"10035","Operations Regulatory and Compliance","OTHER - Operations Regulatory and Compliance","https://onemain.atlassian.net/rest/api/3/projectCategory/10035","2025-09-23T16:36:51.602Z"
"10023","Originations","Originations","https://onemain.atlassian.net/rest/api/3/projectCategory/10023","2025-09-23T16:36:51.602Z"
"10024","Originations (Legacy)","","https://onemain.atlassian.net/rest/api/3/projectCategory/10024","2025-09-23T16:36:51.602Z"
"10036","OTHER NON-ENG","OTHER - NON-ENGINEERING/TECHNOLOGY","https://onemain.atlassian.net/rest/api/3/projectCategory/10036","2025-09-23T16:36:51.603Z"
"10025","Platform Analytics","TO&E - Platform Analytics","https://onemain.atlassian.net/rest/api/3/projectCategory/10025","2025-09-23T16:36:51.603Z"
"10039","Platform Infrastructure and Engineering","","https://onemain.atlassian.net/rest/api/3/projectCategory/10039","2025-09-23T16:36:51.603Z"
"10028","Production Operations","TO&E - Production Operations","https://onemain.atlassian.net/rest/api/3/projectCategory/10028","2025-09-23T16:36:51.604Z"
"10034","Productivity Engineering","Engineering - Productivity Engineering Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10034","2025-09-23T16:36:51.604Z"
"10031","Regulatory and Compliance","Engineering - Regulatory and Compliance Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10031","2025-09-23T16:36:51.604Z"
"10041","Risk Analytics","","https://onemain.atlassian.net/rest/api/3/projectCategory/10041","2025-09-23T16:36:51.604Z"
"10029","Servicing","Engineering - Servicing Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10029","2025-09-23T16:36:51.604Z"
"10033","Software Platforms","Engineering - Software Platforms Lane","https://onemain.atlassian.net/rest/api/3/projectCategory/10033","2025-09-23T16:36:51.604Z"
"10040","Technology Asset Management","","https://onemain.atlassian.net/rest/api/3/projectCategory/10040","2025-09-23T16:36:51.604Z"
