"self","id","description","name"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10009","10009","Engineering - Acquisitions Lane","Acquisitions"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10038","10038","Project category to identify ARCHIVED projects eliminating dependencies on unused categories and supporting data segmentation of archived projects in API responses","ARCHIVED"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10010","10010","Engineering - Auto Purchase Program Lane","Auto Purchase Program"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10003","10003","Engineering - Cards Lane","Cards Program"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10013","10013","Engineering - Communications Lane","Communications"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10074","10074","Core Systems Lane","Core Systems"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10012","10012","Engineering - Credit and Analytics","Credit and Analytics"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10014","10014","TO&E - Cyber Technology","Cyber Technology"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10015","10015","Engineering - Data Factory Lane","Data Factory"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10107","10107","Enterprise Architecture","Enterprise Architecture"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10018","10018","TO&E - Identity and Access Management","Identity and Access Management"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10019","10019","TO&E - Infrastructure Engineering","Infrastructure Engineering"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10021","10021","TO&E - Network and Communications","Network and Communications"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10035","10035","OTHER - Operations Regulatory and Compliance","Operations Regulatory and Compliance"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10023","10023","Originations","Originations"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10024","10024","","Originations (Legacy)"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10036","10036","OTHER - NON-ENGINEERING/TECHNOLOGY","OTHER NON-ENG"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10025","10025","TO&E - Platform Analytics","Platform Analytics"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10039","10039","","Platform Infrastructure and Engineering"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10028","10028","TO&E - Production Operations","Production Operations"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10034","10034","Engineering - Productivity Engineering Lane","Productivity Engineering"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10031","10031","Engineering - Regulatory and Compliance Lane","Regulatory and Compliance"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10041","10041","","Risk Analytics"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10029","10029","Engineering - Servicing Lane","Servicing"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10033","10033","Engineering - Software Platforms Lane","Software Platforms"
"https://onemain.atlassian.net/rest/api/3/projectCategory/10040","10040","","Technology Asset Management"
