"expand","self","id","key","name","avatarUrls","projectCategory","projectTypeKey","simplified","style","isPrivate","properties"
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10372","10372","PAY"," Servicing - Payments","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10411; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10411?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10411?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10411?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10029; id=10029; name=Servicing; description=Engineering - Servicing Lane}","software","False","classic","False",""
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10122","10122","AADA","AADA (Atlassian, Agile, & Devops Assessment)","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10403; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10403?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10403?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10403?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10038; id=10038; name=ARCHIVED; description=Project category to identify ARCHIVED projects eliminating dependencies on unused categories and supporting data segmentation of archived projects in API responses}","software","False","classic","False",""
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10114","10114","ACQ","ACQ - Acquisitions Lane","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10009; id=10009; name=Acquisitions; description=Engineering - Acquisitions Lane}","software","False","classic","False",""
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10279","10279","AAL","ACQ - Affiliate Lifecycle","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10414; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10414?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10414?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10414?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10009; id=10009; name=Acquisitions; description=Engineering - Acquisitions Lane}","software","False","classic","False",""
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10278","10278","AAF","ACQ - Optimize the Apply Funnel","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10406; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10406?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10406?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10406?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10009; id=10009; name=Acquisitions; description=Engineering - Acquisitions Lane}","software","False","classic","False",""
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10842","10842","ACQE","ACQ Enablement Team","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10425; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10425?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10425?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10425?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10009; id=10009; name=Acquisitions; description=Engineering - Acquisitions Lane}","software","False","classic","False",""
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10252","10252","AMP","Acquisitions - Merchant Partnerships","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10422; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10422?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10422?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10422?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10038; id=10038; name=ARCHIVED; description=Project category to identify ARCHIVED projects eliminating dependencies on unused categories and supporting data segmentation of archived projects in API responses}","software","False","classic","False",""
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10409","10409","ACM","Adobe Campaign Migration","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10638; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10638?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10638?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10638?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10013; id=10013; name=Communications; description=Engineering - Communications Lane}","software","False","classic","False",""
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10009","10009","AC","Agile Coaching","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10402; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10402?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10402?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10402?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10038; id=10038; name=ARCHIVED; description=Project category to identify ARCHIVED projects eliminating dependencies on unused categories and supporting data segmentation of archived projects in API responses}","software","False","classic","False",""
"description,lead,issueTypes,url,projectKeys,permissions,insight","https://onemain.atlassian.net/rest/api/3/project/10181","10181","AR","Architecture","@{48x48=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409; 24x24=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409?size=small; 16x16=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409?size=xsmall; 32x32=https://onemain.atlassian.net/rest/api/3/universal_avatar/view/type/project/avatar/10409?size=medium}","@{self=https://onemain.atlassian.net/rest/api/3/projectCategory/10038; id=10038; name=ARCHIVED; description=Project category to identify ARCHIVED projects eliminating dependencies on unused categories and supporting data segmentation of archived projects in API responses}","software","False","classic","False",""
