"ID","Name","Description","Archived","Released","StartDate","ReleaseDate","UserStartDate","UserReleaseDate","ProjectId","Self","Operations","OperationsCount","IssuesStatusCount","GeneratedAt"
"10722","July 9, 2023 Release",,"","true","2023-05-24","2023-07-09","23/May/23","08/Jul/23","10292","https://onemain.atlassian.net/rest/api/3/version/10722","Archive; Delete; Edit; Unrelease","4","0","2025-09-24 15:36:56"
"10731","August 20, 2023 Release",,"","true","2023-07-10","2023-08-20","09/Jul/23","19/Aug/23","10292","https://onemain.atlassian.net/rest/api/3/version/10731","Archive; Delete; Edit; Unrelease","4","0","2025-09-24 15:36:56"
"10752","2023.09 Release (deploy Oct 8)","Production deploy on Oct 8","","true","2023-08-16","2023-10-08","15/Aug/23","07/Oct/23","10292","https://onemain.atlassian.net/rest/api/3/version/10752","Archive; Delete; Edit; Unrelease","4","0","2025-09-24 15:36:56"
"10753","2023.10 Release (deploy Nov 12)","Production deploy on Nov 12","","true","2023-09-27","2023-11-12","26/Sep/23","11/Nov/23","10292","https://onemain.atlassian.net/rest/api/3/version/10753","Archive; Delete; Edit; Unrelease","4","0","2025-09-24 15:36:56"
"10754","2023.11 Release (deploy Jan 7)","Production deploy on Jan 7 2024","","true","2023-11-08","2024-01-07","07/Nov/23","06/Jan/24","10292","https://onemain.atlassian.net/rest/api/3/version/10754","Archive; Delete; Edit; Unrelease","4","0","2025-09-24 15:36:56"
"10835","2024.01 Release (deploy Feb 11)","Sprint 1 (Dec 20-Jan 2).  Sprint 2 (Jan 3-16).   Sprint 3 (Jan 17-30)","","true","2023-12-20","2024-01-30","19/Dec/23","29/Jan/24","10292","https://onemain.atlassian.net/rest/api/3/version/10835","Archive; Delete; Edit; Unrelease","4","0","2025-09-24 15:36:56"
"10836","2024.02 Release (deploy Mar 17)","Sprint 1 (Jan 31-Feb 13).   Sprint 2 (Feb 14-27).   Sprint 3 (Feb 28-Mar 12).","","true","2024-01-31","2024-03-12","30/Jan/24","11/Mar/24","10292","https://onemain.atlassian.net/rest/api/3/version/10836","Archive; Delete; Edit; Unrelease","4","0","2025-09-24 15:36:56"
"10841","Increment 1a",,"","","2023-12-20","2024-03-31","19/Dec/23","30/Mar/24","10292","https://onemain.atlassian.net/rest/api/3/version/10841","Archive; Build and Release; Delete; Edit; Release","5","0","2025-09-24 15:36:56"
"10873","E-2024.03","Deploy on May 5","","","2024-03-13","2024-04-23","12/Mar/24","22/Apr/24","10292","https://onemain.atlassian.net/rest/api/3/version/10873","Archive; Build and Release; Delete; Edit; Release","5","0","2025-09-24 15:36:56"
"10913","E-2024.04","Deploy on Jun 9","","","2024-04-24","2024-06-04","23/Apr/24","03/Jun/24","10292","https://onemain.atlassian.net/rest/api/3/version/10913","Archive; Build and Release; Delete; Edit; Release","5","0","2025-09-24 15:36:56"
"10922","E-2024.04.01",,"","","2024-06-10","2024-06-10","09/Jun/24","09/Jun/24","10292","https://onemain.atlassian.net/rest/api/3/version/10922","Archive; Build and Release; Delete; Edit; Release","5","0","2025-09-24 15:36:56"
"10923","E-2024.03.01","May 19th Release","","","2024-05-19","2024-05-19","18/May/24","18/May/24","10292","https://onemain.atlassian.net/rest/api/3/version/10923","Archive; Build and Release; Delete; Edit; Release","5","0","2025-09-24 15:36:56"
"11169","E-2024.05",,"","","2024-06-05","2024-07-16","04/Jun/24","15/Jul/24","10292","https://onemain.atlassian.net/rest/api/3/version/11169","Archive; Build and Release; Delete; Edit; Release","5","0","2025-09-24 15:36:56"
