"ProjectKey","ProjectName","ProjectStatuses","GeneratedAt"
"ACM","Adobe Campaign Migration","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:37"
"ACQ","ACQ - Acquisitions Lane","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:37"
"ACQE","ACQ Enablement Team","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:38"
"AI","INEN - Enterprise Engineering","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:38"
"AUT","Auto","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:38"
"BAS","INEN - Business Admin Services","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:38"
"BDME","Business Data Management Execution","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:39"
"BINT","Business Intelligence","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:39"
"BOKR","Business OKRs","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:39"
"CACS","CTECH- Cybersecurity Cloudsec","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:39"
"CAD","RC - Custom Application Development","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:39"
"CAPE","Credit & Analytics Pricing Enhancements","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:40"
"CAPS","CTECH- Cybersecurity Appsec","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:40"
"CARC","CTECH - Cybersecurity Architecture","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:40"
"CARD","Cards (new)","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:40"
"CBRE","RC - Credit Bureau Reporting","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:40"
"CCAL","C&A - Credit & Analytics Lane","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:41"
"CCOL","CNSS - Collaboration","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:41"
"CCP","Credit Cards PCO","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:41"
"CCT","Telephony - NICE MVP Pilot Implementation","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:41"
"CDAD","Cyber Detection and Alerting Data Lake","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:42"
"CDL","Cards Data Lake","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:42"
"CE","Collections Execution","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:42"
"CENG","PIE - Cybersecurity Engineering","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:42"
"CES","C&A - Execution Services","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:43"
"CFOPS","CFOPS - Customer Facing Applications Lane","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:43"
"CIA","Customers Identity and Access Management","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:43"
"CISRE","Cloud Infrastructure - SRE","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:43"
"CITM","Cyber Issue & Triage Management","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:44"
"CJI","Customer Journey Intelligence","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:44"
"CMP","Change Management Practice","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:44"
"CNE","CNSS - Network Engineering","Acceptance; Achieved; Backlog; Blocked; Canceled; Done; In Progress; Not Met; Ready for Work; Refinement; Testing; To Do","2025-10-07 20:57:45"
