"IssueType.self","IssueType.id","IssueType.name","IssueType.subtask","Status.self","Status.description","Status.iconUrl","Status.name","Status.id","StatusCategory.self","StatusCategory.id","StatusCategory.key","StatusCategory.colorName","StatusCategory.name","GeneratedAt"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10116","10116","Initiative","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","In Progress","3","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.212Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10116","10116","Initiative","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","","https://onemain-omfdirty.atlassian.net/","Backlog","10031","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.225Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10116","10116","Initiative","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","","https://onemain-omfdirty.atlassian.net/","Done","10004","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.225Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10122","10122","Theme","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","In Progress","3","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.226Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10122","10122","Theme","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","","https://onemain-omfdirty.atlassian.net/","Backlog","10031","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.226Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10122","10122","Theme","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","","https://onemain-omfdirty.atlassian.net/","Done","10004","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.228Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10000","10000","Epic","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","In Progress","3","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.229Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10000","10000","Epic","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","","https://onemain-omfdirty.atlassian.net/","Backlog","10031","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.229Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10000","10000","Epic","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","","https://onemain-omfdirty.atlassian.net/","Done","10004","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.230Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10006","10006","Story","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10234","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Refinement","10234","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.230Z"
