"Id","Name","Description","Screens","GeneratedAt"
"1","Default Screen Scheme","Default Screen Scheme","{""default"":1}","2025-09-24T17:21:37.494Z"
"10003","MOB: Scrum Default Screen Scheme","","{""default"":10003}","2025-09-24T17:21:37.508Z"
"10004","MOB: Scrum Bug Screen Scheme","","{""default"":10004}","2025-09-24T17:21:37.508Z"
"10100","DBE Dev Screen Scheme","","{""default"":10101,""edit"":10101,""create"":10100,""view"":10101}","2025-09-24T17:21:37.509Z"
"10101","Kanban Default Screen Scheme","","{""default"":10105,""create"":10163}","2025-09-24T17:21:37.509Z"
"10105","Epic Screen Scheme","","{""default"":10105}","2025-09-24T17:21:37.510Z"
"10107","Basic Kanban Default Screen Scheme","","{""default"":10116}","2025-09-24T17:21:37.510Z"
"10108","Kanban Bug Screen Scheme","","{""default"":10117}","2025-09-24T17:21:37.510Z"
"10109","DevOps Default Screen Scheme","","{""default"":10118}","2025-09-24T17:21:37.511Z"
"10110","DevOps Bug Screen Scheme","","{""default"":10119}","2025-09-24T17:21:37.511Z"
"10111","New DBE Dev Screen Scheme","","{""default"":10121,""edit"":10396,""create"":10120,""view"":10121}","2025-09-24T17:21:37.512Z"
"10112","MJG: Kanban Default Screen Scheme","","{""default"":10124}","2025-09-24T17:21:37.512Z"
"10113","MJG: Kanban Bug Screen Scheme","","{""default"":10125}","2025-09-24T17:21:37.512Z"
"10115","QUAL: Kanban Default Screen Scheme","","{""default"":10127}","2025-09-24T17:21:37.513Z"
"10116","QUAL: Kanban Bug Screen Scheme","","{""default"":10128}","2025-09-24T17:21:37.513Z"
"10117","PCR: Scrum Default Screen Scheme","","{""default"":10129,""edit"":10359,""create"":10358,""view"":10129}","2025-09-24T17:21:37.513Z"
"10118","PCR: Scrum Bug Screen Scheme","","{""default"":10130}","2025-09-24T17:21:37.516Z"
"10119","DBE Epic Screens","","{""default"":10132,""edit"":10357,""create"":10131}","2025-09-24T17:21:37.516Z"
"10121","Cards Default Screen Scheme","","{""default"":10135}","2025-09-24T17:21:37.516Z"
"10122","Cards Epic Screen Scheme","","{""default"":10135,""create"":10114}","2025-09-24T17:21:37.517Z"
"10124","DBEUX: Kanban Default Screen Scheme","","{""default"":10138,""edit"":10138,""create"":10360,""view"":10361}","2025-09-24T17:21:37.517Z"
"10125","DBEUX: Kanban Bug Screen Scheme","","{""default"":10139}","2025-09-24T17:21:37.518Z"
"10126","TT: Task Management Screen Scheme","","{""default"":10142,""create"":10141}","2025-09-24T17:21:37.518Z"
"10127","EPM: Project Management Screen Scheme","","{""default"":10144,""create"":10143}","2025-09-24T17:21:37.521Z"
"10128","EPC: Process Management Screen Scheme","","{""default"":10149,""create"":10148}","2025-09-24T17:21:37.521Z"
