"ScreenId","FieldId","FieldName","GeneratedAt"
"1","customfield_10489","ACH/Wire Transaction #","2025-09-20 10:14:08"
"1","customfield_10857","ACH/Wire Transaction # (migrated 2)","2025-09-20 10:14:08"
"1","customfield_10727","ACH/Wire Transaction # (migrated)","2025-09-20 10:14:08"
"1","customfield_11170","Acceptance Criteria (migrated 2)","2025-09-20 10:14:08"
"1","customfield_10719","Account Manual Fields","2025-09-20 10:14:08"
"1","customfield_11086","Account Manual Fields (migrated 2)","2025-09-20 10:14:08"
"1","customfield_10744","Account Manual Fields (migrated)","2025-09-20 10:14:08"
"1","customfield_10616","Accounting Notes","2025-09-20 10:14:08"
"1","customfield_10983","Accounting Notes (migrated 2)","2025-09-20 10:14:08"
"1","customfield_10028","Actual Result","2025-09-20 10:14:08"
"1","customfield_11872","Actual Size","2025-09-20 10:14:08"
"1","customfield_12070","Actual Size (migrated)","2025-09-20 10:14:08"
"1","customfield_11153","Actual end","2025-09-20 10:14:08"
"1","customfield_11150","Actual start","2025-09-20 10:14:08"
"1","customfield_10714","Added date diff","2025-09-20 10:14:08"
"1","customfield_11770","Additional  Pricing Required s","2025-09-20 10:14:08"
"1","customfield_10648","Additional Pricing Required","2025-09-20 10:14:08"
"1","customfield_11015","Additional Pricing Required (migrated 2)","2025-09-20 10:14:08"
"1","customfield_10732","Additional Pricing Required (migrated)","2025-09-20 10:14:08"
"1","customfield_10296","Affected services","2025-09-20 10:14:08"
"1","customfield_10234","Alert!!!","2025-09-20 10:14:08"
"1","customfield_10635","All Testers","2025-09-20 10:14:08"
"1","customfield_10593","Analysis Document","2025-09-20 10:14:08"
"1","customfield_10533","Analytics Lead","2025-09-20 10:14:08"
"1","customfield_10901","Analytics Lead (migrated)","2025-09-20 10:14:08"
"1","customfield_11516","Analytics Lead (migrated) (migrated)","2025-09-20 10:14:08"
"1","customfield_10275","Approval Time","2025-09-20 10:14:08"
"1","customfield_11306","Approval Time (migrated 2)","2025-09-20 10:14:08"
"1","customfield_10845","Approval Time (migrated) (migrated)","2025-09-20 10:14:08"
"1","customfield_11383","Approval Time (migrated) (migrated) (migrated)","2025-09-20 10:14:08"
"1","customfield_12135","Approvals","2025-09-20 10:14:08"
"1","customfield_11768","Approver 1 User Name","2025-09-20 10:14:08"
"1","customfield_11773","Approver 2 User Name","2025-09-20 10:14:08"
"1","customfield_11777","Approver 3 User Name","2025-09-20 10:14:08"
"1","customfield_10003","Approvers","2025-09-20 10:14:08"
"1","customfield_11131","Approvers (migrated 2)","2025-09-20 10:14:08"
"1","customfield_11160","Approvers (migrated 3)","2025-09-20 10:14:08"
"1","customfield_10496","Approvers (migrated)","2025-09-20 10:14:08"
"1","customfield_10864","Approvers (migrated) (migrated)","2025-09-20 10:14:08"
"1","customfield_11480","Approvers (migrated) (migrated) (migrated)","2025-09-20 10:14:08"
"1","customfield_10205","Approvers: Code Review","2025-09-20 10:14:08"
"1","customfield_10788","Approvers: Code Review (migrated 2)","2025-09-20 10:14:08"
