"self","description","iconUrl","name","untranslatedName","id","statusCategory"
"https://onemain.atlassian.net/rest/api/3/status/10269","","https://onemain.atlassian.net/","Test Deployment","Test Deployment","10269","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10274","","https://onemain.atlassian.net/","Retired","Retired","10274","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/3; id=3; key=done; colorName=green; name=Done}"
"https://onemain.atlassian.net/rest/api/3/status/10273","","https://onemain.atlassian.net/","On Hold","On Hold","10273","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10295","","https://onemain.atlassian.net/","Hold","Hold","10295","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10272","","https://onemain.atlassian.net/","Deferred","Deferred","10272","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10275","","https://onemain.atlassian.net/","Ready","Ready","10275","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10276","","https://onemain.atlassian.net/","Build","Build","10276","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10031","","https://onemain.atlassian.net/","Backlog","Backlog","10031","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10234","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Refinement","Refinement","10234","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10216","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Design Review","Design Review","10216","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10235","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Ready for Work","Ready for Work","10235","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/2; id=2; key=new; colorName=blue-gray; name=To Do}"
"https://onemain.atlassian.net/rest/api/3/status/10025","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Blocked","Blocked","10025","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10191","","https://onemain.atlassian.net/images/icons/statuses/generic.png","In Development","In Development","10191","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10008","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Code Review","Code Review","10008","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10010","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Testing","Testing","10010","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10217","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Testing Complete","Testing Complete","10217","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
"https://onemain.atlassian.net/rest/api/3/status/10105","","https://onemain.atlassian.net/images/icons/statuses/generic.png","Ready to Deploy","Ready to Deploy","10105","@{self=https://onemain.atlassian.net/rest/api/3/statuscategory/4; id=4; key=indeterminate; colorName=yellow; name=In Progress}"
