"Key","Self","GeneratedAt"
"@{key=com.atlassian.jira.frontend.VisualRefreshIconCacheBuster:clear-cache-state; self=https://onemain.atlassian.net/rest/api/3/user/properties/com.atlassian.jira.frontend.VisualRefreshIconCacheBuster%3Aclear-cache-state?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=com.atlassian.jira.frontend.VisualRefreshIconCacheBuster:clear-cache-state-v2; self=https://onemain.atlassian.net/rest/api/3/user/properties/com.atlassian.jira.frontend.VisualRefreshIconCacheBuster%3Aclear-cache-state-v2?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=help_button_ui_state; self=https://onemain.atlassian.net/rest/api/3/user/properties/help_button_ui_state?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=help_panel_ui_state; self=https://onemain.atlassian.net/rest/api/3/user/properties/help_panel_ui_state?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jira.user.admin-pages.performance.metrics-spotlight; self=https://onemain.atlassian.net/rest/api/3/user/properties/jira.user.admin-pages.performance.metrics-spotlight?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jira.user.fieldset.preferences; self=https://onemain.atlassian.net/rest/api/3/user/properties/jira.user.fieldset.preferences?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jira.user.issue.has.seen.quick-actions.change-boarding.message; self=https://onemain.atlassian.net/rest/api/3/user/properties/jira.user.issue.has.seen.quick-actions.change-boarding.message?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jp.ricksoft.plugins.excel4jira.configuration; self=https://onemain.atlassian.net/rest/api/3/user/properties/jp.ricksoft.plugins.excel4jira.configuration?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jp.ricksoft.plugins.excel4jira.sheets.recent; self=https://onemain.atlassian.net/rest/api/3/user/properties/jp.ricksoft.plugins.excel4jira.sheets.recent?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jsw-onboarding-checklist.dismissed; self=https://onemain.atlassian.net/rest/api/3/user/properties/jsw-onboarding-checklist.dismissed?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jsw-onboarding-checklist.open; self=https://onemain.atlassian.net/rest/api/3/user/properties/jsw-onboarding-checklist.open?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jsw-onboarding-checklist.open-task; self=https://onemain.atlassian.net/rest/api/3/user/properties/jsw-onboarding-checklist.open-task?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jsw-onboarding-checklist.visibility; self=https://onemain.atlassian.net/rest/api/3/user/properties/jsw-onboarding-checklist.visibility?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=jwm.overviews.plan.import.state; self=https://onemain.atlassian.net/rest/api/3/user/properties/jwm.overviews.plan.import.state?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=navigation_next_ui_state; self=https://onemain.atlassian.net/rest/api/3/user/properties/navigation_next_ui_state?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=plans.settings.page.change.boarding.flag.dismiss; self=https://onemain.atlassian.net/rest/api/3/user/properties/plans.settings.page.change.boarding.flag.dismiss?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
"@{key=project.config.dw.create.last.template; self=https://onemain.atlassian.net/rest/api/3/user/properties/project.config.dw.create.last.template?accountId=712020:27226219-226e-4bf3-9d13-545a6e6c9f8c}","","2025-10-07 19:10:57"
