"id","name","description","defaultWorkflow","issueTypeMappings","self"
"10000","classic","classic","classic default workflow","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10000"
"10108","Cards Workflow Scheme v2","Simple workflow scheme for Initiatives, Epics, Storis, Tasks, Subtasks and Spikes","Standard Level Issues Workflow","@{10008=Sub-Task Workflow; 10007=MOI Dev Workflow; 10009=Cards Defect Workflow; 10000=Epic Workflow; 10121=Design Workflow v2; 10010=Sub-Task Workflow; 10006=MOI Dev Workflow; 10116=Epic Workflow; 10126=Risk Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10108"
"10115","Basic Workflow Scheme","Basic Workflow with Planning statuses and Development Statuses without Code Review.","Epic Workflow","@{10008=Sub-Task Workflow; 10007=Basic Standard Level Issue Workflow; 10009=Basic Standard Level Issue Workflow; 10000=Epic Workflow; 10010=Basic Standard Level Issue Workflow; 10006=Basic Standard Level Issue Workflow; 10116=Epic Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10115"
"10117","New DBE Dev Workflow Scheme",,"New Dev Workflow","@{10008=DBE Sub-Task Workflow v2; 10117=DBE Sub-Task Workflow v2; 10007=New DBE Task Workflow; 10000=DBE Expanded Epic Workflow; 10010=New DBE Task Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10117"
"10119","DBE Workflow Scheme",,"DBE Dev Workflow v4","@{10008=DBE Sub-Task Workflow; 10117=DBE Sub-Task Workflow; 10007=DBE Task Workflow; 10000=DBE Expanded Epic Workflow; 10010=DBE Task Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10119"
"10121","MJG: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Jira Governance Workflow","@{10008=Sub-Task Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10121"
"10124","PCR: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project PCR","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10124"
"10125","Copy of PCR: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Scrum Workflow - Universal Transistions","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10125"
"10126","Cards Workflow Scheme","Simple workflow scheme for Workstreams, Initiatives, Epics, Storis, Tasks, Subtasks and Spikes","Standard Level Issues Workflow","@{10008=Sub-Task Workflow; 10007=Basic Standard Level Issue Workflow; 10009=Basic Standard Level Issue Workflow; 10000=Epic Workflow; 10010=Sub-Task Workflow; 10122=Epic Workflow; 10116=Epic Workflow; 10006=Basic Standard Level Issue Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10126"
"10129","Servicing Dev Workflow Scheme","Workflows used by Mobile Team","Simplified Workflow v1","@{10008=DBE Servicing Workflow v3; 10117=DBE Servicing Workflow v3; 10007=DBE Servicing Workflow v3; 10009=DBE Servicing Workflow v3; 10000=DBE Expanded Epic Workflow; 10010=Simplified Workflow v1; 10014=DBE Servicing Test Workflow v1; 10006=DBE Servicing Workflow v3; 10116=Simplified Workflow v1}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10129"
"10130","PSP Workflow Scheme",,"New Dev Workflow","@{10008=DBE Sub-Task Workflow; 10007=New DBE Task Workflow; 10117=DBE Sub-Task Workflow; 10009=New Dev Workflow; 10000=DBE Expanded Epic Workflow; 10010=New DBE Task Workflow; 10006=New Dev Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10130"
"10136","Jira Cloud Migration Kanban Workflow Scheme",,"Basic Kanban Workflow","@{10000=DBE Epic Workflow; 10116=DBE Epic Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10136"
"10137","DBEUX: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","DBE UX Design Workflow v2","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10137"
"10138","Simple Workflow Scheme","Workflows for Epics and all unassigned issue types.  Contains a status for review of standard level issues.","Basic Workflow","@{10000=DBE Epic Workflow; 10116=DBE Epic Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10138"
"10139","TT: Task Management Workflow Scheme","","TT: Task Management Workflow","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10139"
"10140","EPM: Project Management Workflow Scheme","","EPM: Project Management Workflow","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10140"
"10141","EPC: Process Management Workflow Scheme","","EPC: Process Management Workflow","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10141"
"10142","EP: Process Management Workflow Scheme","","EP: Process Management Workflow","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10142"
"10143","DBE Comms Workflow Scheme",,"DBE Comms Test Workflow","@{10152=DBE Comms Workflow v2; 10162=DBE Comms Workflow v2; 10151=DBE Comms Workflow v2; 10008=DBE Sub-Task Workflow; 10117=DBE Sub-Task Workflow; 10007=DBE Task Workflow; 10009=DBE Comms Workflow v2; 10000=DBE Expanded Epic Workflow; 10010=DBE Task Workflow; 10153=DBE Comms Workflow v2; 10122=DBE Comms Workflow v2; 10116=DBE Comms Workflow v2; 10006=DBE Comms Workflow v2}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10143"
"10144","EKP: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project EKP","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10144"
"10145","TDC: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project TDC","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10145"
"10146","OKT: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project OKT","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10146"
"10149","SP2: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project SP2","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10149"
"10151","AI: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project AI","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10151"
"10152","Cards Workflow Scheme v3","Simple workflow scheme for Initiatives, Epics, Stories, Tasks, Subtasks and Spikes","Standard Level Issues Workflow","@{10008=Cards Subtask Workflow; 10117=Cards Bug Workflow; 10007=Cards Task Workflow; 10139=Cards Issue Workflow; 10009=Cards Bug Workflow; 10000=Cards Epic Workflow; 10010=Cards Spike Workflow; 10135=Cards Improvements Workflow; 10116=Cards Epic Workflow; 10006=Cards Story Workflow; 10126=Risk Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10152"
"10153","Copy of Jira Cloud Migration Kanban Workflow Scheme","(This copy was automatically generated from a draft, when workflow scheme 'Jira Cloud Migration Kanban Workflow Scheme' was made inactive.)","Basic Workflow","@{10000=DBE Epic Workflow; 10116=DBE Epic Workflow}","https://onemain.atlassian.net/rest/api/3/workflowscheme/10153"
"10154","DDA: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project DDA","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10154"
"10156","DTEST: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project DTEST","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10156"
"10158","MES: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Project MES","","https://onemain.atlassian.net/rest/api/3/workflowscheme/10158"
