"Id","Name","Description","DefaultWorkflow","IssueTypeMappingsCount","Self","GeneratedAt"
"10000","classic","classic","classic default workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10000","2025-09-24 15:58:20"
"10108","Cards Workflow Scheme v2","Simple workflow scheme for Initiatives, Epics, Storis, Tasks, Subtasks and Spikes","Standard Level Issues Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10108","2025-09-24 15:58:20"
"10115","Basic Workflow Scheme","Basic Workflow with Planning statuses and Development Statuses without Code Review.","Epic Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10115","2025-09-24 15:58:20"
"10117","New DBE Dev Workflow Scheme","","New Dev Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10117","2025-09-24 15:58:20"
"10119","DBE Workflow Scheme","","DBE Dev Workflow v4","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10119","2025-09-24 15:58:20"
"10121","MJG: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Jira Governance Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10121","2025-09-24 15:58:20"
"10124","PCR: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project PCR","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10124","2025-09-24 15:58:20"
"10125","Copy of PCR: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Scrum Workflow - Universal Transistions","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10125","2025-09-24 15:58:20"
"10126","Cards Workflow Scheme","Simple workflow scheme for Workstreams, Initiatives, Epics, Storis, Tasks, Subtasks and Spikes","Standard Level Issues Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10126","2025-09-24 15:58:20"
"10129","Servicing Dev Workflow Scheme","Workflows used by Mobile Team","Simplified Workflow v1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10129","2025-09-24 15:58:20"
"10130","PSP Workflow Scheme","","New Dev Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10130","2025-09-24 15:58:20"
"10136","Jira Cloud Migration Kanban Workflow Scheme","","Basic Kanban Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10136","2025-09-24 15:58:20"
"10137","DBEUX: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","DBE UX Design Workflow v2","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10137","2025-09-24 15:58:20"
"10138","Simple Workflow Scheme","Workflows for Epics and all unassigned issue types.  Contains a status for review of standard level issues.","Basic Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10138","2025-09-24 15:58:20"
"10139","TT: Task Management Workflow Scheme","","TT: Task Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10139","2025-09-24 15:58:20"
"10140","EPM: Project Management Workflow Scheme","","EPM: Project Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10140","2025-09-24 15:58:20"
"10141","EPC: Process Management Workflow Scheme","","EPC: Process Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10141","2025-09-24 15:58:20"
"10142","EP: Process Management Workflow Scheme","","EP: Process Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10142","2025-09-24 15:58:20"
"10143","DBE Comms Workflow Scheme","","DBE Comms Test Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10143","2025-09-24 15:58:20"
"10144","EKP: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project EKP","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10144","2025-09-24 15:58:20"
"10145","TDC: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project TDC","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10145","2025-09-24 15:58:20"
"10146","OKT: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project OKT","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10146","2025-09-24 15:58:20"
"10149","SP2: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project SP2","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10149","2025-09-24 15:58:20"
"10151","AI: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project AI","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10151","2025-09-24 15:58:20"
"10152","Cards Workflow Scheme v3","Simple workflow scheme for Initiatives, Epics, Stories, Tasks, Subtasks and Spikes","Standard Level Issues Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10152","2025-09-24 15:58:20"
"10153","Copy of Jira Cloud Migration Kanban Workflow Scheme","(This copy was automatically generated from a draft, when workflow scheme 'Jira Cloud Migration Kanban Workflow Scheme' was made inactive.)","Basic Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10153","2025-09-24 15:58:20"
"10154","DDA: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project DDA","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10154","2025-09-24 15:58:20"
"10156","DTEST: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project DTEST","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10156","2025-09-24 15:58:20"
"10158","MES: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Project MES","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10158","2025-09-24 15:58:20"
"10159","OPEN: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Project OPEN","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10159","2025-09-24 15:58:20"
"10160","OR: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Project OR","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10160","2025-09-24 15:58:20"
"10161","PS: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Project PS","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10161","2025-09-24 15:58:20"
"10163","AM: Task Management Workflow Scheme","","AM: Task Management Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10163","2025-09-24 15:58:20"
"10165","AJM: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project AJM","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10165","2025-09-24 15:58:20"
