Environment,Name,SourceID (OneMain),TargetID (OneMainFinancial),MatchStatus
Source,Status Category,statusCategory,statusCategory,Jira Native
Source,Parent,parent,parent,Jira Native
Source,Risk Approver (migrated),customfield_10750,,No Match
Source,Resolution,resolution,resolution,Jira Native
Source,Impact,customfield_11841,customfield_10004,Different ID
Source,Risk Approver2 (migrated),customfield_10752,,No Match
Source,ICON Approver (migrated),customfield_10742,,No Match
Source,Modeling Accounting Approver (migrated),customfield_10743,,No Match
Source,Account Manual Fields (migrated),customfield_10744,,No Match
Source,Loan Accounting Analyst (migrated),customfield_10745,,No Match
Source,Treasury Notes (migrated),customfield_10746,,No Match
Source,Risk Manual Fields (migrated),customfield_10747,,No Match
Source,Risk Preparer (migrated),customfield_10748,,No Match
Source,EA4J Auto Approver Custom Field,customfield_11837,,No Match
Source,Treasury Preparer (migrated),customfield_10749,,No Match
Source,Last Viewed,lastViewed,lastViewed,Jira Native
Source,Modeling Accounting Preparer (migrated),customfield_10740,,No Match
Source,Count (migrated),customfield_10741,,No Match
Source,Charge Off Amount (migrated),customfield_10731,,No Match
Source,Insights,customfield_11942,customfield_10228,Different ID
Source,Additional Pricing Required (migrated),customfield_10732,,No Match
Source,Atlassian project status,customfield_11941,customfield_10227,Different ID
Source,Collateral Preparer (migrated),customfield_10733,,No Match
Source,Linked items,customfield_11944,customfield_10230,Different ID
Source,Category (migrated),customfield_10612,,No Match
Source,Comments,customfield_11943,customfield_10229,Different ID
Source,Treasury Approver 2 (migrated),customfield_10734,,No Match
Source,Σ Original Estimate,aggregatetimeoriginalestimate,aggregatetimeoriginalestimate,Jira Native
Source,Recovery (migrated),customfield_10735,,No Match
Source,Delivery status,customfield_11946,customfield_10232,Different ID
Source,Collateral Approver (migrated),customfield_10736,,No Match
Source,Delivery progress,customfield_11945,customfield_10231,Different ID
Source,Risk Notes (migrated),customfield_10737,,No Match
Source,Category (migrated) (migrated),customfield_10979,,No Match
Source,UPB (migrated),customfield_10738,,No Match
Source,ICON Preparer (migrated),customfield_10739,,No Match
Source,Linked Issues,issuelinks,issuelinks,Jira Native
Source,Assignee,assignee,assignee,Jira Native
Source,Atlassian project,customfield_11940,customfield_10226,Different ID
Source,Treasury Approver 1 (migrated),customfield_10730,,No Match
Source,Reviewers: Sprint/Role/Generic,customfield_10725,,No Match
Source,Approvers: Sprint/Role/Generic,customfield_10726,,No Match
Source,Workfront Automation Required (migrated),customfield_10605,,No Match
Source,Idea archived,customfield_11937,customfield_10223,Different ID
Source,ACH/Wire Transaction # (migrated),customfield_10727,,No Match
Source,Risk Approver Required (migrated),customfield_10728,,No Match
Source,Idea archived on,customfield_11939,customfield_10225,Different ID
Source,Notes (migrated),customfield_10729,,No Match
Source,Idea archived by,customfield_11938,customfield_10224,Different ID
Source,Sub-tasks,subtasks,subtasks,Jira Native
Source,Confidence,customfield_11801,,No Match
Source,Idea short description,customfield_11800,,No Match
Source,Product Lane,customfield_11803,,No Match
Source,Documents,customfield_11802,,No Match
Source,End User Coordination Effort (migrated),customfield_10716,,No Match
Source,Sentiment,customfield_11807,customfield_10024,Different ID
Source,Treasury Approver 2,customfield_10718,,No Match
Source,Log Work,worklog,worklog,Jira Native
Source,Goals,customfield_11808,customfield_10031,Different ID
Source,Issue Type,issuetype,issuetype,Jira Native
Source,Service (migrated) (migrated),customfield_10946,,No Match
Source,Planned Start Date (migrated),customfield_10704,,No Match
Source,Time tracking,timetracking,timetracking,Jira Native
Source,Environment,environment,environment,Jira Native
Source,Due date,duedate,duedate,Jira Native
Source,Change Number,customfield_10350,,No Match
Source,Freeze End Date,customfield_10230,,No Match
Source,Category,customfield_10351,customfield_10190,Different ID
Source,Service (migrated) (migrated) (migrated),customfield_11561,,No Match
Source,VP Freeze Approver,customfield_10231,,No Match
Source,Service,customfield_10352,,No Match
Source,Deployment Date,customfield_10232,,No Match
Source,Configuration Item,customfield_10353,,No Match
Source,Bitbucket Repo Task Branch,customfield_10233,,No Match
Source,Assignment Group,customfield_10354,,No Match
Source,Alert!!!,customfield_10234,,No Match
