"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"ACM-667","https://onemain.atlassian.net/browse/ACM-667",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","PQ Replay - Import profiles","ACM-602","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-329","https://onemain.atlassian.net/browse/ACM-329",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Finalize TM configuration","ACM-244","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-480","https://onemain.atlassian.net/browse/ACM-480",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task"," Test the template/Content on different devices","ACM-241","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-605","https://onemain.atlassian.net/browse/ACM-605",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","PQ Replay - Delivery Templates","ACM-602","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-603","https://onemain.atlassian.net/browse/ACM-603",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","PQ Replay - Launcher","ACM-602","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-481","https://onemain.atlassian.net/browse/ACM-481",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Content - Work with Adobe developer to create personalization blocks","ACM-241","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-451","https://onemain.atlassian.net/browse/ACM-451",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Spike","COL - Litmus test in V8 (credentials/setup)","ACM-213","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-661","https://onemain.atlassian.net/browse/ACM-661",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","COL - V8 Performance test plan Execution","ACM-213","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-625","https://onemain.atlassian.net/browse/ACM-625",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","COL - Phrasee Solution  for V8 Campaigns - Confluence","ACM-69","Blocked","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-606","https://onemain.atlassian.net/browse/ACM-606","ACM1-90","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-90","Task","PQ Replay - UAT","ACM-602","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
