"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"ACM-2512","https://onemain.atlassian.net/browse/ACM-2512","ACM1-228","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-228","Cloners","outward","ACM-2511","https://onemain.atlassian.net/browse/ACM-2511","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-2422","https://onemain.atlassian.net/browse/ACM-2422","ACM1-356","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-356","Cloners","outward","ACM-2421","https://onemain.atlassian.net/browse/ACM-2421","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-2153","https://onemain.atlassian.net/browse/ACM-2153","ACM1-48","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-48","Cloners","outward","ACM-2142","https://onemain.atlassian.net/browse/ACM-2142","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-1463","https://onemain.atlassian.net/browse/ACM-1463","ACM1-41","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-41","Cloners","inward","ACM-1961","https://onemain.atlassian.net/browse/ACM-1961","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-1463","https://onemain.atlassian.net/browse/ACM-1463","ACM1-41","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-41","Cloners","inward","ACM-2091","https://onemain.atlassian.net/browse/ACM-2091","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-1737","https://onemain.atlassian.net/browse/ACM-1737","ACM1-62","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-62","Cloners","outward","ACM-1684","https://onemain.atlassian.net/browse/ACM-1684","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-1740","https://onemain.atlassian.net/browse/ACM-1740","ACM1-162","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-162","Cloners","outward","ACM-1687","https://onemain.atlassian.net/browse/ACM-1687","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-860","https://onemain.atlassian.net/browse/ACM-860","ACM1-16","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-16","Cloners","inward","ACM-1790","https://onemain.atlassian.net/browse/ACM-1790","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-1074","https://onemain.atlassian.net/browse/ACM-1074","ACM1-104","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-104","Cloners","inward","ACM-1792","https://onemain.atlassian.net/browse/ACM-1792","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-1075","https://onemain.atlassian.net/browse/ACM-1075","ACM1-103","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-103","Cloners","inward","ACM-1793","https://onemain.atlassian.net/browse/ACM-1793","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACM-1076","https://onemain.atlassian.net/browse/ACM-1076","ACM1-102","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-102","Cloners","inward","ACM-1794","https://onemain.atlassian.net/browse/ACM-1794","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
