"SourceKey","TargetKey"
"ACQ-1834","ACQ1-58"
"ACQ-1835","ACQ1-67"
"ACQ-1836","ACQ1-64"
"ACQ-1837","ACQ1-65"
"ACQ-1838","ACQ1-62"
"ACQ-1841","ACQ1-68"
"ACQ-1844","ACQ1-61"
"ACQ-1845","ACQ1-59"
"ACQ-1848","ACQ1-95"
"ACQ-1850","ACQ1-70"
"ACQ-1851","ACQ1-66"
"ACQ-1852","ACQ1-28"
"ACQ-1853","ACQ1-63"
"ACQ-1855","ACQ1-69"
"ACQ-1856","ACQ1-60"
"ACQ-1858","ACQ1-13"
"ACQ-1862","ACQ1-49"
"ACQ-1864","ACQ1-24"
"ACQ-1868","ACQ1-83"
"ACQ-1869","ACQ1-84"
"ACQ-1871","ACQ1-57"
"ACQ-1872","ACQ1-42"
"ACQ-1875","ACQ1-56"
"ACQ-1876","ACQ1-82"
"ACQ-1877","ACQ1-81"
"ACQ-1878","ACQ1-89"
"ACQ-1879","ACQ1-92"
"ACQ-1880","ACQ1-20"
"ACQ-1881","ACQ1-75"
"ACQ-1886","ACQ1-71"
"ACQ-1887","ACQ1-55"
"ACQ-1888","ACQ1-22"
"ACQ-1890","ACQ1-74"
"ACQ-1892","ACQ1-19"
"ACQ-1893","ACQ1-12"
"ACQ-1894","ACQ1-93"
"ACQ-1895","ACQ1-51"
"ACQ-1896","ACQ1-88"
"ACQ-1897","ACQ1-77"
"ACQ-1898","ACQ1-50"
"ACQ-1901","ACQ1-91"
"ACQ-1903","ACQ1-87"
"ACQ-1905","ACQ1-9"
"ACQ-1906","ACQ1-23"
"ACQ-1907","ACQ1-79"
"ACQ-1908","ACQ1-80"
"ACQ-1909","ACQ1-18"
"ACQ-1910","ACQ1-78"
"ACQ-2042","ACQ1-166"
"ACQ-2265","ACQ1-122"
"ACQ-2267","ACQ1-119"
"ACQ-2406","ACQ1-5"
"ACQ-2653","ACQ1-129"
"ACQ-2785","ACQ1-4"
"ACQ-2820","ACQ1-142"
"ACQ-2823","ACQ1-85"
"ACQ-2858","ACQ1-144"
"ACQ-2867","ACQ1-154"
"ACQ-2882","ACQ1-146"
"ACQ-2884","ACQ1-148"
"ACQ-2888","ACQ1-149"
"ACQ-2897","ACQ1-86"
"ACQ-2921","ACQ1-138"
"ACQ-2929","ACQ1-139"
"ACQ-2945","ACQ1-126"
"ACQ-2947","ACQ1-127"
"ACQ-2949","ACQ1-126"
"ACQ-2958","ACQ1-126"
"ACQ-2974","ACQ1-132"
"ACQ-2994","ACQ1-133"
"ACQ-3051","ACQ1-113"
"ACQ-3059","ACQ1-135"
"ACQ-3062","ACQ1-145"
"ACQ-3072","ACQ1-90"
"ACQ-3112","ACQ1-176"
"ACQ-3113","ACQ1-156"
"ACQ-3121","ACQ1-179"
"ACQ-3130","ACQ1-180"
"ACQ-3301","ACQ1-181"
"ACQ-3321","ACQ1-182"
"ACQ-3385","ACQ1-155"
"ACQ-3394","ACQ1-73"
"ACQ-3395","ACQ1-72"
"ACQ-3484","ACQ1-186"
"ACQ-3491","ACQ1-188"
"ACQ-3515","ACQ1-52"
"ACQ-3517","ACQ1-6"
"ACQ-3518","ACQ1-3"
"ACQ-3519","ACQ1-2"
"ACQ-3520","ACQ1-1"
"ACQ-3524","ACQ1-53"
"ACQ-3527","ACQ1-54"
"ACQ-3544","ACQ1-195"
"ACQ-3563","ACQ1-196"
