"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"ACQ-1909","https://onemain.atlassian.net/browse/ACQ-1909","ACQ1-18","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-18","Epic","Robocall Opt-In: Better convey the value of agreeing to learn about promotions","ACQ-567","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACQ-1892","https://onemain.atlassian.net/browse/ACQ-1892","ACQ1-19","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-19","Epic","9-Digit SSN Preapproval: Use 9 digit SSNs to preapprove loans for people with incomplete credit files","ACQ-555","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACQ-1880","https://onemain.atlassian.net/browse/ACQ-1880","ACQ1-20","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-20","Epic","Income Fields Simplification: Remove unnecessary income fields in the preapproval form","ACQ-555","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACQ-3979","https://onemain.atlassian.net/browse/ACQ-3979","ACQ1-21","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-21","Epic","Requested Amount Test Remarketing/Abandon App","ACQ-3920","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACQ-1888","https://onemain.atlassian.net/browse/ACQ-1888","ACQ1-22","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-22","Epic","Enable a more streamlined, context-aware experience for customers referred by BestMoney","ACQ-555","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACQ-1906","https://onemain.atlassian.net/browse/ACQ-1906","ACQ1-23","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-23","Epic","Scale DM Offer Lookup: Enable Marketing to remarket to direct mail offer recipients on platforms besides Facebook by enhancing the DM Offer Lookup by Name/SSN/Zip implementation","ACQ-555","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACQ-1864","https://onemain.atlassian.net/browse/ACQ-1864","ACQ1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-24","Epic","IPQ Wizard: Make our application to check for prequalified offers less overwhelming by breaking it into steps","ACQ-555","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACQ-3994","https://onemain.atlassian.net/browse/ACQ-3994","ACQ1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-25","Epic","Splash Page Affiliate API A/B Test ","ACQ-3918","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACQ-3993","https://onemain.atlassian.net/browse/ACQ-3993","ACQ1-26","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-26","Epic","CK EA Splash Page A/B Test ","ACQ-3918","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACQ-3992","https://onemain.atlassian.net/browse/ACQ-3992","ACQ1-27","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-27","Epic","Remarketing 2 offer test ","ACQ-3920","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
