"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"ACQ-4093","https://onemain.atlassian.net/browse/ACQ-4093","ACQ1-111","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-111","Cloners","outward","ACQ-4092","https://onemain.atlassian.net/browse/ACQ-4092","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-4113","https://onemain.atlassian.net/browse/ACQ-4113","ACQ1-128","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-128","Cloners","outward","ACQ-4109","https://onemain.atlassian.net/browse/ACQ-4109","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-4114","https://onemain.atlassian.net/browse/ACQ-4114","ACQ1-136","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-136","Cloners","outward","ACQ-4113","https://onemain.atlassian.net/browse/ACQ-4113","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-4115","https://onemain.atlassian.net/browse/ACQ-4115","ACQ1-130","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-130","Cloners","outward","ACQ-4114","https://onemain.atlassian.net/browse/ACQ-4114","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-4116","https://onemain.atlassian.net/browse/ACQ-4116","ACQ1-131","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-131","Cloners","outward","ACQ-4080","https://onemain.atlassian.net/browse/ACQ-4080","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-3888","https://onemain.atlassian.net/browse/ACQ-3888","ACQ1-217","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-217","Cloners","outward","ACQ-3605","https://onemain.atlassian.net/browse/ACQ-3605","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-3889","https://onemain.atlassian.net/browse/ACQ-3889","ACQ1-202","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-202","Cloners","outward","ACQ-3605","https://onemain.atlassian.net/browse/ACQ-3605","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-3130","https://onemain.atlassian.net/browse/ACQ-3130","ACQ1-180","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-180","Cloners","outward","ACQ-2921","https://onemain.atlassian.net/browse/ACQ-2921","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-1856","https://onemain.atlassian.net/browse/ACQ-1856","ACQ1-60","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-60","Cloners","outward","ACQ-1886","https://onemain.atlassian.net/browse/ACQ-1886","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-3518","https://onemain.atlassian.net/browse/ACQ-3518","ACQ1-3","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-3","Cloners","outward","ACQ-3517","https://onemain.atlassian.net/browse/ACQ-3517","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-3519","https://onemain.atlassian.net/browse/ACQ-3519","ACQ1-2","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-2","Cloners","outward","ACQ-3517","https://onemain.atlassian.net/browse/ACQ-3517","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-3520","https://onemain.atlassian.net/browse/ACQ-3520","ACQ1-1","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-1","Cloners","outward","ACQ-3517","https://onemain.atlassian.net/browse/ACQ-3517","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-1837","https://onemain.atlassian.net/browse/ACQ-1837","ACQ1-65","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-65","Cloners","outward","ACQ-1878","https://onemain.atlassian.net/browse/ACQ-1878","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-1841","https://onemain.atlassian.net/browse/ACQ-1841","ACQ1-68","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-68","Cloners","inward","ACQ-1871","https://onemain.atlassian.net/browse/ACQ-1871","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ACQ-1848","https://onemain.atlassian.net/browse/ACQ-1848","ACQ1-95","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACQ1-95","Cloners","outward","ACQ-1871","https://onemain.atlassian.net/browse/ACQ-1871","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
