"SourceKey","TargetKey"
"ACQE-1","ACQE1-19"
"ACQE-10","ACQE1-29"
"ACQE-103","ACQE1-110"
"ACQE-108","ACQE1-118"
"ACQE-109","ACQE1-112"
"ACQE-11","ACQE1-10"
"ACQE-113","ACQE1-47"
"ACQE-117","ACQE1-119"
"ACQE-118","ACQE1-111"
"ACQE-12","ACQE1-26"
"ACQE-124","ACQE1-55"
"ACQE-127","ACQE1-121"
"ACQE-13","ACQE1-25"
"ACQE-131","ACQE1-113"
"ACQE-132","ACQE1-122"
"ACQE-136","ACQE1-42"
"ACQE-137","ACQE1-45"
"ACQE-138","ACQE1-43"
"ACQE-139","ACQE1-37"
"ACQE-14","ACQE1-24"
"ACQE-140","ACQE1-44"
"ACQE-141","ACQE1-38"
"ACQE-142","ACQE1-40"
"ACQE-143","ACQE1-39"
"ACQE-144","ACQE1-41"
"ACQE-145","ACQE1-45"
"ACQE-146","ACQE1-43"
"ACQE-147","ACQE1-37"
"ACQE-148","ACQE1-44"
"ACQE-149","ACQE1-38"
"ACQE-15","ACQE1-23"
"ACQE-150","ACQE1-40"
"ACQE-151","ACQE1-39"
"ACQE-152","ACQE1-41"
"ACQE-153","ACQE1-42"
"ACQE-154","ACQE1-44"
"ACQE-155","ACQE1-45"
"ACQE-156","ACQE1-38"
"ACQE-157","ACQE1-37"
"ACQE-158","ACQE1-40"
"ACQE-159","ACQE1-39"
"ACQE-16","ACQE1-22"
"ACQE-160","ACQE1-41"
"ACQE-161","ACQE1-43"
"ACQE-162","ACQE1-42"
"ACQE-163","ACQE1-43"
"ACQE-164","ACQE1-42"
"ACQE-165","ACQE1-44"
"ACQE-166","ACQE1-45"
"ACQE-167","ACQE1-37"
"ACQE-168","ACQE1-39"
"ACQE-169","ACQE1-38"
"ACQE-17","ACQE1-21"
"ACQE-170","ACQE1-41"
"ACQE-171","ACQE1-40"
"ACQE-172","ACQE1-43"
"ACQE-173","ACQE1-42"
"ACQE-174","ACQE1-45"
"ACQE-175","ACQE1-44"
"ACQE-176","ACQE1-38"
"ACQE-177","ACQE1-37"
"ACQE-178","ACQE1-40"
"ACQE-179","ACQE1-39"
"ACQE-18","ACQE1-16"
"ACQE-180","ACQE1-41"
"ACQE-181","ACQE1-42"
"ACQE-182","ACQE1-43"
"ACQE-183","ACQE1-44"
"ACQE-184","ACQE1-45"
"ACQE-185","ACQE1-38"
"ACQE-186","ACQE1-37"
"ACQE-187","ACQE1-40"
"ACQE-188","ACQE1-39"
"ACQE-189","ACQE1-41"
"ACQE-19","ACQE1-14"
"ACQE-190","ACQE1-45"
"ACQE-191","ACQE1-43"
"ACQE-192","ACQE1-37"
"ACQE-193","ACQE1-44"
"ACQE-194","ACQE1-39"
"ACQE-195","ACQE1-38"
"ACQE-196","ACQE1-41"
"ACQE-197","ACQE1-40"
"ACQE-198","ACQE1-42"
"ACQE-199","ACQE1-43"
"ACQE-2","ACQE1-4"
"ACQE-20","ACQE1-13"
"ACQE-200","ACQE1-42"
"ACQE-201","ACQE1-45"
"ACQE-202","ACQE1-37"
"ACQE-203","ACQE1-44"
"ACQE-204","ACQE1-39"
"ACQE-205","ACQE1-38"
"ACQE-206","ACQE1-41"
"ACQE-207","ACQE1-40"
"ACQE-208","ACQE1-44"
"ACQE-209","ACQE1-45"
"ACQE-21","ACQE1-11"
"ACQE-210","ACQE1-38"
"ACQE-211","ACQE1-37"
"ACQE-212","ACQE1-40"
"ACQE-213","ACQE1-39"
"ACQE-214","ACQE1-41"
"ACQE-215","ACQE1-43"
