"SourceKey","TargetKey"
"AI-1","AI1-13"
"AI-10","AI1-191"
"AI-1010","AI1-163"
"AI-102","AI1-126"
"AI-103","AI1-127"
"AI-1041","AI1-163"
"AI-1056","AI1-163"
"AI-106","AI1-128"
"AI-1090","AI1-163"
"AI-11","AI1-143"
"AI-1101","AI1-199"
"AI-1123","AI1-89"
"AI-1133","AI1-118"
"AI-1136","AI1-163"
"AI-1138","AI1-84"
"AI-114","AI1-129"
"AI-1171","AI1-163"
"AI-1176","AI1-76"
"AI-1183","AI1-194"
"AI-1186","AI1-163"
"AI-119","AI1-130"
"AI-1195","AI1-163"
"AI-12","AI1-144"
"AI-1202","AI1-193"
"AI-1203","AI1-192"
"AI-1204","AI1-163"
"AI-1234","AI1-77"
"AI-1246","AI1-78"
"AI-13","AI1-146"
"AI-133","AI1-131"
"AI-134","AI1-132"
"AI-1368","AI1-222"
"AI-1388","AI1-217"
"AI-1393","AI1-220"
"AI-14","AI1-228"
"AI-1406","AI1-230"
"AI-1408","AI1-74"
"AI-141","AI1-113"
"AI-1410","AI1-91"
"AI-1411","AI1-88"
"AI-1412","AI1-87"
"AI-1413","AI1-86"
"AI-1414","AI1-85"
"AI-1415","AI1-83"
"AI-1416","AI1-90"
"AI-1459","AI1-82"
"AI-147","AI1-134"
"AI-15","AI1-153"
"AI-1511","AI1-38"
"AI-156","AI1-135"
"AI-1589","AI1-120"
"AI-16","AI1-115"
"AI-160","AI1-136"
"AI-1612","AI1-121"
"AI-1674","AI1-19"
"AI-17","AI1-6"
"AI-18","AI1-149"
"AI-1823","AI1-57"
"AI-1828","AI1-58"
"AI-19","AI1-150"
"AI-2","AI1-149"
"AI-20","AI1-5"
"AI-2000","AI1-11"
"AI-2003","AI1-169"
"AI-2020","AI1-9"
"AI-2022","AI1-168"
"AI-205","AI1-112"
"AI-207","AI1-111"
"AI-2115","AI1-47"
"AI-2116","AI1-51"
"AI-2174","AI1-69"
"AI-2238","AI1-167"
"AI-2268","AI1-43"
"AI-2293","AI1-44"
"AI-2294","AI1-45"
"AI-2299","AI1-46"
"AI-23","AI1-8"
"AI-2318","AI1-49"
"AI-2329","AI1-50"
"AI-2330","AI1-52"
"AI-2331","AI1-53"
"AI-2332","AI1-54"
"AI-2337","AI1-55"
"AI-2355","AI1-56"
"AI-2362","AI1-166"
"AI-2364","AI1-66"
"AI-2366","AI1-3"
"AI-2368","AI1-2"
"AI-2369","AI1-59"
"AI-2370","AI1-71"
"AI-2371","AI1-72"
"AI-2372","AI1-65"
"AI-2373","AI1-73"
"AI-2374","AI1-70"
"AI-2375","AI1-68"
"AI-2376","AI1-67"
"AI-2377","AI1-65"
"AI-2378","AI1-64"
"AI-2379","AI1-63"
"AI-2380","AI1-62"
"AI-2381","AI1-61"
"AI-2382","AI1-60"
"AI-2383","AI1-42"
"AI-2384","AI1-48"
