"SourceKey","TargetKey"
"AUT-100","AUT1-41"
"AUT-1003","AUT1-9"
"AUT-1005","AUT1-10"
"AUT-1016","AUT1-314"
"AUT-1018","AUT1-93"
"AUT-1025","AUT1-506"
"AUT-1026","AUT1-507"
"AUT-1027","AUT1-508"
"AUT-1028","AUT1-509"
"AUT-1030","AUT1-510"
"AUT-1032","AUT1-511"
"AUT-1065","AUT1-5"
"AUT-1067","AUT1-6"
"AUT-1068","AUT1-7"
"AUT-1069","AUT1-8"
"AUT-1094","AUT1-512"
"AUT-1101","AUT1-513"
"AUT-1105","AUT1-559"
"AUT-1107","AUT1-56"
"AUT-114","AUT1-232"
"AUT-1163","AUT1-606"
"AUT-1165","AUT1-54"
"AUT-118","AUT1-221"
"AUT-1224","AUT1-53"
"AUT-1225","AUT1-514"
"AUT-1241","AUT1-90"
"AUT-1242","AUT1-89"
"AUT-1243","AUT1-88"
"AUT-1244","AUT1-516"
"AUT-1245","AUT1-517"
"AUT-1246","AUT1-518"
"AUT-1247","AUT1-501"
"AUT-1248","AUT1-519"
"AUT-1249","AUT1-500"
"AUT-1250","AUT1-498"
"AUT-1257","AUT1-481"
"AUT-1258","AUT1-482"
"AUT-1259","AUT1-483"
"AUT-1260","AUT1-484"
"AUT-1261","AUT1-485"
"AUT-1262","AUT1-486"
"AUT-1265","AUT1-487"
"AUT-1269","AUT1-87"
"AUT-1336","AUT1-315"
"AUT-1375","AUT1-332"
"AUT-1379","AUT1-86"
"AUT-1384","AUT1-549"
"AUT-1385","AUT1-558"
"AUT-1398","AUT1-59"
"AUT-1401","AUT1-479"
"AUT-1405","AUT1-414"
"AUT-141","AUT1-440"
"AUT-142","AUT1-441"
"AUT-143","AUT1-442"
"AUT-144","AUT1-443"
"AUT-1460","AUT1-413"
"AUT-1467","AUT1-411"
"AUT-1468","AUT1-409"
"AUT-147","AUT1-444"
"AUT-1470","AUT1-322"
"AUT-148","AUT1-445"
"AUT-149","AUT1-446"
"AUT-1494","AUT1-37"
"AUT-150","AUT1-364"
"AUT-1500","AUT1-323"
"AUT-151","AUT1-448"
"AUT-1512","AUT1-407"
"AUT-1517","AUT1-405"
"AUT-1519","AUT1-403"
"AUT-152","AUT1-439"
"AUT-153","AUT1-438"
"AUT-1533","AUT1-402"
"AUT-1549","AUT1-401"
"AUT-1564","AUT1-3"
"AUT-1577","AUT1-400"
"AUT-1581","AUT1-324"
"AUT-1582","AUT1-325"
"AUT-1583","AUT1-326"
"AUT-1584","AUT1-327"
"AUT-1585","AUT1-328"
"AUT-1586","AUT1-329"
"AUT-1587","AUT1-330"
"AUT-1588","AUT1-331"
"AUT-1589","AUT1-319"
"AUT-1590","AUT1-318"
"AUT-1591","AUT1-317"
"AUT-1595","AUT1-311"
"AUT-160","AUT1-40"
"AUT-1612","AUT1-306"
"AUT-1631","AUT1-13"
"AUT-1632","AUT1-515"
"AUT-1633","AUT1-16"
"AUT-1638","AUT1-17"
"AUT-1665","AUT1-535"
"AUT-1679","AUT1-534"
"AUT-1685","AUT1-533"
"AUT-1686","AUT1-532"
"AUT-1733","AUT1-307"
"AUT-1748","AUT1-308"
"AUT-1794","AUT1-34"
"AUT-1802","AUT1-309"
"AUT-1805","AUT1-531"
"AUT-1826","AUT1-530"
"AUT-1865","AUT1-310"
"AUT-1869","AUT1-334"
"AUT-1870","AUT1-312"
"AUT-1871","AUT1-529"
"AUT-1895","AUT1-528"
"AUT-1913","AUT1-527"
"AUT-1929","AUT1-526"
"AUT-1930","AUT1-525"
"AUT-1935","AUT1-538"
"AUT-1942","AUT1-523"
"AUT-1949","AUT1-316"
"AUT-196","AUT1-44"
"AUT-1966","AUT1-522"
"AUT-198","AUT1-385"
"AUT-199","AUT1-49"
"AUT-1998","AUT1-26"
"AUT-200","AUT1-376"
"AUT-2002","AUT1-541"
"AUT-2003","AUT1-540"
"AUT-2004","AUT1-553"
"AUT-2005","AUT1-547"
"AUT-2006","AUT1-544"
"AUT-2012","AUT1-24"
"AUT-2016","AUT1-23"
"AUT-2025","AUT1-313"
"AUT-2036","AUT1-22"
"AUT-2047","AUT1-21"
"AUT-2049","AUT1-545"
"AUT-2051","AUT1-546"
"AUT-2055","AUT1-522"
"AUT-2056","AUT1-30"
"AUT-2057","AUT1-536"
"AUT-2058","AUT1-537"
"AUT-2059","AUT1-542"
"AUT-2060","AUT1-551"
"AUT-2061","AUT1-550"
"AUT-2062","AUT1-548"
"AUT-2063","AUT1-552"
"AUT-2064","AUT1-543"
"AUT-2065","AUT1-539"
"AUT-2070","AUT1-19"
"AUT-2071","AUT1-18"
"AUT-2072","AUT1-524"
"AUT-2073","AUT1-520"
"AUT-2074","AUT1-499"
"AUT-2075","AUT1-497"
"AUT-2076","AUT1-496"
"AUT-2077","AUT1-521"
"AUT-2078","AUT1-495"
"AUT-2079","AUT1-494"
"AUT-2092","AUT1-493"
"AUT-2094","AUT1-492"
"AUT-2095","AUT1-491"
"AUT-2103","AUT1-490"
"AUT-2104","AUT1-489"
"AUT-2105","AUT1-488"
"AUT-2106","AUT1-480"
"AUT-2108","AUT1-399"
"AUT-2110","AUT1-406"
"AUT-2111","AUT1-408"
"AUT-2112","AUT1-408"
"AUT-2114","AUT1-371"
"AUT-2116","AUT1-379"
"AUT-2117","AUT1-379"
"AUT-2121","AUT1-464"
"AUT-2122","AUT1-437"
"AUT-2124","AUT1-436"
"AUT-2126","AUT1-435"
"AUT-2127","AUT1-432"
"AUT-2128","AUT1-431"
"AUT-2129","AUT1-430"
"AUT-2130","AUT1-429"
"AUT-2131","AUT1-428"
"AUT-2134","AUT1-427"
"AUT-2135","AUT1-425"
"AUT-2136","AUT1-424"
"AUT-2137","AUT1-423"
"AUT-2138","AUT1-423"
"AUT-2139","AUT1-422"
"AUT-2140","AUT1-422"
"AUT-2141","AUT1-421"
"AUT-2142","AUT1-420"
"AUT-2143","AUT1-447"
"AUT-2144","AUT1-449"
"AUT-2145","AUT1-477"
"AUT-2146","AUT1-450"
"AUT-2147","AUT1-450"
"AUT-2148","AUT1-478"
"AUT-2149","AUT1-477"
"AUT-2150","AUT1-476"
