"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"AUT-2201","https://onemain.atlassian.net/browse/AUT-2201","AUT1-418","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-418","Test","outward","AUT-2195","https://onemain.atlassian.net/browse/AUT-2195","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-2283","https://onemain.atlassian.net/browse/AUT-2283","AUT1-366","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-366","Cloners","outward","AUT-2282","https://onemain.atlassian.net/browse/AUT-2282","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-2286","https://onemain.atlassian.net/browse/AUT-2286","AUT1-389","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-389","Test","outward","AUT-2215","https://onemain.atlassian.net/browse/AUT-2215","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-2287","https://onemain.atlassian.net/browse/AUT-2287","AUT1-404","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-404","Relates","inward","AUT-2215","https://onemain.atlassian.net/browse/AUT-2215","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-2287","https://onemain.atlassian.net/browse/AUT-2287","AUT1-404","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-404","Test","inward","AUT-2286","https://onemain.atlassian.net/browse/AUT-2286","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-2289","https://onemain.atlassian.net/browse/AUT-2289","AUT1-416","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-416","Test","outward","AUT-2238","https://onemain.atlassian.net/browse/AUT-2238","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-2289","https://onemain.atlassian.net/browse/AUT-2289","AUT1-416","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-416","Test","outward","AUT-2272","https://onemain.atlassian.net/browse/AUT-2272","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-2290","https://onemain.atlassian.net/browse/AUT-2290","AUT1-415","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-415","Test","outward","AUT-2215","https://onemain.atlassian.net/browse/AUT-2215","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-2290","https://onemain.atlassian.net/browse/AUT-2290","AUT1-415","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-415","Test","outward","AUT-2287","https://onemain.atlassian.net/browse/AUT-2287","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-1665","https://onemain.atlassian.net/browse/AUT-1665","AUT1-535","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-535","Test","inward","AUT-1517","https://onemain.atlassian.net/browse/AUT-1517","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-1665","https://onemain.atlassian.net/browse/AUT-1665","AUT1-535","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-535","Test","inward","AUT-1519","https://onemain.atlassian.net/browse/AUT-1519","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-1869","https://onemain.atlassian.net/browse/AUT-1869","AUT1-334","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-334","Polaris datapoint work item link","outward","AUT-1826","https://onemain.atlassian.net/browse/AUT-1826","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AUT-1870","https://onemain.atlassian.net/browse/AUT-1870","AUT1-312","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-312","Polaris datapoint work item link","outward","AUT-1826","https://onemain.atlassian.net/browse/AUT-1826","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
