"SourceKey","TargetKey"
"BAS-110","BAS1-33"
"BAS-119","BAS1-32"
"BAS-120","BAS1-10"
"BAS-154","BAS1-31"
"BAS-155","BAS1-30"
"BAS-186","BAS1-29"
"BAS-187","BAS1-28"
"BAS-191","BAS1-7"
"BAS-25","BAS1-2"
"BAS-284","BAS1-8"
"BAS-397","BAS1-6"
"BAS-404","BAS1-5"
"BAS-416","BAS1-4"
"BAS-42","BAS1-11"
"BAS-429","BAS1-27"
"BAS-445","BAS1-1"
"BAS-448","BAS1-3"
"BAS-453","BAS1-26"
"BAS-467","BAS1-22"
"BAS-469","BAS1-24"
"BAS-474","BAS1-23"
"BAS-478","BAS1-34"
"BAS-484","BAS1-13"
"BAS-485","BAS1-16"
"BAS-486","BAS1-21"
"BAS-487","BAS1-36"
"BAS-488","BAS1-37"
"BAS-489","BAS1-38"
"BAS-494","BAS1-20"
"BAS-498","BAS1-18"
"BAS-499","BAS1-14"
"BAS-503","BAS1-12"
"BAS-504","BAS1-15"
"BAS-505","BAS1-9"
"BAS-506","BAS1-17"
"BAS-507","BAS1-19"
"BAS-508","BAS1-25"
"BAS-509","BAS1-35"
