"SourceKey","TargetKey"
"BINT-10","BINT1-23"
"BINT-11","BINT1-19"
"BINT-1132","BINT1-82"
"BINT-1133","BINT1-68"
"BINT-119","BINT1-78"
"BINT-12","BINT1-18"
"BINT-13","BINT1-17"
"BINT-14","BINT1-8"
"BINT-15","BINT1-9"
"BINT-1594","BINT1-69"
"BINT-16","BINT1-20"
"BINT-1601","BINT1-70"
"BINT-1626","BINT1-65"
"BINT-1658","BINT1-71"
"BINT-1666","BINT1-81"
"BINT-1673","BINT1-73"
"BINT-1683","BINT1-74"
"BINT-17","BINT1-16"
"BINT-1736","BINT1-39"
"BINT-1775","BINT1-75"
"BINT-1781","BINT1-40"
"BINT-1782","BINT1-41"
"BINT-1783","BINT1-42"
"BINT-18","BINT1-13"
"BINT-1805","BINT1-43"
"BINT-1808","BINT1-44"
"BINT-1809","BINT1-45"
"BINT-1836","BINT1-46"
"BINT-1890","BINT1-54"
"BINT-19","BINT1-14"
"BINT-1907","BINT1-48"
"BINT-1921","BINT1-49"
"BINT-1933","BINT1-50"
"BINT-1943","BINT1-51"
"BINT-1960","BINT1-52"
"BINT-1961","BINT1-53"
"BINT-1962","BINT1-56"
"BINT-1963","BINT1-55"
"BINT-1964","BINT1-62"
"BINT-1965","BINT1-61"
"BINT-1966","BINT1-63"
"BINT-1967","BINT1-59"
"BINT-1979","BINT1-57"
"BINT-1982","BINT1-60"
"BINT-1985","BINT1-79"
"BINT-1988","BINT1-38"
"BINT-1994","BINT1-47"
"BINT-1996","BINT1-36"
"BINT-1998","BINT1-72"
"BINT-20","BINT1-12"
"BINT-2000","BINT1-76"
"BINT-2002","BINT1-77"
"BINT-2003","BINT1-37"
"BINT-2004","BINT1-30"
"BINT-2005","BINT1-35"
"BINT-2006","BINT1-34"
"BINT-2007","BINT1-33"
"BINT-2008","BINT1-32"
"BINT-2009","BINT1-31"
"BINT-2010","BINT1-80"
"BINT-21","BINT1-15"
"BINT-22","BINT1-10"
"BINT-23","BINT1-11"
"BINT-24","BINT1-27"
"BINT-25","BINT1-26"
"BINT-26","BINT1-28"
"BINT-27","BINT1-21"
"BINT-28","BINT1-29"
"BINT-29","BINT1-22"
"BINT-30","BINT1-24"
"BINT-304","BINT1-1"
"BINT-33","BINT1-25"
"BINT-34","BINT1-6"
"BINT-37","BINT1-5"
"BINT-38","BINT1-3"
"BINT-39","BINT1-4"
"BINT-40","BINT1-2"
"BINT-41","BINT1-7"
"BINT-73","BINT1-67"
"BINT-74","BINT1-66"
"BINT-75","BINT1-4"
"BINT-99","BINT1-64"
