"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"CACS-3156","https://onemain.atlassian.net/browse/CACS-3156","CACS1-153","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-153","Blocks","inward","CACS-3155","https://onemain.atlassian.net/browse/CACS-3155","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-3174","https://onemain.atlassian.net/browse/CACS-3174","CACS1-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-110","Relates","inward","CACS-3170","https://onemain.atlassian.net/browse/CACS-3170","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-3270","https://onemain.atlassian.net/browse/CACS-3270","CACS1-128","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-128","Cloners","outward","CACS-3269","https://onemain.atlassian.net/browse/CACS-3269","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-3277","https://onemain.atlassian.net/browse/CACS-3277","CACS1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-129","Blocks","outward","CACS-3269","https://onemain.atlassian.net/browse/CACS-3269","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-3278","https://onemain.atlassian.net/browse/CACS-3278","CACS1-131","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-131","Cloners","outward","CACS-3277","https://onemain.atlassian.net/browse/CACS-3277","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-3278","https://onemain.atlassian.net/browse/CACS-3278","CACS1-131","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-131","Blocks","outward","CACS-3270","https://onemain.atlassian.net/browse/CACS-3270","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-3318","https://onemain.atlassian.net/browse/CACS-3318","CACS1-183","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-183","Blocks","inward","CACS-3240","https://onemain.atlassian.net/browse/CACS-3240","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-3364","https://onemain.atlassian.net/browse/CACS-3364","CACS1-169","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-169","Blocks","outward","CACS-3363","https://onemain.atlassian.net/browse/CACS-3363","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-2691","https://onemain.atlassian.net/browse/CACS-2691","CACS1-45","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-45","Cloners","outward","CACS-2665","https://onemain.atlassian.net/browse/CACS-2665","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-2912","https://onemain.atlassian.net/browse/CACS-2912","CACS1-4","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-4","Blocks","inward","CACS-2897","https://onemain.atlassian.net/browse/CACS-2897","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-2914","https://onemain.atlassian.net/browse/CACS-2914","CACS1-24","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-24","Blocks","inward","CACS-2918","https://onemain.atlassian.net/browse/CACS-2918","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-2913","https://onemain.atlassian.net/browse/CACS-2913","CACS1-33","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-33","Blocks","inward","CACS-2920","https://onemain.atlassian.net/browse/CACS-2920","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"CACS-2913","https://onemain.atlassian.net/browse/CACS-2913","CACS1-33","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CACS1-33","Blocks","inward","CACS-2914","https://onemain.atlassian.net/browse/CACS-2914","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
