"SourceKey","TargetKey","LinkType","Direction","LinkedSourceKey","Error","ErrorDetails","SourceURL","TargetURL"
"CAD-3909","CAD1-305","Deployment","inward","CAD-3635","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3909","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-305"
"CAD-3922","CAD1-397","Deployment","inward","CAD-3651","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3922","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-397"
"CAD-3940","CAD1-394","Deployment","inward","CAD-3638","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3940","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-394"
"CAD-3941","CAD1-393","Deployment","inward","CAD-3638","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3941","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-393"
"CAD-3944","CAD1-392","Deployment","inward","CAD-3641","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3944","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-392"
"CAD-3945","CAD1-391","Deployment","inward","CAD-3641","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3945","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-391"
"CAD-3946","CAD1-390","Deployment","inward","CAD-3641","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3946","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-390"
"CAD-3947","CAD1-389","Deployment","inward","CAD-3642","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3947","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-389"
"CAD-3948","CAD1-388","Deployment","inward","CAD-3642","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3948","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-388"
"CAD-3949","CAD1-387","Deployment","inward","CAD-3645","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/CAD-3949","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CAD1-387"
